UF,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_naoprog,n_pessoa
11,EF iniciais,.57071793,.42683199,.0024500806,.42928207,2190
11,EF finais,.49344501,.47859237,.015108208,.49879602,2052
11,EM,.37768412,.4319205,.14332639,.58835876,1247
12,EF iniciais,.42725372,.56519216,.0061753858,.57164609,3362
12,EF finais,.39637607,.57378888,.012924601,.59249246,2688
12,EM,.25795344,.5418424,.13150731,.68299156,1690
13,EF iniciais,.56574941,.42679656,.0049551236,.43326575,5429
13,EF finais,.55105436,.41722906,.012815003,.43541706,4175
13,EM,.37806183,.35026374,.20000611,.55798906,2633
14,EF iniciais,.45395127,.54336435,.0026843783,.54604876,1826
14,EF finais,.45156857,.53022432,.008921776,.54202038,1451
14,EM,.31919369,.48317012,.1423692,.64142543,913
15,EF iniciais,.63284737,.36088037,.0045619956,.36686015,6231
15,EF finais,.60238397,.35247692,.021791169,.38211849,5035
15,EM,.42343736,.32317019,.19365264,.52660608,3093
16,EF iniciais,.49644151,.50149953,.0020589146,.50355846,1608
16,EF finais,.49590918,.48249769,.0094243446,.49642459,1283
16,EM,.34813955,.46528968,.14569055,.61861408,817
17,EF iniciais,.67200458,.32281032,.0047836863,.32799545,1913
17,EF finais,.62380612,.35797775,.0082340604,.36753032,1808
17,EM,.41043273,.32881668,.19005531,.52397531,1199
21,EF iniciais,.57617247,.42000586,.0036284798,.42374238,11705
21,EF finais,.55767024,.41260871,.013202769,.42971796,9856
21,EM,.37903175,.38475254,.19090408,.58163273,5898
22,EF iniciais,.68616432,.30760148,.0043054475,.31383568,3523
22,EF finais,.67416328,.29444858,.014361587,.31654739,2860
22,EM,.44353482,.28853145,.21177243,.51201606,1731
23,EF iniciais,.68209118,.31495818,.0024721047,.31782973,6546
23,EF finais,.66460508,.30867794,.015701866,.3283765,5627
23,EM,.46363807,.28934956,.20690604,.50100392,4031
24,EF iniciais,.61085731,.3838127,.0042909859,.38914266,2753
24,EF finais,.5489341,.41781506,.011009854,.4408825,2426
24,EM,.37699956,.34262574,.18023485,.54011732,1411
25,EF iniciais,.62428111,.36644503,.0088679502,.37571892,3827
25,EF finais,.581783,.37935352,.019010905,.40449062,3134
25,EM,.40115499,.35083103,.18573293,.54557002,1884
26,EF iniciais,.59944004,.39261189,.0068158736,.40048724,5902
26,EF finais,.58692068,.38152507,.0154006,.40245017,5044
26,EM,.41331652,.34132543,.19430704,.54562473,3113
27,EF iniciais,.576536,.41269922,.0096166516,.42324325,6006
27,EF finais,.5754143,.3854045,.020037986,.41239446,5112
27,EM,.37066483,.3839798,.18256958,.57546675,3157
28,EF iniciais,.63817853,.35214865,.0078075496,.36127651,2783
28,EF finais,.59255296,.36369595,.021585925,.39471436,2390
28,EM,.39981866,.30793619,.235145,.55752176,1384
29,EF iniciais,.54893148,.44206446,.0074759028,.45025188,7108
29,EF finais,.52408236,.42986333,.023328954,.46040684,6170
29,EM,.35299143,.39253953,.19397901,.59420478,3797
31,EF iniciais,.72421551,.27395761,.0015718836,.27578452,9407
31,EF finais,.69045168,.29004651,.0096661542,.30279699,8323
31,EM,.46151295,.26058152,.22668523,.49713838,5492
32,EF iniciais,.66128886,.33598614,.0024804436,.33871114,4710
32,EF finais,.61892915,.35581774,.008806088,.36990318,3669
32,EM,.42769989,.31179735,.18589787,.50481981,2285
33,EF iniciais,.58705747,.40742871,.0050089159,.41276699,8058
33,EF finais,.56201965,.41761869,.0094340583,.43013749,6789
33,EM,.36567312,.38689333,.18797266,.57938814,4885
35,EF iniciais,.687415,.3097187,.0025842714,.31230298,9212
35,EF finais,.6527549,.33226755,.0077026375,.34108427,7469
35,EM,.4208228,.32065156,.19878732,.52466899,5362
41,EF iniciais,.66108513,.33709821,.0012044896,.3383027,6369
41,EF finais,.61332482,.36398929,.0095741451,.37702212,5437
41,EM,.40765214,.35387403,.16263175,.52137893,3713
42,EF iniciais,.57294494,.42513952,.0016573002,.42705509,7066
42,EF finais,.54490656,.43454173,.0066465805,.44374928,5972
42,EM,.36561242,.41216481,.14272907,.55834931,3895
43,EF iniciais,.7149114,.28358838,.001128984,.28484854,6087
43,EF finais,.67395699,.3086254,.0097018396,.32228449,5053
43,EM,.47156146,.27726242,.18736675,.46949267,3201
50,EF iniciais,.63643718,.3565734,.0062196231,.36333752,2948
50,EF finais,.61967844,.35354775,.0099093011,.36909953,2278
50,EM,.41784191,.31466314,.16193783,.49237898,1391
51,EF iniciais,.64598167,.35188782,.0021304961,.35401833,3293
51,EF finais,.58922756,.39292994,.0038212712,.39937246,2857
51,EM,.38442346,.40473017,.15261501,.56332874,1826
52,EF iniciais,.68858701,.30940503,.0018599383,.31126499,4011
52,EF finais,.66846293,.315938,.009003548,.32702667,3660
52,EM,.46584481,.29817903,.1669137,.46954709,2398
53,EF iniciais,.68281204,.31343594,.0034960967,.31693205,2354
53,EF finais,.66250175,.32054955,.0047602709,.33035192,2025
53,EM,.48243207,.25773168,.17666601,.44166723,1435
