UF,macroetapa,flag_abandono,n_pessoa
11,EF iniciais,.0043502552,3573
11,EF finais,.0082180621,3400
11,EM,.068213657,2114
11,EJA EF,.19320399,82
11,EJA EM,.30947649,124
11,,.059236743,562
12,EF iniciais,.0055731926,5433
12,EF finais,.012565159,4264
12,EM,.07995981,2748
12,EJA EF,.22306098,120
12,EJA EM,.25023124,168
12,,.0494649,821
13,EF iniciais,.0074284007,8624
13,EF finais,.010811652,6818
13,EM,.072891556,4340
13,EJA EF,.22135101,206
13,EJA EM,.24782939,134
13,,.069991626,1551
14,EF iniciais,.0061860927,3157
14,EF finais,.0079033207,2386
14,EM,.082613729,1575
14,EJA EF,.27736682,35
14,EJA EM,.25494897,129
14,,.080177307,706
15,EF iniciais,.0053825895,9842
15,EF finais,.014969666,7994
15,EM,.077231057,5184
15,EJA EF,.1449848,276
15,EJA EM,.24484721,192
15,,.026202871,1801
16,EF iniciais,.003035581,2530
16,EF finais,.0064042211,2047
16,EM,.066748545,1374
16,EJA EF,.092726782,78
16,EJA EM,.33586398,34
16,,.1096871,393
17,EF iniciais,.0023303579,3102
17,EF finais,.01195418,2891
17,EM,.066549011,1969
17,EJA EF,.26690817,22
17,EJA EM,.31049696,44
17,,.02338166,588
21,EF iniciais,.0040750196,18569
21,EF finais,.012456679,15855
21,EM,.069442414,9864
21,EJA EF,.12609044,210
21,EJA EM,.16648597,142
21,,.032949433,3499
22,EF iniciais,.0030446451,5542
22,EF finais,.010288661,4647
22,EM,.083109342,2908
22,EJA EF,.18535084,152
22,EJA EM,.18718962,77
22,,.0099012153,1104
23,EF iniciais,.002633282,10526
23,EF finais,.0096271001,9074
23,EM,.067574784,6694
23,EJA EF,.1585532,136
23,EJA EM,.29866108,182
23,,.017941803,2098
24,EF iniciais,.004029654,4486
24,EF finais,.016227569,3960
24,EM,.07261283,2403
24,EJA EF,.15488392,176
24,EJA EM,.23611075,120
24,,.030355226,858
25,EF iniciais,.005170845,6010
25,EF finais,.014645168,5110
25,EM,.064455412,3129
25,EJA EF,.30338115,143
25,EJA EM,.16141777,130
25,,.043361805,1152
26,EF iniciais,.0052201916,9280
26,EF finais,.0093430215,8002
26,EM,.062514633,5094
26,EJA EF,.10866378,165
26,EJA EM,.20667823,180
26,,.043729864,1747
27,EF iniciais,.0051518725,9373
27,EF finais,.017892664,8348
27,EM,.087112561,5228
27,EJA EF,.1872465,167
27,EJA EM,.22808266,181
27,,.04949725,1726
28,EF iniciais,.0066649797,4513
28,EF finais,.018665183,3950
28,EM,.086314239,2197
28,EJA EF,.20711415,167
28,EJA EM,.27261624,105
28,,.016521679,848
29,EF iniciais,.0068176202,11171
29,EF finais,.022101603,9753
29,EM,.091224797,6278
29,EJA EF,.19368821,242
29,EJA EM,.20647572,164
29,,.028309153,2316
31,EF iniciais,.0029758259,14838
31,EF finais,.0088130645,13384
31,EM,.072685339,9131
31,EJA EF,.3183738,153
31,EJA EM,.38466504,347
31,,.024694299,2626
32,EF iniciais,.002125436,7405
32,EF finais,.010882179,5988
32,EM,.062480547,3776
32,EJA EF,.23907934,98
32,EJA EM,.32506526,198
32,,.033749003,1522
33,EF iniciais,.0038057088,12438
33,EF finais,.0074951816,10587
33,EM,.060099546,7815
33,EJA EF,.13344045,154
33,EJA EM,.2586433,188
33,,.039234899,2729
35,EF iniciais,.002475888,14638
35,EF finais,.0047206329,12103
35,EM,.057123818,8825
35,EJA EF,.22683159,100
35,EJA EM,.34144613,195
35,,.042397052,2824
41,EF iniciais,.0015751775,10148
41,EF finais,.0096295429,8820
41,EM,.054332804,6126
41,EJA EF,.19215155,152
41,EJA EM,.36049998,196
41,,.048002433,2006
42,EF iniciais,.0015485176,11268
42,EF finais,.0058774776,9675
42,EM,.064587474,6396
42,EJA EF,.14089243,110
42,EJA EM,.32590666,221
42,,.027668443,2743
43,EF iniciais,.0025035057,9466
43,EF finais,.008302425,8038
43,EM,.067310557,5265
43,EJA EF,.22574349,138
43,EJA EM,.34486929,166
43,,.034613844,1957
50,EF iniciais,.0040512383,4796
50,EF finais,.013743323,3695
50,EM,.075189032,2366
50,EJA EF,.23576632,74
50,EJA EM,.29555586,113
50,,.028261049,850
51,EF iniciais,.002650935,5351
51,EF finais,.0055494048,4542
51,EM,.067383364,3085
51,EJA EF,.15374199,36
51,EJA EM,.2825307,92
51,,.026775174,1270
52,EF iniciais,.0028494215,6461
52,EF finais,.0086893104,5850
52,EM,.063330814,4045
52,EJA EF,.19928771,51
52,EJA EM,.34526241,82
52,,.03556757,1278
53,EF iniciais,.0028992817,3824
53,EF finais,.0090921167,3221
53,EM,.059893757,2343
53,EJA EF,.13045654,78
53,EJA EM,.29681402,98
53,,.044134587,725
