macroetapa,idade,abandono,n
EF finais,9,0.0,385
EF finais,10,0.0014935675107877174,6009
EF finais,11,0.002269231813052208,18789
EF finais,12,0.0029383617223909288,23510
EF finais,13,0.006817737427273444,24605
EF finais,14,0.012663717344177837,18632
EF finais,15,0.03947175471712232,8441
EF finais,16,0.120919945148813,4305
EF finais,17,0.1991217882830645,2098
EF finais,18,0.29840725958557046,942
EF finais,19,0.38496667155941794,476
EF finais,20,0.4540880890489325,271
EF finais,21,0.5176104058028634,175
EF finais,22,0.4727586008156158,123
EF finais,23,0.503176313453153,97
EF finais,24,0.77840022790247,18
EF iniciais,5,0.012927658774185608,5345
EF iniciais,6,0.0032293078148230812,18878
EF iniciais,7,0.0023433576067211316,23087
EF iniciais,8,0.002230731077390546,23968
EF iniciais,9,0.002338705436437149,24040
EF iniciais,10,0.0029603816465770235,19538
EF iniciais,11,0.0061692582884626266,6931
EF iniciais,12,0.015893479123485495,3086
EF iniciais,13,0.043124502200743625,1694
EF iniciais,14,0.08401055191360389,1033
EF iniciais,15,0.08734728457939275,736
EF iniciais,16,0.1807494907287507,520
EF iniciais,17,0.3248144261787088,263
EF iniciais,18,0.2236242744565996,143
EF iniciais,19,0.3025347561775389,103
EF iniciais,20,0.4239949288648296,63
EF iniciais,21,0.3120076035692454,36
EF iniciais,22,0.48098159338179997,37
EF iniciais,23,0.47909227892154155,38
EF iniciais,24,0.9228096226025897,7
EM,13,0.01181659815997646,620
EM,14,0.010113586687463951,7092
EM,15,0.013946303544191511,17465
EM,16,0.02829597719417013,20144
EM,17,0.05598255256557145,14866
EM,18,0.11644739790922101,6657
EM,19,0.17477404281323236,3069
EM,20,0.22313361127788936,1502
EM,21,0.24359003737261853,904
EM,22,0.2814459185444041,590
EM,23,0.23901546391387501,398
EM,24,0.31687234677972936,90
