macroetapa,ano,categoria,valor,abandono,n
EF finais,2012,sexo,Homem,0.04934809509804077,4753
EF finais,2012,sexo,Mulher,0.030296544804611813,4549
EF finais,2012,raca,Branca,0.03047222173047871,3545
EF finais,2012,raca,Parda,0.04512741066385014,5141
EF finais,2012,raca,Preta,0.05758634805061553,568
EF finais,2013,sexo,Homem,0.039397002972981564,4618
EF finais,2013,sexo,Mulher,0.028460613507218752,4059
EF finais,2013,raca,Branca,0.023786380820916376,3183
EF finais,2013,raca,Parda,0.04293405127552047,4983
EF finais,2013,raca,Preta,0.03180963681830975,483
EF finais,2014,sexo,Homem,0.04399706589403721,4679
EF finais,2014,sexo,Mulher,0.027327952911781424,4176
EF finais,2014,raca,Branca,0.027246179403872004,3199
EF finais,2014,raca,Parda,0.038806320188583626,5141
EF finais,2014,raca,Preta,0.073146428940786,482
EF finais,2015,sexo,Homem,0.034515497488339236,4717
EF finais,2015,sexo,Mulher,0.019207931556420817,4294
EF finais,2015,raca,Branca,0.01810649949330171,3289
EF finais,2015,raca,Parda,0.03401840316279369,5199
EF finais,2015,raca,Preta,0.03167210348505247,480
EF finais,2016,sexo,Homem,0.031725445001900325,5356
EF finais,2016,sexo,Mulher,0.017047636566340552,4903
EF finais,2016,raca,Branca,0.014625685556698903,3568
EF finais,2016,raca,Parda,0.03056763301152128,5998
EF finais,2016,raca,Preta,0.03674578721456092,653
EF finais,2017,sexo,Homem,0.0320785231073087,5412
EF finais,2017,sexo,Mulher,0.015773152168125967,4768
EF finais,2017,raca,Branca,0.016483316268567666,3530
EF finais,2017,raca,Parda,0.028271853333626737,5937
EF finais,2017,raca,Preta,0.028432344500766666,640
EF finais,2018,sexo,Homem,0.023478657199302574,4945
EF finais,2018,sexo,Mulher,0.017436506646684207,4617
EF finais,2018,raca,Branca,0.015894175519564832,3329
EF finais,2018,raca,Parda,0.023616554566629887,5448
EF finais,2018,raca,Preta,0.025170338859283013,724
EF finais,2019,sexo,Homem,0.027128727939159977,4980
EF finais,2019,sexo,Mulher,0.01624045090639776,4427
EF finais,2019,raca,Branca,0.010018891022581357,3252
EF finais,2019,raca,Parda,0.027888707473435314,5369
EF finais,2019,raca,Preta,0.0412593253082672,701
EF finais,2020,sexo,Homem,0.0051238051094321425,3286
EF finais,2020,sexo,Mulher,0.006464546021363846,2909
EF finais,2020,raca,Branca,0.0059412515218167485,2190
EF finais,2020,raca,Parda,0.005894847414639312,3523
EF finais,2020,raca,Preta,0.0029495689329889314,435
EF finais,2021,sexo,Homem,0.010762196032544387,2349
