ano_t,nivel,serie,flag_promocao,flag_repetencia,flag_evasao,flag_migracao_eja,n
2012,1,1o EF,0.8360031598208049,0.1525447027686596,0.010115315136310362,0.0013368222742250633,2232
2013,1,1o EF,0.8584347095443559,0.130763588779479,0.01042554061265688,0.00037616106350829245,2162
2014,1,1o EF,0.8575901136388376,0.13525526877374058,0.006962921731046539,0.00019169585637530617,2190
2015,1,1o EF,0.8419152922675098,0.15271934315233723,0.005365364580152907,0.0,2338
2016,1,1o EF,0.8318004294311839,0.16194170289911589,0.006257867669700226,0.0,2402
2017,1,1o EF,0.8761044045016624,0.11802849897523858,0.005867096523099186,0.0,2237
2018,1,1o EF,0.8801230589158521,0.11711905697058148,0.0027578841135663308,0.0,2207
2019,1,1o EF,0.8660280044560396,0.1331770364192542,0.000794959124706113,0.0,1759
2020,1,1o EF,0.7523188111880396,0.23681099236900705,0.010870196442953266,0.0,1093
2021,1,1o EF,0.8279603229752156,0.16991939138767612,0.0016458967252928204,0.00047438891181541317,1482
2022,1,1o EF,0.764956297719078,0.23229472641953025,0.002748975861391857,0.0,1820
2023,1,1o EF,0.744639173054065,0.25434259757283006,0.0010182293731050974,0.0,1849
2012,2,2o EF,0.7789809008035752,0.1724038202176927,0.0092928543452985,0.0006455472805833505,2532
2013,2,2o EF,0.7961715216450116,0.17214292805069964,0.005522339383904436,0.0,2310
2014,2,2o EF,0.8261958835632108,0.14036954241409413,0.005801360026292878,0.0,2379
2015,2,2o EF,0.7956011099875034,0.16353696836105702,0.0016602234293231156,0.0012486642424807228,2522
2016,2,2o EF,0.8640177781027105,0.1074375688440255,0.0063310516257755285,0.0012545283517881019,2382
2017,2,2o EF,0.8669295202179798,0.11583864298662663,0.0035452571705224074,0.0,2268
2018,2,2o EF,0.8855200958243098,0.09336073549118501,0.0032377136514132442,0.0,2328
2019,2,2o EF,0.8678423107031353,0.11124306309155606,0.003962117469138001,0.0,1841
2020,2,2o EF,0.7917866065810737,0.1881161255882152,0.003803303455346983,0.0,1140
2021,2,2o EF,0.8102763355682752,0.1719316228216029,0.0008021036682947098,0.00029198729728395706,1506
2022,2,2o EF,0.7279816811865475,0.26185158485812143,0.0005387892790636158,0.0,1828
2023,2,2o EF,0.7213981431457243,0.26618163495193264,0.003960574965808302,0.0,2000
2012,3,3o EF,0.7775229445515086,0.1779686670520861,0.01062497232072966,0.0028161039797979905,2816
2013,3,3o EF,0.796424790079432,0.169815162863985,0.00963468420097017,0.0,2405
2014,3,3o EF,0.8195307696465262,0.14453869409649775,0.004008753262267247,0.0005276730689058815,2429
2015,3,3o EF,0.8117556540857056,0.16313373743724327,0.0050273426077268694,0.00021191976876555615,2697
2016,3,3o EF,0.8115652375825639,0.16254098004182213,0.0032468531957464825,0.0015304852755388964,2646
2017,3,3o EF,0.8330685247062939,0.1475518301837116,0.0033991912101106743,0.0005245511182040696,2626
2018,3,3o EF,0.8445880824331373,0.13907979068449758,0.00186670976208611,0.0006577688541111092,2548
2019,3,3o EF,0.8481928430901126,0.13266665150306825,0.002137434020796842,0.0,2112
2020,3,3o EF,0.7841046158332575,0.20828812929946233,0.001508865898806225,0.0,1308
2021,3,3o EF,0.8557001808964956,0.1366744077420709,0.001576029742192294,0.0,1537
2022,3,3o EF,0.7431336687881673,0.24645594265336268,0.0007097795742062726,0.0,1938
2023,3,3o EF,0.7279886777787246,0.2644545346922493,0.0015956594209730842,0.0,2115
2012,4,4o EF,0.7785856649978842,0.17668738787187604,0.008294789664566767,0.001740375893139285,2864
2013,4,4o EF,0.7779889538439471,0.17503501655834885,0.008716775314196344,0.0007706096336808196,2610
2014,4,4o EF,0.7848137504148559,0.16731243449495833,0.008501233120489287,0.00030855575877464995,2543
2015,4,4o EF,0.8098914080815628,0.14935335624884738,0.009429845710887768,0.0010264651059944442,2752
2016,4,4o EF,0.8229114878268169,0.13502944796901353,0.00585333693206798,0.002486078668564251,2735
2017,4,4o EF,0.8491467137645725,0.12151164124186982,0.005485470082913092,0.00044393436586130696,2742
2018,4,4o EF,0.8519953195503254,0.1219668696694695,0.004434943017059668,0.002350932421229804,2613
2019,4,4o EF,0.8581248686117848,0.1149099833199386,0.0040569943999653555,0.0,2085
2020,4,4o EF,0.7629102344923496,0.22749831400686638,0.004157329683880343,0.0,1369
2021,4,4o EF,0.8100142422241569,0.17837547795406367,0.0034944301576087127,0.0,1712
2022,4,4o EF,0.7314601557490444,0.25800049778172945,0.002124260698103425,0.0004673044181603214,1903
2023,4,4o EF,0.7420084812928552,0.24196285104304294,0.0016800392618301697,0.0005816833353025156,2035
2012,5,5o EF,0.7672916254184939,0.18198347765896802,0.016672463407136462,0.005752598556464578,2975
2013,5,5o EF,0.7836251639368691,0.15933228007627748,0.017726219210169824,0.004211687315355911,2667
2014,5,5o EF,0.8027119611467407,0.15311107393104442,0.014055231623678511,0.0025299616146035944,2634
2015,5,5o EF,0.7980005700331735,0.1545603121579085,0.007047495121610511,0.0019048983200740449,2748
2016,5,5o EF,0.8141697516473413,0.1512339846259424,0.004561716112634035,0.0022193504396634044,2852
2017,5,5o EF,0.8439961418972045,0.1286524823591558,0.009312247350254372,0.0026447844799055427,2789
2018,5,5o EF,0.8551628592578138,0.11117935266515709,0.009594015730112801,0.0025802992154048987,2643
2019,5,5o EF,0.8666198860112436,0.10362212358078865,0.006393760782397534,0.0028012597028651744,2189
2020,5,5o EF,0.7531242853823215,0.23412977331697446,0.0009206315810489851,0.00013287902040272248,1394
2021,5,5o EF,0.8401060866424024,0.14439666962793232,0.003751031246708781,0.0022223584753332647,1787
2022,5,5o EF,0.7054616986479257,0.27755912378913783,0.0012172492066252025,0.0005430198571631798,2090
2023,5,5o EF,0.700584164864409,0.2815280822946898,0.005615783681535841,0.00080535778818589,2118
2012,6,6o EF,0.7445719199903311,0.18463965273773744,0.023174355513577063,0.008874343905768703,3137
2013,6,6o EF,0.745539461053967,0.1872433061387524,0.026496647851681415,0.0057557658235196235,2827
2014,6,6o EF,0.7745525506837628,0.1759379180389874,0.01806924255835157,0.004387058097650286,2755
2015,6,6o EF,0.7600507596212287,0.18439177398671192,0.0159029912966914,0.004395897325033234,2945
2016,6,6o EF,0.7881910050376385,0.16158820515505343,0.015176665831433383,0.004934034096892924,2971
2017,6,6o EF,0.7909816188117675,0.16569226379669877,0.017152373679982062,0.005913722622889391,2906
2018,6,6o EF,0.8133863831937479,0.14948524664700422,0.01009493787857818,0.007695343936655129,2722
2019,6,6o EF,0.8170395336141543,0.1503678776223444,0.010774739415903038,0.0030856763895484034,2294
2020,6,6o EF,0.7274059892022499,0.2550270626773164,0.006047646002442134,0.004831431714654759,1392
2021,6,6o EF,0.8304873871764441,0.14480306289732114,0.011707471328197102,0.0020326250698439303,1872
2022,6,6o EF,0.7251896754747059,0.2548641942833673,0.01091925662744869,0.000597502547212072,2081
2023,6,6o EF,0.7073995526766775,0.2756121278231965,0.005017083548219421,0.003806594265499491,2268
2012,7,7o EF,0.73603572468249,0.174224840669789,0.034606038651806885,0.011993698375349474,2834
2013,7,7o EF,0.7353557084566686,0.18658741700881984,0.02743008319724032,0.010551244462234545,2722
2014,7,7o EF,0.7487637248527711,0.1818205563750166,0.023741832603647452,0.008012731797917158,2661
2015,7,7o EF,0.7588263761048477,0.18031065359684445,0.018036556896267115,0.008469984940194002,2685
2016,7,7o EF,0.7641181526859496,0.16452916189956657,0.019399589813917904,0.010242655194292037,2786
2017,7,7o EF,0.783264847653446,0.16247918517834917,0.011205114244390793,0.011252859790776584,2763
2018,7,7o EF,0.7994493108536989,0.1468177802427349,0.015459554493472373,0.014697513089305704,2638
2019,7,7o EF,0.816949722027119,0.13650084950967115,0.012136500412139645,0.007599163311825957,2177
2020,7,7o EF,0.7398772318842697,0.23456252218514903,0.008374169826313026,0.0011933744195419475,1455
2021,7,7o EF,0.8003373827843964,0.17186307754478933,0.012874941557046162,0.0049531560039615275,1951
2022,7,7o EF,0.7323142338764892,0.2485041431047171,0.0067598014787902064,0.0018763378908575965,2060
2023,7,7o EF,0.7032416489431842,0.27609782016064455,0.00855184165369445,0.0005709930079344097,2182
2012,8,8o EF,0.7417373055843975,0.1498082213717336,0.04285936289041008,0.010378912864282516,2415
2013,8,8o EF,0.7479669475133744,0.1526639338556763,0.044010382686168754,0.013129941548598163,2339
2014,8,8o EF,0.7794561248700215,0.1428133341520854,0.035305240802787186,0.008360104610044638,2419
2015,8,8o EF,0.7967218461525762,0.13733930095360158,0.024349508867193424,0.01142013253293133,2382
2016,8,8o EF,0.7840140891806445,0.13197272099436042,0.023906107327593434,0.014625522573865474,2483
2017,8,8o EF,0.8267810374979532,0.10860671859136029,0.030260407089179885,0.011420156090326256,2438
2018,8,8o EF,0.8266060843080811,0.11218634739871612,0.025176898500085854,0.010612812450765386,2290
2019,8,8o EF,0.8342862330485916,0.10606942206973234,0.010627868873981403,0.011130104552692987,1929
2020,8,8o EF,0.7651445223010434,0.21643022204053775,0.004563782429699095,0.0032501955074433356,1271
2021,8,8o EF,0.8202787731133593,0.1400159665716192,0.02588948174709664,0.0020710454651120835,1770
2022,8,8o EF,0.7088815482661742,0.26515182519944896,0.014602171467416169,0.005988275482017123,1954
2023,8,8o EF,0.7134219742064977,0.26923847896867703,0.006121480684966793,0.004811903785057609,2068
2012,9,9o EF,0.7816592402886899,0.12510855481338068,0.030493253380033343,0.00831737256749907,1859
2013,9,9o EF,0.7766267758342914,0.13555490261685302,0.03731694967199451,0.01247100456033045,1784
2014,9,9o EF,0.7771713677103664,0.14249814663273944,0.03181265299050192,0.006054763236946936,1959
2015,9,9o EF,0.7659740695094356,0.1441874449116856,0.039266783493666524,0.006036456007704161,2421
2016,9,9o EF,0.7836069276242487,0.14644015714677927,0.028034606386198962,0.005283050273809288,2449
2017,9,9o EF,0.7674381490833627,0.15873426547175892,0.02288408415896919,0.006195158139470186,2434
2018,9,9o EF,0.7995611559335399,0.13150753184169775,0.032601328218418754,0.010887458261813738,2443
2019,9,9o EF,0.7884890778304764,0.15586077884552643,0.020660017713927233,0.0012859585647316987,2057
2020,9,9o EF,0.6913912066580796,0.284289549654131,0.015024718630029561,0.0,1301
2021,9,9o EF,0.7652088642132977,0.1775162390166246,0.032500317523173367,0.004899037915163685,1864
2022,9,9o EF,0.68958531086005,0.27190666691655174,0.021239339942448584,0.0020385875316112066,2073
2023,9,9o EF,0.6821170867061287,0.2833695366628253,0.015683120869245105,0.0016582646143971263,2100
2012,10,1o EM,0.6922237221629307,0.16798063988872522,0.09853784216106404,0.011141983777469004,3410
2013,10,1o EM,0.6972309788694966,0.15595753085535566,0.10237881993445189,0.006681204011101428,3211
2014,10,1o EM,0.7129434814698556,0.17010350567753885,0.08968457113232428,0.005376460588422326,3369
2015,10,1o EM,0.6580996482354831,0.17950973601124356,0.12047048530484118,0.002232804871600428,2779
2016,10,1o EM,0.7205060667983993,0.16137409392712668,0.08261497901977921,0.004010842844854544,2730
2017,10,1o EM,0.7359329050132905,0.1587494537005001,0.06868774170562171,0.0048430547903789145,2513
2018,10,1o EM,0.7564460400634501,0.1398988148825304,0.0799336670857219,0.0019077977381056538,2510
2019,10,1o EM,0.7235519898101972,0.18346506243949662,0.05798489569390759,0.0017925920912802184,2126
2020,10,1o EM,0.6595304556268246,0.28654434950683655,0.034289636246158675,0.0014884848054990106,1370
2021,10,1o EM,0.7595944563948324,0.16411216936257067,0.06284921994439353,0.0016842948725813347,1710
2022,10,1o EM,0.6782752908075191,0.2679286086352322,0.0434727227435376,0.0007562261799038282,2074
2023,10,1o EM,0.6445168955189655,0.28476088002750544,0.05672739159759121,0.00023696511879971646,2028
2012,11,2o EM,0.6767293030487,0.15728943282728292,0.10979331060725306,0.0032836371275559,2759
2013,11,2o EM,0.6596914665232586,0.16533097042523745,0.12281884590179375,0.006923722228375747,2639
2014,11,2o EM,0.6728214581360272,0.16737227577260322,0.11384885448333489,0.008443985815430247,2870
2015,11,2o EM,0.6689671715991249,0.1340564741098625,0.15696602340260285,0.0010783221483890238,2315
2016,11,2o EM,0.7287579656305402,0.14374128455714183,0.0890979576890841,0.0024430515209842916,2361
2017,11,2o EM,0.7525981267182054,0.11878233230582752,0.099123723411285,0.0016412645227644644,2188
2018,11,2o EM,0.7612704540820414,0.11839257092133183,0.08919110442587136,0.0007154927379646089,2163
2019,11,2o EM,0.7625253981150524,0.12841234625618175,0.07387926329174374,0.001280048832126549,1844
2020,11,2o EM,0.6543946082382104,0.25693755340678404,0.05915999659042133,0.0,1123
2021,11,2o EM,0.7133909008347306,0.18214897471052038,0.08639551044165392,0.0014289518139216364,1636
2022,11,2o EM,0.6548140428856054,0.26713423889964194,0.06365772852672383,0.0006009615620442474,1755
2023,11,2o EM,0.6890363263768718,0.24895253054370137,0.04705956328013546,0.0006103053519615429,1880
2012,12,3o EM,0.6163655302103079,0.16376947739585707,0.027663293987133342,0.004017403100131098,2437
2013,12,3o EM,0.5713437824453373,0.20058194506366767,0.033875020526224514,0.0033858736208730394,2341
2014,12,3o EM,0.5738438812754391,0.20998553137977055,0.033170039057510634,0.005356927922502048,2470
2015,12,3o EM,0.6832640768476587,0.2068622169478324,0.06442647293759227,0.0,1883
2016,12,3o EM,0.7227242260448925,0.19591752161170398,0.0388483283662055,0.005294143043811503,1940
2017,12,3o EM,0.7641623734301339,0.14732956906601816,0.043161930198847655,0.00258271592315768,1792
2018,12,3o EM,0.753088083373363,0.1513355304779322,0.04724818600318463,0.0019306054841788027,1761
2019,12,3o EM,0.7993776810248481,0.1319837196226815,0.04188793958826909,0.0019693775724030325,1476
2020,12,3o EM,0.5766654185551332,0.368753398522486,0.01772350096952888,0.004665779171664474,1006
2021,12,3o EM,0.7281617841278579,0.19403625752562909,0.05054022596221148,0.0,1334
2022,12,3o EM,0.6360962348202116,0.3000409441510356,0.04317280229947234,0.0001391945755259687,1445
2023,12,3o EM,0.5980402841617715,0.32603879551576775,0.04962513736343504,9.922522483813123e-05,1422
2012,13,4o EM tec,0.35933832056208714,0.3849114876693305,0.03238899062479215,0.0,313
2013,13,4o EM tec,0.35527400774953355,0.42884523363282556,0.012970023969035774,0.0,349
2014,13,4o EM tec,0.350365169329359,0.4224497257279265,0.02372659869045504,0.0028090008388691294,300
2015,13,4o EM tec,0.9033311185671326,0.0,0.057891804890535074,0.0,177
