ano,serie,flag_abandono_raw,flag_abandono,pct_concluinte,n
2012,1o EF,0.015471618008385335,0.015471618008385335,0.0,2162
2013,1o EF,0.013122840124438529,0.013122840124438529,0.0,1791
2014,1o EF,0.011562820301353922,0.011562820301353922,0.0,1826
2015,1o EF,0.006900211400898618,0.006900211400898618,0.0,1974
2016,1o EF,0.004687119056641605,0.004687119056641605,0.0,2134
2017,1o EF,0.006778687378192095,0.006778687378192095,0.0,2081
2018,1o EF,0.007808421641645383,0.007808421641645383,0.0,2046
2019,1o EF,0.010231249868224915,0.010231249868224915,0.0,1929
2020,1o EF,0.015004786811647785,0.015004786811647785,0.0,1308
2021,1o EF,0.004031748819967604,0.004031748819967604,0.0,827
2022,1o EF,0.001811161474557198,0.001811161474557198,0.0,1523
2023,1o EF,0.00259610319949721,0.00259610319949721,0.0,1490
2024,1o EF,0.0017748309391576495,0.0017748309391576495,0.0,1657
2012,1o EM,0.09075316007217278,0.08750049465408648,0.003875362229661765,2509
2013,1o EM,0.07930783812045177,0.07753674875711909,0.002861936397194251,2344
2014,1o EM,0.07636789956178361,0.07317081898966199,0.006119894565387303,2448
2015,1o EM,0.07910202806195239,0.07654357226539739,0.002931123868918481,2385
2016,1o EM,0.06809867614553593,0.06580226053225624,0.0043250038286421644,2729
2017,1o EM,0.07422612201460548,0.07215094852810505,0.003920562975110324,2751
2018,1o EM,0.0772093600579301,0.07308109643459064,0.004278432338144364,2411
2019,1o EM,0.07613393157421308,0.07437695538865695,0.003257498488541458,2412
2020,1o EM,0.01448792507788057,0.01448792507788057,0.0,1623
2021,1o EM,0.0244827625628043,0.02191979126162105,0.002562971301183252,1108
2022,1o EM,0.04075491646042233,0.03843694086357161,0.0023179755968507163,1874
2023,1o EM,0.022607968067045004,0.022607968067045004,0.0,1944
2024,1o EM,0.06549994359810271,0.0641457280204658,0.0013542155776369252,1983
2012,2o EF,0.012987623733371008,0.012987623733371008,0.0,2398
2013,2o EF,0.01076584133667845,0.010363491975665282,0.0004023493610131693,2083
2014,2o EF,0.0071769358009538585,0.0071769358009538585,0.0,2126
2015,2o EF,0.004039936294813221,0.0038990718294266984,0.00014086446538652244,2032
