ano,idade,categoria,valor,ef,em,sup,n
2015,14,raca,Amarela,0.17539290809797717,0.0,0.0,78
2015,15,raca,Amarela,0.8047918668877476,0.0,0.0,68
2015,16,raca,Amarela,0.861858217790515,0.024644337808807183,0.0,71
2015,17,raca,Amarela,0.9341777507472593,0.188466333821089,0.0,76
2015,18,raca,Amarela,0.9619354632101239,0.5959444429816313,0.0,97
2015,19,raca,Amarela,0.9197612111665094,0.7103347735047716,0.031155090342902158,78
2015,20,raca,Amarela,0.9788505841543648,0.9236245651204205,0.0,88
2015,21,raca,Amarela,0.9634514814480044,0.9226829509723196,0.023015344091510435,93
2015,22,raca,Amarela,0.9193950529490723,0.777829663541162,0.1190933565043635,80
2015,23,raca,Amarela,0.9126976601142395,0.7997629584682385,0.08563102909180478,75
2015,24,raca,Amarela,0.9553125690642859,0.9004630992724032,0.4467581260527502,81
2015,25,raca,Amarela,0.9804622031581655,0.9219907318630289,0.3075254244440235,86
2015,26,raca,Amarela,0.9521290146131972,0.860921361950022,0.4087513090242905,98
2015,27,raca,Amarela,0.9788709021309213,0.881575053027731,0.48400619566186276,80
2015,28,raca,Amarela,0.9689874090178566,0.8854495127247971,0.4060575977826448,96
2015,29,raca,Amarela,0.9658889435054697,0.9287690791871912,0.6634464636690299,82
2017,14,raca,Amarela,0.22172470062474373,0.0,0.0,91
2017,15,raca,Amarela,0.7371024847242982,0.0,0.0,105
2017,16,raca,Amarela,0.8676003589224945,0.03131472512772975,0.0,124
2017,17,raca,Amarela,0.8885761991320824,0.2569812870361401,0.0,121
2017,18,raca,Amarela,0.9160712866933863,0.6044042377281871,0.0,118
2017,19,raca,Amarela,0.8528723998918242,0.6982994904559724,0.0,121
2017,20,raca,Amarela,0.9490231641486316,0.7857458100148081,0.028623700612587667,113
2017,21,raca,Amarela,0.9197490954434602,0.8347700319483435,0.09132887087250864,115
2017,22,raca,Amarela,0.9606404657821183,0.8594962176115348,0.132938906229753,119
2017,23,raca,Amarela,0.859432286179538,0.7777208228711762,0.28605367867438053,114
2017,24,raca,Amarela,0.9033135312828686,0.8275261096517542,0.2370956899244268,114
2017,25,raca,Amarela,0.8995152572688365,0.799997302807365,0.3823811893722086,117
2017,26,raca,Amarela,0.9354496928496222,0.8338971296280586,0.4324075069594338,144
2017,27,raca,Amarela,0.8921884574185169,0.8294769743143785,0.5269416274664793,139
2017,28,raca,Amarela,0.9504369895888677,0.7938950481505662,0.40381390282305196,129
2017,29,raca,Amarela,0.8426665576360965,0.7478658912997337,0.4974992189793692,142
2019,14,raca,Amarela,0.16818532326407998,0.0,0.0,137
2019,15,raca,Amarela,0.465666036770423,0.0,0.0,124
2019,16,raca,Amarela,0.7331863261731977,0.00741532782814207,0.0,127
2019,17,raca,Amarela,0.7836752300415409,0.11547644701477314,0.0,145
2019,18,raca,Amarela,0.8651653985160253,0.583261963546162,0.0,152
2019,19,raca,Amarela,0.8572252978133823,0.6174583888618747,0.0,137
2019,20,raca,Amarela,0.9343759202758175,0.7371444269935129,0.013936734600780949,154
2019,21,raca,Amarela,0.9227338148303031,0.7608052392526401,0.03829648524774309,150
2019,22,raca,Amarela,0.9363276259776571,0.7880351402961252,0.17681218932262197,154
2019,23,raca,Amarela,0.8889103744125497,0.721855945022255,0.08404316677458495,151
2019,24,raca,Amarela,0.9445451882558225,0.707396268402555,0.21632738385330622,152
2019,25,raca,Amarela,0.8929422931687852,0.8305589947845393,0.2879655390218224,156
2019,26,raca,Amarela,0.9173615958476555,0.7663810902746946,0.23926648679233423,156
2019,27,raca,Amarela,0.8934437876174053,0.7477505600003241,0.3039934258924729,161
2019,28,raca,Amarela,0.922154066553352,0.8383931061017539,0.43659064613652376,165
2019,29,raca,Amarela,0.8935250749941617,0.817470251184795,0.42477514206224487,156
2021,14,raca,Amarela,0.04406035815111756,0.0,0.0,108
2021,15,raca,Amarela,0.5891903090728248,0.0,0.0,110
2021,16,raca,Amarela,0.8874828929989382,0.0003826315275239117,0.0,131
2021,17,raca,Amarela,0.8403262815611925,0.10863430765061487,0.0,113
2021,18,raca,Amarela,0.95669429630154,0.4701654223404711,0.0,111
2021,19,raca,Amarela,0.9702065862207637,0.7106652730313597,0.0,112
2021,20,raca,Amarela,0.953849777121665,0.8040329249060006,0.010454649787112292,116
2021,21,raca,Amarela,0.8234402903835214,0.7504051260909433,0.0034330924423647837,107
2021,22,raca,Amarela,0.9052568711457207,0.7773674408639687,0.07048884544376152,121
2021,23,raca,Amarela,0.9651996877636069,0.8516791495554141,0.19616972843524655,105
2021,24,raca,Amarela,0.9035179206433613,0.8281103633459674,0.42938349488704924,99
2021,25,raca,Amarela,0.9846233731624694,0.9274932681896455,0.36533677281865523,101
2021,26,raca,Amarela,0.9386387635007474,0.8152562250255013,0.3777044766457687,81
