ano,macroetapa,quintil,prom,rep,evas,eja,n
2012,EF finais,Q1,0.6916541723815933,0.19146600198425448,0.04427545700418654,0.014587532238859006,2143
2013,EF finais,Q1,0.6896702676474765,0.1912541646437165,0.048605426345442695,0.013844462302788105,2054
2014,EF finais,Q1,0.7164323313500128,0.18670569879739574,0.038610875337707476,0.01159961439544871,2092
2015,EF finais,Q1,0.6908559572546612,0.19653573762112092,0.039799507521168544,0.008853195956423157,2150
2016,EF finais,Q1,0.7081083130232798,0.1842782862692587,0.03930025334416406,0.008519734724351252,2093
2017,EF finais,Q1,0.7189522114120951,0.1784738102131087,0.04116369940335879,0.013731982241499055,2161
2018,EF finais,Q1,0.7709527626159589,0.14439903172795707,0.0345066718463136,0.020607266223589788,2091
2019,EF finais,Q1,0.7731349195930067,0.16670498740444575,0.014056110378277198,0.009123117414803865,1770
2021,EF finais,Q1,0.7640296448824403,0.17924917449036815,0.0276028555692517,0.008261646066677949,1573
2022,EF finais,Q1,0.6935262340664786,0.2803517556155459,0.01784285918814357,0.0011466122823652013,1677
2023,EF finais,Q1,0.6925334774706389,0.2631799782567033,0.019354814503050318,0.007643322725387034,1748
2012,EF finais,Q2,0.7230208643574545,0.16705788447588404,0.03702942503200973,0.016359479858904305,2188
2013,EF finais,Q2,0.7188030765391762,0.1737700487133258,0.04370338941128107,0.018362970870103978,1965
2014,EF finais,Q2,0.7377751388141455,0.17962602329776803,0.03368346160255038,0.008741791954640159,2150
2015,EF finais,Q2,0.7075052848337157,0.199684076900676,0.0385959488328246,0.01458158590731331,2152
2016,EF finais,Q2,0.7335428985978751,0.1816130077414905,0.027955401526227528,0.013771326426343714,1991
2017,EF finais,Q2,0.7429156693527825,0.1624496547993774,0.03548735043412923,0.014786259675839662,2077
2018,EF finais,Q2,0.7575331332636153,0.17254298576209662,0.022068502478868927,0.019078175277732107,2039
2019,EF finais,Q2,0.7417954802654785,0.1823007069008337,0.03261724113400868,0.004247480431120353,1715
2020,EF finais,Q2,0.6882593608244424,0.28475836998989035,0.010676530937062102,0.0009187864737461624,2206
2021,EF finais,Q2,0.7560728118702008,0.17840243886912083,0.03952766466209709,0.008592229890248168,1462
2022,EF finais,Q2,0.6606119725424577,0.2968069685288615,0.023062466027789996,0.006120688207353686,1672
2023,EF finais,Q2,0.698505155330715,0.27714716465339323,0.010527578157681645,0.00297823226725899,1593
2012,EF finais,Q3,0.7305753702111266,0.1753160145150023,0.03674897444704396,0.009748484579040363,2141
2013,EF finais,Q3,0.7551297307021904,0.17102319025938867,0.02583631523596205,0.006985172701099833,2171
2014,EF finais,Q3,0.7789063625055478,0.16256212694123756,0.0272255716670663,0.005166710802668487,2100
2015,EF finais,Q3,0.7699460546300139,0.16578310970816024,0.022556025878868312,0.005927308491448534,2030
2016,EF finais,Q3,0.7701341868728712,0.15222589156889907,0.023766117094549795,0.012826729227779894,2347
2017,EF finais,Q3,0.80272251400882,0.14822072355124336,0.014148551155878453,0.013006775985125436,2165
2018,EF finais,Q3,0.8135574551360905,0.12335766704095193,0.025084129356105864,0.0108401181614615,2057
2019,EF finais,Q3,0.8190888415642715,0.1301338298526657,0.012262181150240572,0.0076171077127248,1563
2020,EF finais,Q3,0.7338537428621659,0.2516701921940315,0.002882942339677027,0.006728316909452031,1132
2021,EF finais,Q3,0.8132412459452332,0.14948291195016206,0.025908709832358365,0.0001984454994963546,1577
2022,EF finais,Q3,0.7484054096774612,0.23735801872075205,0.007144798574513329,0.0033009727281727128,1566
2023,EF finais,Q3,0.6739269063756428,0.3095802684169759,0.0055276628144184815,0.001275849465825609,1810
2012,EF finais,Q4,0.7513756270029958,0.16190025437122058,0.03791699440595649,0.009587605321223791,2022
2013,EF finais,Q4,0.7570082212445031,0.1685855207505291,0.031506292137951114,0.009173397991222918,1916
2014,EF finais,Q4,0.7840287096166543,0.15736344273817665,0.018411134592572563,0.006818164892473296,1867
2015,EF finais,Q4,0.80840481154212,0.13565852233226758,0.016312171911695435,0.007486813153401922,2176
2016,EF finais,Q4,0.7952129092636973,0.15203171444623279,0.014631650564392078,0.006778976952122151,2141
2017,EF finais,Q4,0.8168219153216696,0.14197892789315592,0.010751773308123437,0.0037309709312210683,2093
2018,EF finais,Q4,0.8228805654607351,0.13949801222766026,0.013671854854562628,0.004586850228859579,1962
2019,EF finais,Q4,0.8503568712076047,0.11115786654239307,0.009295849627122595,0.0020123336133290558,1782
2020,EF finais,Q4,0.7314840470225099,0.2431925937595788,0.010838264332302634,0.0,1049
2021,EF finais,Q4,0.8244677619274136,0.1521946562123035,0.011006318800464206,0.0007632174927109889,1429
2022,EF finais,Q4,0.7165496000664304,0.25425555741672,0.01475370897880498,0.0019345935158983916,1688
2023,EF finais,Q4,0.6879511061111082,0.2899203300363852,0.007124700403044154,0.002225269005575583,1761
2012,EF finais,Q5,0.8291960341520551,0.1246106184039947,0.00861167856448595,0.0014163696233935792,1751
2013,EF finais,Q5,0.8047892308576173,0.14677142572088556,0.02130122006929447,0.005023290960668372,1566
2014,EF finais,Q5,0.8130385566124734,0.13335416047664517,0.019799429122375835,0.002635640168567147,1585
2015,EF finais,Q5,0.8282326482942918,0.13941565431329755,0.01101082091324707,0.0025986079129749953,1925
2016,EF finais,Q5,0.8461418533569411,0.11416518134016242,0.010143456171526389,0.0034703839941583117,2117
2017,EF finais,Q5,0.8395312990090713,0.13172142020978844,0.009475734051390074,0.0018372024847019429,2045
2018,EF finais,Q5,0.8593686391259867,0.10939089295441809,0.011840412718862811,0.00418328823926486,1944
2019,EF finais,Q5,0.8554183471741349,0.11994025128388631,0.0041282640349739955,0.006020762209282675,1627
2020,EF finais,Q5,0.7947084058419859,0.1895407887125788,0.0076733756255281576,0.0028480548013718483,1032
2021,EF finais,Q5,0.8420953361259724,0.14383820833392985,0.004859777393354854,0.001860012318391897,1416
2022,EF finais,Q5,0.7387425029275937,0.24203382064467607,0.006524727111844398,0.0007698167704176739,1565
2023,EF finais,Q5,0.7493766770304595,0.23931102056713532,0.0050696987310052365,0.0008534937281315876,1706
2012,EF iniciais,Q1,0.7197058424758594,0.21265896068882764,0.018994396551833416,0.003790651278054013,3241
2013,EF iniciais,Q1,0.7618538232076167,0.18211276937251109,0.016975821115007915,0.003253868109546303,2881
2014,EF iniciais,Q1,0.7699023373317949,0.1860679835402266,0.012169270331490673,0.0009206351795685953,2803
2015,EF iniciais,Q1,0.7523672051310949,0.2023636648876246,0.008248720670642926,0.0016552424416532783,2794
2016,EF iniciais,Q1,0.7691695323549288,0.1841492757176625,0.01680411106503552,0.003461152897895345,2825
2017,EF iniciais,Q1,0.8085501683287903,0.15071458816312444,0.013617834897642489,0.003090082401917712,2670
2018,EF iniciais,Q1,0.8046416566854913,0.15797600418816726,0.008618959085070927,0.0025716486001519105,2524
2019,EF iniciais,Q1,0.7937956934612902,0.17442807188536708,0.004127903503931152,0.002688492229360789,1960
2021,EF iniciais,Q1,0.7749925775314969,0.19913916234611775,0.006813843418176049,0.001975413679621746,1556
2022,EF iniciais,Q1,0.6830758578401609,0.2990817494539786,0.002376683432089118,0.0013126028719824857,1898
2023,EF iniciais,Q1,0.7168898832822876,0.2663812125565926,0.0027424896589269628,0.0007345722198574829,2012
2012,EF iniciais,Q2,0.7519163452613893,0.20136158668490206,0.012018115328355707,0.0034893863831054737,3108
2013,EF iniciais,Q2,0.7781283124283002,0.17416326549005465,0.011155270821908904,0.0011873403099139886,2770
2014,EF iniciais,Q2,0.7941022777099102,0.16013054795167808,0.010129490510254226,0.0009370556192155602,2940
