ano,uf,regiao,em,n
2015,AC,N,0.5414746383967679,2500
2015,AL,NE,0.4288903275610564,4770
2015,AM,N,0.5259056233227429,3534
2015,AP,N,0.5651265873522571,987
2015,BA,NE,0.46305848508147857,5528
2015,CE,NE,0.5765834655202952,6306
2015,DF,CO,0.6932154777531957,2038
2015,ES,SE,0.5831357107280841,3819
2015,GO,CO,0.589011844556029,3533
2015,MA,NE,0.4946149896736128,7609
2015,MG,SE,0.6153815870601227,7643
2015,MS,CO,0.45954437377713486,2297
2015,MT,CO,0.5941526018919744,2852
2015,PA,N,0.42826707160906896,4756
2015,PB,NE,0.5088986364983417,3140
2015,PE,NE,0.5214343568939261,4463
2015,PI,NE,0.528069110893619,2664
2015,PR,S,0.6342724622816771,5671
2015,RJ,SE,0.6258548031549002,7013
2015,RN,NE,0.5355924962960449,2564
2015,RO,N,0.5070770237182504,2081
2015,RR,N,0.6351042309603124,1558
2015,RS,S,0.5675112016109495,4994
2015,SC,S,0.6421686320658858,5958
2015,SE,NE,0.46940611071406474,2479
2015,SP,SE,0.709939968140472,8099
2015,TO,N,0.5996272839695619,1736
2017,AC,N,0.5707536218078769,2697
2017,AL,NE,0.4808803690210436,4565
2017,AM,N,0.5597050755282459,3720
2017,AP,N,0.5872055604743058,1226
2017,BA,NE,0.4811275336845618,5533
2017,CE,NE,0.5727193183450525,6209
2017,DF,CO,0.7356455298213022,2106
2017,ES,SE,0.6162126044527366,3658
2017,GO,CO,0.652562249217646,3547
2017,MA,NE,0.5594466015145814,8047
2017,MG,SE,0.6474939018272385,8013
2017,MS,CO,0.5151918820879234,2076
2017,MT,CO,0.5792737423307499,2573
2017,PA,N,0.46222838970634833,4820
2017,PB,NE,0.5465424616604853,3016
2017,PE,NE,0.5937822141477463,4354
2017,PI,NE,0.49619284928784985,2663
2017,PR,S,0.6331555711707046,5436
2017,RJ,SE,0.6345184387456545,7146
2017,RN,NE,0.5412290628216381,2284
2017,RO,N,0.5089963135662282,1932
2017,RR,N,0.6084314956207443,1594
2017,RS,S,0.6117336599155457,4607
2017,SC,S,0.6538640107703027,6256
2017,SE,NE,0.45793636122683995,2156
2017,SP,SE,0.751331251911521,7913
