ano,trim,macroetapa,categoria,valor,freq,n
2012,1,EF finais,sexo,Homem,1.0,12493
2012,1,EF finais,sexo,Mulher,1.0,11865
2012,1,EF iniciais,sexo,Homem,1.0,17631
2012,1,EF iniciais,sexo,Mulher,1.0,15035
2012,1,EM,sexo,Homem,1.0,7707
2012,1,EM,sexo,Mulher,1.0,8469
2012,2,EF finais,sexo,Homem,1.0,16431
2012,2,EF finais,sexo,Mulher,1.0,15526
2012,2,EF iniciais,sexo,Homem,1.0,23215
2012,2,EF iniciais,sexo,Mulher,1.0,20184
2012,2,EM,sexo,Homem,1.0,9803
2012,2,EM,sexo,Mulher,1.0,10972
2012,3,EF finais,sexo,Homem,1.0,15900
2012,3,EF finais,sexo,Mulher,1.0,14966
2012,3,EF iniciais,sexo,Homem,1.0,22604
2012,3,EF iniciais,sexo,Mulher,1.0,19840
2012,3,EM,sexo,Homem,1.0,9291
2012,3,EM,sexo,Mulher,1.0,10458
2012,4,EF finais,sexo,Homem,1.0,15368
2012,4,EF finais,sexo,Mulher,1.0,14708
2012,4,EF iniciais,sexo,Homem,1.0,21383
2012,4,EF iniciais,sexo,Mulher,1.0,18909
2012,4,EM,sexo,Homem,1.0,8694
2012,4,EM,sexo,Mulher,1.0,9951
2013,1,EF finais,sexo,Homem,1.0,15686
2013,1,EF finais,sexo,Mulher,1.0,14491
2013,1,EF iniciais,sexo,Homem,1.0,20272
2013,1,EF iniciais,sexo,Mulher,1.0,17995
2013,1,EM,sexo,Homem,1.0,9722
2013,1,EM,sexo,Mulher,1.0,10538
2013,2,EF finais,sexo,Homem,1.0,15501
2013,2,EF finais,sexo,Mulher,1.0,14236
2013,2,EF iniciais,sexo,Homem,1.0,20343
2013,2,EF iniciais,sexo,Mulher,1.0,17945
2013,2,EM,sexo,Homem,1.0,9300
2013,2,EM,sexo,Mulher,1.0,10123
2013,3,EF finais,sexo,Homem,1.0,14986
2013,3,EF finais,sexo,Mulher,1.0,13714
2013,3,EF iniciais,sexo,Homem,1.0,19779
2013,3,EF iniciais,sexo,Mulher,1.0,17386
2013,3,EM,sexo,Homem,1.0,8743
2013,3,EM,sexo,Mulher,1.0,9592
2013,4,EF finais,sexo,Homem,1.0,14787
2013,4,EF finais,sexo,Mulher,1.0,13288
2013,4,EF iniciais,sexo,Homem,1.0,19341
2013,4,EF iniciais,sexo,Mulher,1.0,16963
2013,4,EM,sexo,Homem,1.0,8428
2013,4,EM,sexo,Mulher,1.0,9189
2014,1,EF finais,sexo,Homem,1.0,15048
2014,1,EF finais,sexo,Mulher,1.0,13304
2014,1,EF iniciais,sexo,Homem,1.0,18988
2014,1,EF iniciais,sexo,Mulher,1.0,16599
2014,1,EM,sexo,Homem,1.0,9585
2014,1,EM,sexo,Mulher,1.0,9886
2014,2,EF finais,sexo,Homem,1.0,14929
2014,2,EF finais,sexo,Mulher,1.0,13259
2014,2,EF iniciais,sexo,Homem,1.0,19256
2014,2,EF iniciais,sexo,Mulher,1.0,16945
2014,2,EM,sexo,Homem,1.0,9363
2014,2,EM,sexo,Mulher,1.0,9686
2014,3,EF finais,sexo,Homem,1.0,14824
2014,3,EF finais,sexo,Mulher,1.0,13400
2014,3,EF iniciais,sexo,Homem,1.0,19377
2014,3,EF iniciais,sexo,Mulher,1.0,17260
2014,3,EM,sexo,Homem,1.0,9268
2014,3,EM,sexo,Mulher,1.0,9519
2014,4,EF finais,sexo,Homem,1.0,14734
2014,4,EF finais,sexo,Mulher,1.0,13622
2014,4,EF iniciais,sexo,Homem,1.0,19266
2014,4,EF iniciais,sexo,Mulher,1.0,17218
2014,4,EM,sexo,Homem,1.0,8972
2014,4,EM,sexo,Mulher,1.0,9162
2015,1,EF finais,sexo,Homem,1.0,14871
2015,1,EF finais,sexo,Mulher,1.0,13797
2015,1,EF iniciais,sexo,Homem,1.0,18433
2015,1,EF iniciais,sexo,Mulher,1.0,16664
2015,1,EM,sexo,Homem,1.0,9931
2015,1,EM,sexo,Mulher,1.0,9778
2015,2,EF finais,sexo,Homem,1.0,14929
2015,2,EF finais,sexo,Mulher,1.0,14042
2015,2,EF iniciais,sexo,Homem,1.0,18975
2015,2,EF iniciais,sexo,Mulher,1.0,17041
2015,2,EM,sexo,Homem,1.0,9662
2015,2,EM,sexo,Mulher,1.0,9731
2015,3,EF finais,sexo,Homem,1.0,15012
2015,3,EF finais,sexo,Mulher,1.0,14172
2015,3,EF iniciais,sexo,Homem,1.0,19544
2015,3,EF iniciais,sexo,Mulher,1.0,17702
2015,3,EM,sexo,Homem,1.0,9496
2015,3,EM,sexo,Mulher,1.0,9664
2016,1,EF finais,sexo,Homem,1.0,16023
2016,1,EF finais,sexo,Mulher,1.0,14733
2016,1,EF iniciais,sexo,Homem,1.0,19688
2016,1,EF iniciais,sexo,Mulher,1.0,17455
2016,1,EM,sexo,Homem,1.0,10418
2016,1,EM,sexo,Mulher,1.0,10505
2016,2,EF finais,sexo,Homem,1.0,16234
2016,2,EF finais,sexo,Mulher,1.0,14749
2016,2,EF iniciais,sexo,Homem,1.0,20150
2016,2,EF iniciais,sexo,Mulher,1.0,17898
2016,2,EM,sexo,Homem,1.0,10411
2016,2,EM,sexo,Mulher,1.0,10561
2016,3,EF finais,sexo,Homem,1.0,16188
2016,3,EF finais,sexo,Mulher,1.0,14733
2016,3,EF iniciais,sexo,Homem,1.0,20690
2016,3,EF iniciais,sexo,Mulher,1.0,18495
2016,3,EM,sexo,Homem,1.0,10433
2016,3,EM,sexo,Mulher,1.0,10316
2016,4,EF finais,sexo,Homem,1.0,16115
2016,4,EF finais,sexo,Mulher,1.0,14827
2016,4,EF iniciais,sexo,Homem,1.0,20438
2016,4,EF iniciais,sexo,Mulher,1.0,18155
2016,4,EM,sexo,Homem,1.0,10041
2016,4,EM,sexo,Mulher,1.0,9986
