ano,trim,etapa,freq_rate,n
2012,1,1o EM,1.0,6621
2012,2,1o EM,1.0,8305
2012,3,1o EM,1.0,7750
2012,4,1o EM,1.0,7358
2013,1,1o EM,1.0,8087
2013,2,1o EM,1.0,7722
2013,3,1o EM,1.0,7185
2013,4,1o EM,1.0,6887
2014,1,1o EM,1.0,7657
2014,2,1o EM,1.0,7366
2014,3,1o EM,1.0,7205
2014,4,1o EM,1.0,6922
2015,1,1o EM,1.0,7564
2015,2,1o EM,1.0,7358
2015,3,1o EM,1.0,7176
2016,1,1o EM,1.0,8115
2016,2,1o EM,1.0,8067
2016,3,1o EM,1.0,7790
2016,4,1o EM,1.0,7391
2017,1,1o EM,1.0,8322
2017,2,1o EM,1.0,7933
2017,3,1o EM,1.0,7402
2017,4,1o EM,1.0,7154
2018,1,1o EM,1.0,7590
2018,2,1o EM,1.0,7189
2018,3,1o EM,1.0,6902
2018,4,1o EM,1.0,6555
2019,1,1o EM,1.0,7446
2019,2,1o EM,1.0,7241
2019,3,1o EM,1.0,6924
2019,4,1o EM,1.0,6506
2020,1,1o EM,1.0,6429
2020,2,1o EM,1.0,5072
2020,3,1o EM,1.0,4993
2020,4,1o EM,1.0,4607
2021,1,1o EM,1.0,4281
2021,2,1o EM,1.0,4658
2021,3,1o EM,1.0,5362
2021,4,1o EM,1.0,5570
2022,1,1o EM,1.0,6177
2022,2,1o EM,1.0,6263
2022,3,1o EM,1.0,6150
2022,4,1o EM,1.0,5830
2023,1,1o EM,1.0,6126
2023,2,1o EM,1.0,6015
2023,3,1o EM,1.0,5807
2023,4,1o EM,1.0,5733
2024,1,1o EM,1.0,6144
2024,2,1o EM,1.0,6196
2024,3,1o EM,1.0,6125
2024,4,1o EM,1.0,4438
2012,1,2o EM,1.0,5023
2012,2,2o EM,1.0,6444
2012,3,2o EM,1.0,6193
2012,4,2o EM,1.0,5997
2013,1,2o EM,1.0,6409
2013,2,2o EM,1.0,6092
2013,3,2o EM,1.0,5712
2013,4,2o EM,1.0,5779
2014,1,2o EM,1.0,6204
2014,2,2o EM,1.0,6032
2014,3,2o EM,1.0,5996
2014,4,2o EM,1.0,6021
2015,1,2o EM,1.0,6340
2015,2,2o EM,1.0,6186
2015,3,2o EM,1.0,6176
2016,1,2o EM,1.0,6419
2016,2,2o EM,1.0,6472
2016,3,2o EM,1.0,6554
2016,4,2o EM,1.0,6540
2017,1,2o EM,1.0,6657
2017,2,2o EM,1.0,6272
2017,3,2o EM,1.0,6117
2017,4,2o EM,1.0,6006
2018,1,2o EM,1.0,6369
2018,2,2o EM,1.0,5964
2018,3,2o EM,1.0,6002
2018,4,2o EM,1.0,6045
2019,1,2o EM,1.0,6072
2019,2,2o EM,1.0,5853
2019,3,2o EM,1.0,5882
2019,4,2o EM,1.0,5731
2020,1,2o EM,1.0,5455
2020,2,2o EM,1.0,4320
2020,3,2o EM,1.0,4213
2020,4,2o EM,1.0,3906
2021,1,2o EM,1.0,3953
2021,2,2o EM,1.0,4190
2021,3,2o EM,1.0,4974
2021,4,2o EM,1.0,5118
2022,1,2o EM,1.0,5340
2022,2,2o EM,1.0,5367
2022,3,2o EM,1.0,5213
2022,4,2o EM,1.0,5133
2023,1,2o EM,1.0,5376
2023,2,2o EM,1.0,5265
2023,3,2o EM,1.0,5230
2023,4,2o EM,1.0,5146
2024,1,2o EM,1.0,5453
2024,2,2o EM,1.0,5430
2024,3,2o EM,1.0,5422
2024,4,2o EM,1.0,4186
2012,1,3o EM,1.0,4532
2012,2,3o EM,1.0,6026
2012,3,3o EM,1.0,5806
2012,4,3o EM,1.0,5290
2013,1,3o EM,1.0,5764
2013,2,3o EM,1.0,5609
2013,3,3o EM,1.0,5438
2013,4,3o EM,1.0,4951
2014,1,3o EM,1.0,5610
2014,2,3o EM,1.0,5651
2014,3,3o EM,1.0,5586
2014,4,3o EM,1.0,5191
2015,1,3o EM,1.0,5805
2015,2,3o EM,1.0,5849
2015,3,3o EM,1.0,5808
2016,1,3o EM,1.0,6389
2016,2,3o EM,1.0,6433
2016,3,3o EM,1.0,6405
2016,4,3o EM,1.0,6096
2017,1,3o EM,1.0,6314
2017,2,3o EM,1.0,6223
2017,3,3o EM,1.0,5998
2017,4,3o EM,1.0,5718
2018,1,3o EM,1.0,5904
2018,2,3o EM,1.0,5790
2018,3,3o EM,1.0,5755
2018,4,3o EM,1.0,5324
2019,1,3o EM,1.0,5799
2019,2,3o EM,1.0,5784
2019,3,3o EM,1.0,5698
2019,4,3o EM,1.0,5207
2020,1,3o EM,1.0,4985
2020,2,3o EM,1.0,3986
2020,3,3o EM,1.0,3903
2020,4,3o EM,1.0,3538
2021,1,3o EM,1.0,3731
2021,2,3o EM,1.0,4097
2021,3,3o EM,1.0,4704
2021,4,3o EM,1.0,4774
2022,1,3o EM,1.0,5331
2022,2,3o EM,1.0,5178
2022,3,3o EM,1.0,5167
2022,4,3o EM,1.0,4878
2023,1,3o EM,1.0,5124
2023,2,3o EM,1.0,4871
2023,3,3o EM,1.0,4882
2023,4,3o EM,1.0,4634
2024,1,3o EM,1.0,5203
2024,2,3o EM,1.0,5049
2024,3,3o EM,1.0,5097
2024,4,3o EM,1.0,3653
2012,1,EF finais,1.0,24358
2012,2,EF finais,1.0,31957
2012,3,EF finais,1.0,30866
2012,4,EF finais,1.0,30076
2013,1,EF finais,1.0,30177
2013,2,EF finais,1.0,29737
2013,3,EF finais,1.0,28700
2013,4,EF finais,1.0,28075
2014,1,EF finais,1.0,28352
2014,2,EF finais,1.0,28188
2014,3,EF finais,1.0,28224
2014,4,EF finais,1.0,28356
2015,1,EF finais,1.0,28668
2015,2,EF finais,1.0,28971
2015,3,EF finais,1.0,29184
2016,1,EF finais,1.0,30756
2016,2,EF finais,1.0,30983
2016,3,EF finais,1.0,30921
2016,4,EF finais,1.0,30942
2017,1,EF finais,1.0,31433
2017,2,EF finais,1.0,30992
2017,3,EF finais,1.0,30706
2017,4,EF finais,1.0,29969
2018,1,EF finais,1.0,30158
2018,2,EF finais,1.0,29626
2018,3,EF finais,1.0,29373
2018,4,EF finais,1.0,28838
2019,1,EF finais,1.0,29157
2019,2,EF finais,1.0,28984
2019,3,EF finais,1.0,29064
2019,4,EF finais,1.0,28487
2020,1,EF finais,1.0,25604
2020,2,EF finais,1.0,19979
2020,3,EF finais,1.0,19811
2020,4,EF finais,1.0,18107
2021,1,EF finais,1.0,17552
2021,2,EF finais,1.0,18816
2021,3,EF finais,1.0,22441
2021,4,EF finais,1.0,23850
2022,1,EF finais,1.0,24581
2022,2,EF finais,1.0,24875
2022,3,EF finais,1.0,25055
2022,4,EF finais,1.0,24503
2023,1,EF finais,1.0,24120
2023,2,EF finais,1.0,24065
2023,3,EF finais,1.0,24196
2023,4,EF finais,1.0,24115
2024,1,EF finais,1.0,24489
2024,2,EF finais,1.0,24547
2024,3,EF finais,1.0,24202
2024,4,EF finais,1.0,18247
2012,1,EF iniciais,1.0,32666
2012,2,EF iniciais,1.0,43399
2012,3,EF iniciais,1.0,42444
