ano,serie,categoria,valor,defasado,n
2012,1o EF,raca,Branca,0.05922879721627615,2772
2012,1o EF,raca,Parda,0.11567141770521967,4384
2012,1o EF,raca,Preta,0.13058242034431308,368
2012,1o EF,sexo,Homem,0.10408247242240379,4006
2012,1o EF,sexo,Mulher,0.0788183665180106,3566
2013,1o EF,raca,Branca,0.051088949227315605,2538
2013,1o EF,raca,Parda,0.08957491926651782,3929
2013,1o EF,raca,Preta,0.08192365123837267,281
2013,1o EF,sexo,Homem,0.0820194157562039,3543
2013,1o EF,sexo,Mulher,0.06236909830664897,3227
2014,1o EF,raca,Branca,0.026535519260743077,2371
2014,1o EF,raca,Parda,0.07823473284278959,3838
2014,1o EF,raca,Preta,0.08185123190317233,286
2014,1o EF,sexo,Homem,0.06364657657629497,3365
2014,1o EF,sexo,Mulher,0.04740226978043817,3156
2015,1o EF,raca,Branca,0.031232363271101547,2464
2015,1o EF,raca,Parda,0.061662429618937066,3774
2015,1o EF,raca,Preta,0.08932940464348008,293
2015,1o EF,sexo,Homem,0.05298228443099111,3393
2015,1o EF,sexo,Mulher,0.045939202235381026,3179
2016,1o EF,raca,Branca,0.051939326650569814,2547
2016,1o EF,raca,Parda,0.06533597029180423,4130
2016,1o EF,raca,Preta,0.07694286119282305,376
2016,1o EF,sexo,Homem,0.06222113338535068,3711
2016,1o EF,sexo,Mulher,0.0595243795862569,3383
2017,1o EF,raca,Branca,0.03675105686061313,2483
2017,1o EF,raca,Parda,0.04851535673383842,3874
2017,1o EF,raca,Preta,0.09926056496708688,379
2017,1o EF,sexo,Homem,0.04906602817661769,3473
2017,1o EF,sexo,Mulher,0.04455174032390407,3312
2018,1o EF,raca,Branca,0.0308308822130179,2473
2018,1o EF,raca,Parda,0.04695998414915506,3720
2018,1o EF,raca,Preta,0.0395019967302568,371
2018,1o EF,sexo,Homem,0.04581868411697089,3475
2018,1o EF,sexo,Mulher,0.03207771700461981,3155
2019,1o EF,raca,Branca,0.03181004052161152,2315
2019,1o EF,raca,Parda,0.0464036161411643,3512
2019,1o EF,raca,Preta,0.07737059290992788,416
2019,1o EF,sexo,Homem,0.046488558854627375,3227
2019,1o EF,sexo,Mulher,0.03901190104814743,3076
2020,1o EF,raca,Branca,0.03138161412568999,1630
2020,1o EF,raca,Parda,0.051060310023666025,2471
2020,1o EF,raca,Preta,0.054080852846971186,237
2020,1o EF,sexo,Homem,0.05114336873533227,2216
2020,1o EF,sexo,Mulher,0.03576118529832378,2149
2021,1o EF,raca,Branca,0.04200629107924344,1413
2021,1o EF,raca,Parda,0.08262434235921484,2065
2021,1o EF,raca,Preta,0.06377977594657624,191
2021,1o EF,sexo,Homem,0.07178161830854313,1917
2021,1o EF,sexo,Mulher,0.05495944687900538,1777
2022,1o EF,raca,Branca,0.044890140494665096,1971
2022,1o EF,raca,Parda,0.06545434811659284,2816
2022,1o EF,raca,Preta,0.10090470821961732,343
2022,1o EF,sexo,Homem,0.0690950821062768,2739
2022,1o EF,sexo,Mulher,0.04834609426425588,2442
2023,1o EF,raca,Branca,0.05925877347634686,1806
2023,1o EF,raca,Parda,0.07628908371243856,2528
2023,1o EF,raca,Preta,0.14433219982579837,320
2023,1o EF,sexo,Homem,0.08041387424890178,2469
2023,1o EF,sexo,Mulher,0.06794597019369442,2245
2024,1o EF,raca,Branca,0.05056303514855522,1949
2024,1o EF,raca,Parda,0.07109421415399686,2885
2024,1o EF,raca,Preta,0.09340447411281011,366
2024,1o EF,sexo,Homem,0.06266062039629161,2721
2024,1o EF,sexo,Mulher,0.06525176016374414,2532
2012,1o EM,raca,Branca,0.16835382504829347,3248
2012,1o EM,raca,Parda,0.27825528747656225,4582
2012,1o EM,raca,Preta,0.28956115125824955,435
2012,1o EM,sexo,Homem,0.2687297277864616,4071
2012,1o EM,sexo,Mulher,0.19211998426122348,4234
2013,1o EM,raca,Branca,0.15887562345673065,2960
2013,1o EM,raca,Parda,0.25513696041615985,4298
2013,1o EM,raca,Preta,0.29689854158062423,431
2013,1o EM,sexo,Homem,0.2499421138423763,3888
2013,1o EM,sexo,Mulher,0.1798480531309733,3834
2014,1o EM,raca,Branca,0.1479921492237531,2878
2014,1o EM,raca,Parda,0.2500960909491112,4072
2014,1o EM,raca,Preta,0.32412851385132946,391
2014,1o EM,sexo,Homem,0.2492216949620843,3788
2014,1o EM,sexo,Mulher,0.16598123665638126,3578
2015,1o EM,raca,Branca,0.13857282018450526,2701
2015,1o EM,raca,Parda,0.2434576240889737,4205
2015,1o EM,raca,Preta,0.2979651918124507,423
2015,1o EM,sexo,Homem,0.2414660144445944,3764
2015,1o EM,sexo,Mulher,0.1635112526516806,3594
2016,1o EM,raca,Branca,0.13028449049260069,2855
2016,1o EM,raca,Parda,0.22540308617528643,4623
2016,1o EM,raca,Preta,0.2459571170027742,534
2016,1o EM,sexo,Homem,0.2275792511382309,4046
2016,1o EM,sexo,Mulher,0.14659388721538186,4021
2017,1o EM,raca,Branca,0.13687540744510668,2691
2017,1o EM,raca,Parda,0.23424206170918294,4657
2017,1o EM,raca,Preta,0.2688435090627492,544
2017,1o EM,sexo,Homem,0.23678143696639536,4092
2017,1o EM,sexo,Mulher,0.1607589509626011,3841
2018,1o EM,raca,Branca,0.1376018399021331,2460
2018,1o EM,raca,Parda,0.23878569033150543,4134
2018,1o EM,raca,Preta,0.27513302433820475,538
2018,1o EM,sexo,Homem,0.23031376893808195,3721
2018,1o EM,sexo,Mulher,0.17359243018125872,3468
2019,1o EM,raca,Branca,0.15123684847945026,2534
2019,1o EM,raca,Parda,0.22045497809571227,4083
2019,1o EM,raca,Preta,0.2757073636482332,559
2019,1o EM,sexo,Homem,0.24027575024196765,3728
2019,1o EM,sexo,Mulher,0.15511722706884906,3513
2020,1o EM,raca,Branca,0.13089737952407257,1865
2020,1o EM,raca,Parda,0.213145849273874,2809
2020,1o EM,raca,Preta,0.3126532382402319,348
2020,1o EM,sexo,Homem,0.22958912599909204,2638
2020,1o EM,sexo,Mulher,0.14403204533380834,2434
2021,1o EM,raca,Branca,0.15479163921541236,1676
2021,1o EM,raca,Parda,0.23844695134236255,2615
2021,1o EM,raca,Preta,0.2832745315313618,321
2021,1o EM,sexo,Homem,0.23342664879990402,2407
2021,1o EM,sexo,Mulher,0.1816813569466032,2251
2022,1o EM,raca,Branca,0.12994824721955217,2239
2022,1o EM,raca,Parda,0.17865090768984565,3461
2022,1o EM,raca,Preta,0.2027768018760326,510
