macroetapa,categoria,valor,prom,rep,evas,eja,n
EF iniciais,sexo,Homem,0.796188888814944,0.17711758757218513,0.006869097445882593,0.0011929734674645252,69757
EF iniciais,sexo,Mulher,0.8174220227412512,0.16329885692671267,0.0037864080696965855,0.0005509097115360508,63076
EF iniciais,raca,Branca,0.8301580059598858,0.15367669448520377,0.003277562514035986,0.000376748556477967,48460
EF iniciais,raca,Parda,0.7904751210907872,0.18137893992365833,0.006835629894867257,0.0012002089771386746,75765
EF iniciais,raca,Preta,0.7804734457211187,0.19022960170910724,0.007921475086453328,0.0016216887330927291,7602
EF finais,sexo,Homem,0.7458627723303667,0.19225189315373628,0.024830665767615667,0.008230578909684726,57467
EF finais,sexo,Mulher,0.7854495380102766,0.17103985561909477,0.014808634269306868,0.0047713057461972646,52119
EF finais,raca,Branca,0.7909911993033286,0.16803076873112144,0.015719239508177815,0.004598957569141983,39223
EF finais,raca,Parda,0.7487603138377615,0.190754484778528,0.02273535354481603,0.007846073998292461,62543
EF finais,raca,Preta,0.7320512577363741,0.1991126812253778,0.024610338538607886,0.008618223751295217,7018
EM,sexo,Homem,0.6557906869679845,0.20810923957340383,0.0848703241980735,0.0038236236494285382,38759
EM,sexo,Mulher,0.7144494546348537,0.1799246682385953,0.05924778253706471,0.0023093260108590983,39050
EM,raca,Branca,0.6952817663831317,0.1879811559612669,0.06556985378972408,0.002576254255331162,30945
EM,raca,Parda,0.6816490737053924,0.1952635147555454,0.07635391983616198,0.0032795410517978156,41019
EM,raca,Preta,0.6465806499320573,0.22102436526651822,0.08484901843386723,0.0045955575681303675,5289
