macroetapa,idade,prom,rep,evas,n
EF iniciais,5,0.4201258244080733,0.48459450150571426,0.01774110726329523,2392
EF iniciais,6,0.7935145581312387,0.18943516936094418,0.0015904737499942373,15798
EF iniciais,7,0.8242408278222211,0.15983310539166554,0.001617443161641541,23050
EF iniciais,8,0.8136098662781114,0.1682636589027941,0.001350949047180742,24231
EF iniciais,9,0.8173564231453596,0.1642462698610732,0.0013899699811804965,24697
EF iniciais,10,0.829909854456381,0.15465078561973453,0.0018568920520370615,23625
EF iniciais,11,0.8301940774089583,0.15043980483436198,0.003907441847398534,10595
EF iniciais,12,0.7789191604953306,0.18165167768524948,0.01304057828167469,3792
EF iniciais,13,0.7303759933366715,0.21923300870333712,0.023279328025349606,1835
EF iniciais,14,0.7178358811309624,0.1781643889247943,0.060148953360430545,1050
EF iniciais,15,0.6725081066642082,0.14322078790548798,0.10255405021062257,703
EF iniciais,16,0.6162101518631447,0.13191124903396523,0.19303540203789127,404
EF iniciais,17,0.5216489567312568,0.08765156625244135,0.2807776748500236,238
EF iniciais,18,0.35265737921882323,0.14915145587633147,0.40244643877966946,134
EF iniciais,19,0.3203464368732175,0.07056912450878043,0.4184857669585482,77
EF iniciais,20,0.18024352382497125,0.1567624847275688,0.6081799145877912,63
EF iniciais,21,0.29453265490747194,0.07034082614424174,0.6143351367644232,55
EF iniciais,22,0.21149124735484306,0.18233905798991307,0.48061199661062964,46
EF iniciais,23,0.18712167884522432,0.10860124203129012,0.5504270710068018,36
EF iniciais,24,0.0,0.0,0.9141714873759552,12
EF finais,9,0.3299853462865389,0.3537704388811354,0.0,222
EF finais,10,0.5766105284286566,0.3503944013115367,0.0005546492086354842,2034
EF finais,11,0.7772845020156048,0.1935777798482357,0.002273431292691196,15172
EF finais,12,0.7912898727087309,0.18131666200745342,0.0029546781640765094,23074
EF finais,13,0.7898572504866107,0.18045128500525387,0.003996374964334319,24574
EF finais,14,0.793835905508605,0.1691345287034087,0.00940408151897759,22820
EF finais,15,0.7634029091664435,0.16820919378673288,0.03054769130567989,11561
EF finais,16,0.6645686249214124,0.18574375375171287,0.07583495817833769,5305
EF finais,17,0.5484960598674513,0.1626393493914804,0.2095285692001572,2511
EF finais,18,0.4342047831080547,0.17844152229512936,0.2687960702675854,1091
EF finais,19,0.40639566533598215,0.1677292413914301,0.34301992899732314,497
EF finais,20,0.33130152705744687,0.19844041351681796,0.35589535426547003,297
EF finais,21,0.3001916402042822,0.16466500079675148,0.4616263524753179,195
EF finais,22,0.3366098172102681,0.12741196726996237,0.412189568782176,130
EF finais,23,0.2960209788868615,0.061825375308509685,0.5640145118253228,86
EF finais,24,0.012129080871928998,0.07187260939927362,0.8624332502212462,17
EM,13,0.27774755606744106,0.26508797933144645,0.007694757389260103,396
EM,14,0.6515770210281177,0.2542904700717285,0.011226419113187709,2886
EM,15,0.7592588951002932,0.19081311866427686,0.011636023948747874,14302
EM,16,0.7551521522725461,0.17684547353644578,0.029177365116273158,19036
EM,17,0.6888362491934366,0.1923805283961979,0.06616832560133665,16891
EM,18,0.6348473825280732,0.19658451502821772,0.1247650829720625,9345
EM,19,0.5908707092623208,0.1964037558987563,0.16281031928205408,5159
EM,20,0.5586339265998645,0.21721606422675285,0.17226542368982087,3440
EM,21,0.562579893879391,0.20523388082737506,0.17841319900081046,2502
EM,22,0.5367614154759266,0.21589592633748797,0.19011257840011475,1969
EM,23,0.5357708293267907,0.20400253226968576,0.18972517854651666,1550
EM,24,0.4555670753113037,0.21401063224211242,0.27104428807289216,333
