ano,macroetapa,raca,quintil,prom,evas,n
2012,EF finais,Branca,Q1 (pobre),0.7054644705536992,0.036939529438033684,522
2012,EF finais,Branca,Q2-Q4,0.7607580190956547,0.030456660388020713,2190
2012,EF finais,Branca,Q5 (rico),0.8445378979477505,0.0037618599813511342,1038
2012,EF finais,Parda,Q1 (pobre),0.6900826164941466,0.04148834661882265,1486
2012,EF finais,Parda,Q2-Q4,0.7216834901853081,0.04381100074585771,3779
2012,EF finais,Parda,Q5 (rico),0.8058717981795666,0.01814467782394811,610
2012,EF finais,Preta,Q1 (pobre),0.6714028957234599,0.0969612086234024,123
2012,EF finais,Preta,Q2-Q4,0.7201457029270469,0.021682908077768463,394
2012,EF finais,Preta,Q5 (rico),0.7240446404551065,0.0,53
2012,EF iniciais,Branca,Q1 (pobre),0.7463735844956965,0.015560841754799975,717
2012,EF iniciais,Branca,Q2-Q4,0.8000830353017647,0.009552347963241413,2848
2012,EF iniciais,Branca,Q5 (rico),0.8718180507782696,0.003337360156223503,1317
2012,EF iniciais,Parda,Q1 (pobre),0.7155992823519883,0.01844091667054175,2305
2012,EF iniciais,Parda,Q2-Q4,0.7701335131806284,0.010347357628777662,4835
2012,EF iniciais,Parda,Q5 (rico),0.8625412867404122,0.012140508462584175,602
2012,EF iniciais,Preta,Q1 (pobre),0.6764948337004314,0.03742423998455247,200
2012,EF iniciais,Preta,Q2-Q4,0.7254290727865073,0.016831165931199234,458
2012,EF iniciais,Preta,Q5 (rico),0.9374048374902405,0.009256870304242977,62
2012,EM,Branca,Q1 (pobre),0.6492599690692684,0.06736877476985925,359
2012,EM,Branca,Q2-Q4,0.6634160231858177,0.07349536280572976,2001
2012,EM,Branca,Q5 (rico),0.6359404862904148,0.06742476096228225,1785
2012,EM,Parda,Q1 (pobre),0.7089144462559934,0.09307166404783784,691
2012,EM,Parda,Q2-Q4,0.649046053527241,0.09612155629811533,2634
2012,EM,Parda,Q5 (rico),0.6249219568144763,0.08373004659603671,901
2012,EM,Preta,Q1 (pobre),0.6463820833771649,0.17870900486183067,73
2012,EM,Preta,Q2-Q4,0.7145608902052185,0.07132845350985005,316
2012,EM,Preta,Q5 (rico),0.6462222228813145,0.059174143045476836,115
2013,EF finais,Branca,Q1 (pobre),0.7394919389156402,0.04634110227973014,519
2013,EF finais,Branca,Q2-Q4,0.7648163603508448,0.03232202010985852,2175
2013,EF finais,Branca,Q5 (rico),0.8185848734871884,0.016125793213826213,956
2013,EF finais,Parda,Q1 (pobre),0.663402749696113,0.048393183898757415,1417
2013,EF finais,Parda,Q2-Q4,0.7363148790136683,0.03429655465456108,3442
2013,EF finais,Parda,Q5 (rico),0.7868118152813154,0.023841756632968274,542
2013,EF finais,Preta,Q1 (pobre),0.7429940059340806,0.058104134432381854,133
2013,EF finais,Preta,Q2-Q4,0.7033085728639582,0.025339539495064203,392
2013,EF finais,Preta,Q5 (rico),0.6837970766882173,0.09056109137300491,60
2013,EF iniciais,Branca,Q1 (pobre),0.8307095224907992,0.007418611408862684,692
2013,EF iniciais,Branca,Q2-Q4,0.8248381675100255,0.006859072887053961,2722
2013,EF iniciais,Branca,Q5 (rico),0.8445001634289507,0.0018727123414259289,1174
2013,EF iniciais,Parda,Q1 (pobre),0.7271194161602815,0.020739870855227962,1989
2013,EF iniciais,Parda,Q2-Q4,0.7860504990461737,0.011907750578691579,4296
2013,EF iniciais,Parda,Q5 (rico),0.8342047735492386,0.006475329176837012,570
2013,EF iniciais,Preta,Q1 (pobre),0.8154717062066502,0.01721269179559024,190
2013,EF iniciais,Preta,Q2-Q4,0.7744656276214074,0.025766346426407887,395
2013,EF iniciais,Preta,Q5 (rico),0.7628182617491073,0.02592598685642791,48
2013,EM,Branca,Q1 (pobre),0.6706819320344835,0.08411901134964477,360
2013,EM,Branca,Q2-Q4,0.6558588731156021,0.09548892351413493,1920
2013,EM,Branca,Q5 (rico),0.6128049726338562,0.06204461675881336,1716
2013,EM,Parda,Q1 (pobre),0.625340329030093,0.11005237498920778,669
2013,EM,Parda,Q2-Q4,0.6396735277096031,0.10634529027456993,2504
2013,EM,Parda,Q5 (rico),0.6176901828346522,0.053049931042913424,865
2013,EM,Preta,Q1 (pobre),0.6756131653576277,0.03771193616813328,57
2013,EM,Preta,Q2-Q4,0.6468888349568817,0.11317617166666953,301
2013,EM,Preta,Q5 (rico),0.6087163297469937,0.054551915533276873,116
2014,EF finais,Branca,Q1 (pobre),0.7575884412543838,0.031174915694061864,495
2014,EF finais,Branca,Q2-Q4,0.7853097184319774,0.024011999756804216,2034
2014,EF finais,Branca,Q5 (rico),0.8343055569295913,0.01720462374971185,1004
2014,EF finais,Parda,Q1 (pobre),0.7006041226182589,0.0395839260372222,1517
2014,EF finais,Parda,Q2-Q4,0.753693402315095,0.028024772364306647,3542
2014,EF finais,Parda,Q5 (rico),0.7632664587870744,0.020939295110826674,592
2014,EF finais,Preta,Q1 (pobre),0.7173140364865549,0.048816724754160795,130
2014,EF finais,Preta,Q2-Q4,0.7765726387538887,0.02536582553832149,376
2014,EF finais,Preta,Q5 (rico),0.8827763025062954,0.062237319114802916,54
2014,EF iniciais,Branca,Q1 (pobre),0.819108080760739,0.012463585885333705,597
2014,EF iniciais,Branca,Q2-Q4,0.8390535578158789,0.007532442469646843,2641
2014,EF iniciais,Branca,Q5 (rico),0.8661936792369467,0.004507137073690605,1246
2014,EF iniciais,Parda,Q1 (pobre),0.7476042331913817,0.011610654237293395,2127
2014,EF iniciais,Parda,Q2-Q4,0.8067949564283976,0.007926363818630688,4357
2014,EF iniciais,Parda,Q5 (rico),0.8534830769271943,0.003378122264417222,627
2014,EF iniciais,Preta,Q1 (pobre),0.7766149747879757,0.018786619908454892,144
2014,EF iniciais,Preta,Q2-Q4,0.8051397125188637,0.005965964811273802,332
2014,EF iniciais,Preta,Q5 (rico),0.8092457299491518,0.03801037139556525,40
2014,EM,Branca,Q1 (pobre),0.6583673782770997,0.04998274412181867,365
2014,EM,Branca,Q2-Q4,0.6618066272376303,0.06569141856657719,1981
2014,EM,Branca,Q5 (rico),0.6395042962862982,0.0698595874802984,1766
2014,EM,Parda,Q1 (pobre),0.6601190283346067,0.09604919386977581,724
2014,EM,Parda,Q2-Q4,0.6370899382917886,0.10394572570568415,2679
2014,EM,Parda,Q5 (rico),0.6218384431182744,0.07539692500828848,978
2014,EM,Preta,Q1 (pobre),0.7011045298951483,0.06723095994725396,64
2014,EM,Preta,Q2-Q4,0.7285354891447092,0.05645144843515909,298
2014,EM,Preta,Q5 (rico),0.6550392057674875,0.12371817159755998,103
2015,EF finais,Branca,Q1 (pobre),0.6781608605678944,0.03527419821588197,507
2015,EF finais,Branca,Q2-Q4,0.8014853896685915,0.02177577673855224,2126
2015,EF finais,Branca,Q5 (rico),0.8316868830655022,0.01168699626492127,1178
2015,EF finais,Parda,Q1 (pobre),0.695936040241719,0.04273287994343688,1495
2015,EF finais,Parda,Q2-Q4,0.7492777127402394,0.026363294761980478,3786
2015,EF finais,Parda,Q5 (rico),0.8240960831791826,0.009537299500912814,666
2015,EF finais,Preta,Q1 (pobre),0.69729316650065,0.034221215162432386,136
2015,EF finais,Preta,Q2-Q4,0.7233997974199058,0.026629653850593533,420
2015,EF finais,Preta,Q5 (rico),0.8052361227595027,0.015752453301456346,67
2015,EF iniciais,Branca,Q1 (pobre),0.7666776959643763,0.0052044121847304795,628
2015,EF iniciais,Branca,Q2-Q4,0.8358165369749889,0.006108994347937602,2665
2015,EF iniciais,Branca,Q5 (rico),0.859679266893532,0.0,1493
2015,EF iniciais,Parda,Q1 (pobre),0.7477237664525913,0.010081326051675865,2004
2015,EF iniciais,Parda,Q2-Q4,0.7951455783609169,0.006745728996064489,4797
2015,EF iniciais,Parda,Q5 (rico),0.8603991907383233,0.0,759
2015,EF iniciais,Preta,Q1 (pobre),0.7510125999414653,0.0018655300450728847,150
2015,EF iniciais,Preta,Q2-Q4,0.7663382280744542,0.01844425818922042,449
2015,EF iniciais,Preta,Q5 (rico),0.7383612031998751,0.0,59
2015,EM,Branca,Q1 (pobre),0.6950448149591943,0.09997417492950962,308
2015,EM,Branca,Q2-Q4,0.6877912640715717,0.09822267581012241,1445
2015,EM,Branca,Q5 (rico),0.6679900750871111,0.13244145411374117,1155
2015,EM,Parda,Q1 (pobre),0.6744016640382655,0.0855523743049734,695
2015,EM,Parda,Q2-Q4,0.7003342246595982,0.10969221167669264,2415
2015,EM,Parda,Q5 (rico),0.645149694157542,0.14638258009367766,670
2015,EM,Preta,Q1 (pobre),0.5270733877030056,0.18247073684715287,57
2015,EM,Preta,Q2-Q4,0.5912558837291788,0.14283831251937995,282
2015,EM,Preta,Q5 (rico),0.5527245326244812,0.151992232575446,85
2016,EF finais,Branca,Q1 (pobre),0.7402467888185704,0.013964637755041623,516
2016,EF finais,Branca,Q2-Q4,0.8005163622365631,0.014364957508459194,1989
2016,EF finais,Branca,Q5 (rico),0.8727315235764123,0.007912202560024919,1246
2016,EF finais,Parda,Q1 (pobre),0.6978498069485733,0.048722462817612236,1411
2016,EF finais,Parda,Q2-Q4,0.7592877764337754,0.025525621136128596,3954
2016,EF finais,Parda,Q5 (rico),0.7977003992892465,0.015133672211869528,887
2016,EF finais,Preta,Q1 (pobre),0.6615408170434746,0.043463452939793965,137
2016,EF finais,Preta,Q2-Q4,0.6989483923234954,0.019607630134862632,387
2016,EF finais,Preta,Q5 (rico),0.8259174361344648,0.019036916737669995,86
2016,EF iniciais,Branca,Q1 (pobre),0.8133431234683796,0.004195139208153246,652
2016,EF iniciais,Branca,Q2-Q4,0.8576996127507115,0.0019303459993652,2499
2016,EF iniciais,Branca,Q5 (rico),0.8846389224960891,0.002504301575452893,1520
2016,EF iniciais,Parda,Q1 (pobre),0.75712173414769,0.02119886591231995,1954
2016,EF iniciais,Parda,Q2-Q4,0.814243255225391,0.004462997835356889,4725
2016,EF iniciais,Parda,Q5 (rico),0.8294798107177653,0.00016479730561094036,884
2016,EF iniciais,Preta,Q1 (pobre),0.720732812041797,0.025979434669682996,192
2016,EF iniciais,Preta,Q2-Q4,0.795788426642883,0.0032762030581995885,422
2016,EF iniciais,Preta,Q5 (rico),0.8332900230626288,0.0,78
2016,EM,Branca,Q1 (pobre),0.7249914851644141,0.05534779352896484,300
2016,EM,Branca,Q2-Q4,0.7206795182197269,0.07024771801061873,1279
2016,EM,Branca,Q5 (rico),0.79696358395663,0.058453931540294664,962
2016,EM,Parda,Q1 (pobre),0.6984169492458041,0.08068465137495971,791
2016,EM,Parda,Q2-Q4,0.7107665351406044,0.0779658771115476,2532
2016,EM,Parda,Q5 (rico),0.7095860854589607,0.08034270579854674,655
2016,EM,Preta,Q1 (pobre),0.6589215859147061,0.04904240858552529,80
2016,EM,Preta,Q2-Q4,0.6395282038430913,0.10277305698652832,286
2016,EM,Preta,Q5 (rico),0.6554149269194605,0.07614643026917677,85
2017,EF finais,Branca,Q1 (pobre),0.7402484722909956,0.028429250067944226,537
2017,EF finais,Branca,Q2-Q4,0.8064730229154209,0.015529764566468075,2040
2017,EF finais,Branca,Q5 (rico),0.8400710664287258,0.006918168143424121,1211
2017,EF finais,Parda,Q1 (pobre),0.716490651045641,0.03728120887106888,1467
2017,EF finais,Parda,Q2-Q4,0.7880492193032193,0.021492055258850597,3784
2017,EF finais,Parda,Q5 (rico),0.842454871039436,0.016113704888362106,737
2017,EF finais,Preta,Q1 (pobre),0.6510682453045198,0.12317223074141345,145
2017,EF finais,Preta,Q2-Q4,0.7467867362154762,0.01400719317005306,460
2017,EF finais,Preta,Q5 (rico),0.7896637779829356,0.0,90
2017,EF iniciais,Branca,Q1 (pobre),0.8738440022826586,0.012217766097125387,585
2017,EF iniciais,Branca,Q2-Q4,0.8655091343503798,0.003549679716761349,2506
2017,EF iniciais,Branca,Q5 (rico),0.9021625761611324,0.001409417756836856,1432
2017,EF iniciais,Parda,Q1 (pobre),0.7806307417262576,0.01465603061601461,1903
2017,EF iniciais,Parda,Q2-Q4,0.8433201194421447,0.005515176784430465,4518
2017,EF iniciais,Parda,Q5 (rico),0.8834096540064587,0.001926750627547525,866
2017,EF iniciais,Preta,Q1 (pobre),0.8550419845605075,0.008490834065985057,149
2017,EF iniciais,Preta,Q2-Q4,0.7910709277032938,0.009559217530411605,497
2017,EF iniciais,Preta,Q5 (rico),0.9163849468936122,0.0,99
2017,EM,Branca,Q1 (pobre),0.7641582302406605,0.08894057014369312,314
2017,EM,Branca,Q2-Q4,0.7524206761123143,0.07377692267447608,1234
2017,EM,Branca,Q5 (rico),0.8080894301613706,0.04147741792502634,802
2017,EM,Parda,Q1 (pobre),0.7456807872850553,0.05942507064819793,707
2017,EM,Parda,Q2-Q4,0.7292858060091328,0.08102958778562612,2303
2017,EM,Parda,Q5 (rico),0.776972220670532,0.0662864568806056,600
2017,EM,Preta,Q1 (pobre),0.8092138977453344,0.02081965837632268,76
2017,EM,Preta,Q2-Q4,0.6186618393743498,0.11374405918463194,316
2017,EM,Preta,Q5 (rico),0.6911091164154364,0.11452356890393278,88
2018,EF finais,Branca,Q1 (pobre),0.8294944900254747,0.022971246591118405,450
2018,EF finais,Branca,Q2-Q4,0.8206860393094215,0.01979875432031608,1899
2018,EF finais,Branca,Q5 (rico),0.8615772279018827,0.016755078461351398,1133
2018,EF finais,Parda,Q1 (pobre),0.7549783358458195,0.034630398509273075,1453
2018,EF finais,Parda,Q2-Q4,0.7957835907022173,0.019670021297847114,3611
2018,EF finais,Parda,Q5 (rico),0.839468228312525,0.0033276882658606387,707
2018,EF finais,Preta,Q1 (pobre),0.7201516125074754,0.044007335143150215,161
2018,EF finais,Preta,Q2-Q4,0.7618904071864072,0.02415458951996237,482
2018,EF finais,Preta,Q5 (rico),0.9386357678943603,0.006230641178324906,88
2018,EF iniciais,Branca,Q1 (pobre),0.8785409641483714,0.007521833886318953,559
2018,EF iniciais,Branca,Q2-Q4,0.8721412797269322,0.0033028452738829346,2378
2018,EF iniciais,Branca,Q5 (rico),0.9122958615240252,0.0003432003744705309,1474
2018,EF iniciais,Parda,Q1 (pobre),0.7770380885279727,0.009807736627308718,1769
2018,EF iniciais,Parda,Q2-Q4,0.8525699330819859,0.0057193930000316515,4420
2018,EF iniciais,Parda,Q5 (rico),0.9027558312314036,0.0,879
2018,EF iniciais,Preta,Q1 (pobre),0.7857887166442284,0.0,161
2018,EF iniciais,Preta,Q2-Q4,0.8528375268212878,0.00946339309358173,476
2018,EF iniciais,Preta,Q5 (rico),0.882288993688347,0.0,113
2018,EM,Branca,Q1 (pobre),0.7519033580092495,0.13069520144913763,270
2018,EM,Branca,Q2-Q4,0.7725538977282467,0.08140512282814358,1168
2018,EM,Branca,Q5 (rico),0.8314030313951271,0.03397994600839316,752
2018,EM,Parda,Q1 (pobre),0.7331491562674803,0.0632866410116996,774
2018,EM,Parda,Q2-Q4,0.7408082968250823,0.0821348242986823,2319
2018,EM,Parda,Q5 (rico),0.7677912550500523,0.0698362846608384,583
2018,EM,Preta,Q1 (pobre),0.6763946539406903,0.04791765867798879,100
2018,EM,Preta,Q2-Q4,0.6540224253346881,0.10754580007939883,325
2018,EM,Preta,Q5 (rico),0.7816147501412098,0.024678980448617847,84
2019,EF finais,Branca,Q1 (pobre),0.784066016963444,0.012982598428878408,469
2019,EF finais,Branca,Q2-Q4,0.8277047759777703,0.015540592931689674,1614
2019,EF finais,Branca,Q5 (rico),0.8568329638895128,0.0014253950126528001,951
2019,EF finais,Parda,Q1 (pobre),0.7578665940287287,0.01568457298067632,1147
2019,EF finais,Parda,Q2-Q4,0.798640556015167,0.01689004183157075,3051
2019,EF finais,Parda,Q5 (rico),0.8511187026892171,0.0072631436508924,592
2019,EF finais,Preta,Q1 (pobre),0.8274507250335982,0.0021847301047614592,136
2019,EF finais,Preta,Q2-Q4,0.8078163498597528,0.024340084612260834,351
2019,EF finais,Preta,Q5 (rico),0.8462888662957923,0.01986940735276142,70
2019,EF iniciais,Branca,Q1 (pobre),0.8464456900351993,0.0035142753389323235,471
2019,EF iniciais,Branca,Q2-Q4,0.880461984012517,0.0017058509810131965,2020
2019,EF iniciais,Branca,Q5 (rico),0.9070236261835549,0.0008882681513421351,1199
2019,EF iniciais,Parda,Q1 (pobre),0.767114629086776,0.004621632873997895,1317
2019,EF iniciais,Parda,Q2-Q4,0.8501416221065121,0.005710644840613856,3552
2019,EF iniciais,Parda,Q5 (rico),0.8894301827985942,0.003478055095952756,739
2019,EF iniciais,Preta,Q1 (pobre),0.8355363840005948,0.0,142
2019,EF iniciais,Preta,Q2-Q4,0.8642816247664133,0.005241276155153763,381
2019,EF iniciais,Preta,Q5 (rico),0.7892351390682523,0.0,70
2019,EM,Branca,Q1 (pobre),0.7487915506069623,0.05646942774176251,250
2019,EM,Branca,Q2-Q4,0.7556285934679257,0.0772129943842178,1082
2019,EM,Branca,Q5 (rico),0.8228591386388491,0.029773528732167254,653
2019,EM,Parda,Q1 (pobre),0.716325834411666,0.06562657430480939,697
2019,EM,Parda,Q2-Q4,0.7543612666795245,0.06071993901754337,1862
2019,EM,Parda,Q5 (rico),0.7356403481960019,0.04643262495973095,428
2019,EM,Preta,Q1 (pobre),0.6986368545195176,0.06991350902439504,72
2019,EM,Preta,Q2-Q4,0.72707667470401,0.05881541600161051,296
2019,EM,Preta,Q5 (rico),0.7842301587279203,0.06745205774905709,65
2020,EF finais,Branca,Q2-Q4,0.7468924575037578,0.00845754114281441,1291
2020,EF finais,Branca,Q5 (rico),0.8215107916791203,0.010350253386627137,595
2020,EF finais,Parda,Q2-Q4,0.7030337820237506,0.009578659886659287,2807
2020,EF finais,Parda,Q5 (rico),0.7648140043104578,0.003384080644896867,399
2020,EF finais,Preta,Q2-Q4,0.6276071493123611,0.004057360161079332,255
2020,EF finais,Preta,Q5 (rico),0.6632323388011463,0.0,31
2020,EF iniciais,Branca,Q2-Q4,0.762594262840919,0.0005888771546805037,1495
2020,EF iniciais,Branca,Q5 (rico),0.8051006606089631,0.0,697
2020,EF iniciais,Parda,Q2-Q4,0.7540335437945384,0.007454151651334202,3271
2020,EF iniciais,Parda,Q5 (rico),0.8114220925241167,0.0,470
2020,EF iniciais,Preta,Q2-Q4,0.7256183430185107,0.00805945656950361,286
2020,EF iniciais,Preta,Q5 (rico),0.9598553372095324,0.0,43
2020,EM,Branca,Q2-Q4,0.6617601871835568,0.04603667805143365,842
2020,EM,Branca,Q5 (rico),0.6988845039829408,0.01254511675256684,439
2020,EM,Parda,Q2-Q4,0.6077223117208636,0.0328813351680897,1642
2020,EM,Parda,Q5 (rico),0.6852306750967087,0.05886423143114394,315
2020,EM,Preta,Q2-Q4,0.4580675448948616,0.06795885542363071,194
2020,EM,Preta,Q5 (rico),0.6763308834045993,0.042955074069236016,39
2021,EF finais,Branca,Q1 (pobre),0.7599330533490438,0.01435936325530267,363
2021,EF finais,Branca,Q2-Q4,0.8097058040766462,0.023055220930948278,1403
2021,EF finais,Branca,Q5 (rico),0.8620259625803757,0.0037537363794075762,843
2021,EF finais,Parda,Q1 (pobre),0.7693835614157434,0.035618079616815596,1089
2021,EF finais,Parda,Q2-Q4,0.7954963291988703,0.023935425191871983,2697
2021,EF finais,Parda,Q5 (rico),0.8079097070766394,0.006332410791755125,502
2021,EF finais,Preta,Q1 (pobre),0.7260671049744825,0.011602766504389227,106
2021,EF finais,Preta,Q2-Q4,0.7983222542873626,0.027409405846102568,329
2021,EF finais,Preta,Q5 (rico),0.7596809697982039,0.010968376711616393,59
2021,EF iniciais,Branca,Q1 (pobre),0.7806426603116261,0.003576914353742342,378
2021,EF iniciais,Branca,Q2-Q4,0.8391454310190541,0.0011880857432294619,1609
2021,EF iniciais,Branca,Q5 (rico),0.8567856949481214,0.0002333683677398012,1026
2021,EF iniciais,Parda,Q1 (pobre),0.7870334082488698,0.007974613036381317,1034
