ano_t,macroetapa,atrito_rate
2012,EF finais,0.7428719120619988
2012,EF iniciais,0.7442903198355433
2012,EM,0.7523802088819793
2013,EF finais,0.7413178839013537
2013,EF iniciais,0.7427737057301412
2013,EM,0.7513664993728414
2014,EF finais,0.7266964436441539
2014,EF iniciais,0.7319159733043357
2014,EM,0.7409739898909009
2015,EF finais,0.7146847223049775
2015,EF iniciais,0.7097394903907474
2015,EM,0.719930887000559
2016,EF finais,0.7210393298853564
2016,EF iniciais,0.7255064561174049
2016,EM,0.7330484718343858
2017,EF finais,0.7257638127898862
2017,EF iniciais,0.7248840218327938
2017,EM,0.7411064035735677
2018,EF finais,0.7247372895525059
2018,EF iniciais,0.7299289049746618
2018,EM,0.7229749319975796
2019,EF finais,0.7564681642546964
2019,EF iniciais,0.7575563582389315
2019,EM,0.7574345193147637
2020,EF finais,0.7488824955781843
2020,EF iniciais,0.7487022524041265
2020,EM,0.7464373562252244
2021,EF finais,0.7228372539648416
2021,EF iniciais,0.7297644209044407
2021,EM,0.7465891599233934
2022,EF finais,0.7396102106947422
2022,EF iniciais,0.7295310295243108
2022,EM,0.7395251176000281
2023,EF finais,0.7068863810624293
2023,EF iniciais,0.7054827206986585
2023,EM,0.7223645813477371
