Ano,Trim,grupo,em_rate,n,ano_trim
2022,1,Bolsa Familia,0.619450744341279,517,2022Q1
2022,1,CadUnico (sem BFA),0.6507369429814485,13628,2022Q1
2022,1,Fora do CadUnico,0.7623090700235056,7666,2022Q1
2022,2,Bolsa Familia,0.6369626757985583,1100,2022Q2
2022,2,CadUnico (sem BFA),0.6524081835095286,12773,2022Q2
2022,2,Fora do CadUnico,0.7952828243066873,8122,2022Q2
2022,3,Bolsa Familia,0.5732942692973534,1589,2022Q3
2022,3,CadUnico (sem BFA),0.6089193835969982,12147,2022Q3
2022,3,Fora do CadUnico,0.7671704096765882,8439,2022Q3
2022,4,Bolsa Familia,0.5479317072375137,2145,2022Q4
2022,4,CadUnico (sem BFA),0.5688992829779289,11225,2022Q4
2022,4,Fora do CadUnico,0.7273727353817854,8286,2022Q4
2023,1,Bolsa Familia,0.6291265899822324,2683,2023Q1
2023,1,CadUnico (sem BFA),0.6554758751477948,10948,2023Q1
2023,1,Fora do CadUnico,0.7744123840146364,7779,2023Q1
2023,2,Bolsa Familia,0.6438557720784374,2642,2023Q2
2023,2,CadUnico (sem BFA),0.6625622117275602,10688,2023Q2
2023,2,Fora do CadUnico,0.791404888842102,7764,2023Q2
2023,3,Bolsa Familia,0.6249421703475384,2671,2023Q3
2023,3,CadUnico (sem BFA),0.6345771690732532,10502,2023Q3
2023,3,Fora do CadUnico,0.7667724918657961,7828,2023Q3
2023,4,Bolsa Familia,0.5791107951057491,2694,2023Q4
2023,4,CadUnico (sem BFA),0.5965773178033873,10150,2023Q4
2023,4,Fora do CadUnico,0.7334102682812812,7971,2023Q4
2024,1,Bolsa Familia,0.651865664709689,2165,2024Q1
2024,1,CadUnico (sem BFA),0.680013836476745,11186,2024Q1
2024,1,Fora do CadUnico,0.7791615028154744,7599,2024Q1
2024,2,Bolsa Familia,0.6568091324839279,1641,2024Q2
2024,2,CadUnico (sem BFA),0.6892240438650409,11197,2024Q2
2024,2,Fora do CadUnico,0.8099140186179707,7931,2024Q2
2024,3,Bolsa Familia,0.6352261356984467,1116,2024Q3
2024,3,CadUnico (sem BFA),0.6599033861275928,11389,2024Q3
2024,3,Fora do CadUnico,0.7860950139354932,8216,2024Q3
2024,4,Bolsa Familia,0.5995022043295821,509,2024Q4
2024,4,CadUnico (sem BFA),0.6228099940680039,11399,2024Q4
2024,4,Fora do CadUnico,0.7422362866831381,8290,2024Q4
