Ano,Trim,grupo,engagement,n,ano_trim
2022,1,1/4 a 1/2 SM,0.8917871908611625,8371,2022Q1
2022,1,Renda < 1/4 SM,0.8827409965452039,14073,2022Q1
2022,1,Renda > 1/2 SM,0.9394279100607092,13603,2022Q1
2022,2,1/4 a 1/2 SM,0.8946745904519116,8469,2022Q2
2022,2,Renda < 1/4 SM,0.8735570257836321,13358,2022Q2
2022,2,Renda > 1/2 SM,0.931062333843624,14516,2022Q2
2022,3,1/4 a 1/2 SM,0.8763210167311192,8378,2022Q3
2022,3,Renda < 1/4 SM,0.8727697838110112,13015,2022Q3
2022,3,Renda > 1/2 SM,0.9320192975616074,15013,2022Q3
2022,4,1/4 a 1/2 SM,0.8888932955152923,8134,2022Q4
2022,4,Renda < 1/4 SM,0.8625017259472468,12453,2022Q4
2022,4,Renda > 1/2 SM,0.9291475439513839,14853,2022Q4
2023,1,1/4 a 1/2 SM,0.8899385743401863,7537,2023Q1
2023,1,Renda < 1/4 SM,0.873528373315202,13389,2023Q1
2023,1,Renda > 1/2 SM,0.935478816272893,13950,2023Q1
2023,2,1/4 a 1/2 SM,0.8940328533155201,7580,2023Q2
2023,2,Renda < 1/4 SM,0.8741080589162489,12743,2023Q2
2023,2,Renda > 1/2 SM,0.9301087572028991,14139,2023Q2
2023,3,1/4 a 1/2 SM,0.8799097891458214,7763,2023Q3
2023,3,Renda < 1/4 SM,0.8750789122171508,12342,2023Q3
2023,3,Renda > 1/2 SM,0.9338260280270985,14373,2023Q3
2023,4,1/4 a 1/2 SM,0.8843273709522893,7576,2023Q4
2023,4,Renda < 1/4 SM,0.8754019664821958,12081,2023Q4
2023,4,Renda > 1/2 SM,0.9282057603274755,14615,2023Q4
2024,1,1/4 a 1/2 SM,0.8899861132784439,7910,2024Q1
2024,1,Renda < 1/4 SM,0.8801511916491234,12751,2024Q1
2024,1,Renda > 1/2 SM,0.9273247061784602,13946,2024Q1
2024,2,1/4 a 1/2 SM,0.8922500948759227,7754,2024Q2
2024,2,Renda < 1/4 SM,0.8803982733184986,11990,2024Q2
2024,2,Renda > 1/2 SM,0.9282970195255698,14538,2024Q2
2024,3,1/4 a 1/2 SM,0.8937598683858,7676,2024Q3
2024,3,Renda < 1/4 SM,0.8771514254682221,11749,2024Q3
2024,3,Renda > 1/2 SM,0.9239010428377499,14829,2024Q3
2024,4,1/4 a 1/2 SM,0.8834671585270973,7431,2024Q4
2024,4,Renda < 1/4 SM,0.8703772298756031,11091,2024Q4
2024,4,Renda > 1/2 SM,0.921319972913602,14735,2024Q4
2025,1,1/4 a 1/2 SM,0.8964679580361059,7432,2025Q1
2025,1,Renda < 1/4 SM,0.8857711411402366,11438,2025Q1
2025,1,Renda > 1/2 SM,0.9295538223637543,14367,2025Q1
2025,2,1/4 a 1/2 SM,0.8960581858838673,7440,2025Q2
2025,2,Renda < 1/4 SM,0.8875650468949042,10913,2025Q2
2025,2,Renda > 1/2 SM,0.9283465148160366,14831,2025Q2
2025,3,1/4 a 1/2 SM,0.8869604505766022,7966,2025Q3
2025,3,Renda < 1/4 SM,0.8780533892471132,11068,2025Q3
2025,3,Renda > 1/2 SM,0.924154462495378,15196,2025Q3
2025,4,1/4 a 1/2 SM,0.892461686742223,7939,2025Q4
2025,4,Renda < 1/4 SM,0.8810573048124246,10911,2025Q4
2025,4,Renda > 1/2 SM,0.9243207429877964,15814,2025Q4
