term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo,yr_q,ano,trim,x
yr_q::2022Q1:treat_low,1.9427736514203031,1.3557549398204587,1.4329829044750393,0.15186471380742864,-0.7144776849819683,4.600024987822574,1/4 a 1/2 SM,2022Q1,2022,1,2022.125
yr_q::2022Q2:treat_low,1.7312379325591167,1.342430291724094,1.2896296688416304,0.19718116889811824,-0.8998973721613202,4.362373237279554,1/4 a 1/2 SM,2022Q2,2022,2,2022.375
yr_q::2022Q3:treat_low,-0.8132651263391801,1.3290046005621103,-0.6119355237711027,0.5405813032012501,-3.4180863570817417,1.7915561044033816,1/4 a 1/2 SM,2022Q3,2022,3,2022.625
yr_q::2022Q4:treat_low,-0.8297029084929801,1.3123716471595293,-0.6322164230603217,0.5272463877329452,-3.4019238983224027,1.7425180813364425,1/4 a 1/2 SM,2022Q4,2022,4,2022.875
yr_q::2023Q1:treat_low,0.84690027949848945,1.2331613950386255,0.6867716447383293,0.4922276550557898,-1.5700702722739592,3.263870831270938,1/4 a 1/2 SM,2023Q1,2023,1,2023.125
yr_q::2023Q2:treat_low,2.7553112537006474,1.106716306119925,2.4896274126118088,0.012788733856970816,0.5861704325395558,4.924452074861739,1/4 a 1/2 SM,2023Q2,2023,2,2023.375
NA,0,NA,NA,NA,0,0,1/4 a 1/2 SM,2023Q3,2023,3,2023.625
yr_q::2023Q4:treat_low,0.4066244131572174,1.1160000120149622,0.36435878922890713,0.7155905955449849,-1.7807122774577004,2.593961103772135,1/4 a 1/2 SM,2023Q4,2023,4,2023.875
yr_q::2024Q1:treat_low,2.8817475339121428,1.2362703772751076,2.3310010389991467,0.019754563904639977,0.4586834419576924,5.304811625866593,1/4 a 1/2 SM,2024Q1,2024,1,2024.125
yr_q::2024Q2:treat_low,1.7773132723198346,1.3166728901310278,1.3498518011888028,0.17706547071038806,-0.8033380638048548,4.357964608444524,1/4 a 1/2 SM,2024Q2,2024,2,2024.375
yr_q::2024Q3:treat_low,0.7176355229442468,1.3428237822740556,0.5344227086363781,0.5930498678495747,-1.9142710150271534,3.349542060915647,1/4 a 1/2 SM,2024Q3,2024,3,2024.625
yr_q::2024Q4:treat_low,1.853292681332693,1.3687046317676737,1.3540486663942803,0.17572280051921965,-0.8293397805385303,4.535925143203917,1/4 a 1/2 SM,2024Q4,2024,4,2024.875
yr_q::2025Q1:treat_low,5.063561739520417,1.358317251717666,3.727819648257628,1.93211258405609e-4,2.4012883253715325,7.725835153669302,1/4 a 1/2 SM,2025Q1,2025,1,2025.125
yr_q::2025Q2:treat_low,3.944173017806789,1.3563892764235055,2.907847390394216,0.0036397683046434652,1.2856783949250317,6.602667640688546,1/4 a 1/2 SM,2025Q2,2025,2,2025.375
yr_q::2025Q3:treat_low,2.6906266372149172,1.342447855320025,2.0042690124254405,0.04504296544514336,0.05945690821366911,5.321796366216166,1/4 a 1/2 SM,2025Q3,2025,3,2025.625
yr_q::2025Q4:treat_low,3.483050313954678,1.5067031211051367,2.311703125297789,0.020795336656728846,0.529943698205741,6.436156929703614,1/4 a 1/2 SM,2025Q4,2025,4,2025.875
yr_q::2022Q1:treat_extreme,1.490143338883438,1.1832434101884444,1.2593717624390712,0.20789795580140794,-0.8289890062502665,3.8092756840171424,Renda < 1/4 SM,2022Q1,2022,1,2022.125
yr_q::2022Q2:treat_extreme,0.33048896119147964,1.183456915941762,0.2792572815618604,0.7800477548101601,-1.9890618507548248,2.650039773137784,Renda < 1/4 SM,2022Q2,2022,2,2022.375
yr_q::2022Q3:treat_extreme,-1.530562220130887,1.1513787229313006,-1.3293299499527154,0.18374106868844525,-3.7872404444562258,0.7261160041944517,Renda < 1/4 SM,2022Q3,2022,3,2022.625
yr_q::2022Q4:treat_extreme,-2.1830406875088215,1.131406897997818,-1.929492114085583,0.053671597599939135,-4.400574552528402,0.034493177510758866,Renda < 1/4 SM,2022Q4,2022,4,2022.875
yr_q::2023Q1:treat_extreme,0.4570253372869614,0.9970860822165554,0.458360963449594,0.6466937665332333,-1.497242537133558,2.4112932117074806,Renda < 1/4 SM,2023Q1,2023,1,2023.125
yr_q::2023Q2:treat_extreme,1.11852389374212,0.8448492770114898,1.3239330661425284,0.18552720256877364,-0.5373630253898687,2.774410812874109,Renda < 1/4 SM,2023Q2,2023,2,2023.375
NA,0,NA,NA,NA,0,0,Renda < 1/4 SM,2023Q3,2023,3,2023.625
yr_q::2023Q4:treat_extreme,-0.7436775769026822,0.8427481783414145,-0.8824434107544321,0.37753841989840553,-2.395446386570353,0.9080912327649884,Renda < 1/4 SM,2023Q4,2023,4,2023.875
yr_q::2024Q1:treat_extreme,3.683365992868418,1.0213605898644758,3.6063326012580568,3.106512431590233e-4,1.681520590980814,5.685211394756022,Renda < 1/4 SM,2024Q1,2024,1,2024.125
yr_q::2024Q2:treat_extreme,3.18712005854422,1.1196874119639872,2.8464373400017537,0.004421715726783854,0.9925561411240698,5.3816839759643695,Renda < 1/4 SM,2024Q2,2024,2,2024.375
yr_q::2024Q3:treat_extreme,1.0392020926295011,1.1623256830692084,0.8940713500242117,0.37128508741886934,-1.2389319446909577,3.31733612994996,Renda < 1/4 SM,2024Q3,2024,3,2024.625
yr_q::2024Q4:treat_extreme,0.1743834894353098,1.1953024467688405,0.14589068223419593,0.884007874656469,-2.16838431526989,2.5171512941405094,Renda < 1/4 SM,2024Q4,2024,4,2024.875
yr_q::2025Q1:treat_extreme,4.193692366423747,1.1821348574944315,3.5475583346830644,3.889329069528109e-4,1.8767327613930789,6.510651971454415,Renda < 1/4 SM,2025Q1,2025,1,2025.125
yr_q::2025Q2:treat_extreme,4.061203730953491,1.1872186556079802,3.420771491224361,6.245965860643899e-4,1.7342799879105248,6.388127473996458,Renda < 1/4 SM,2025Q2,2025,2,2025.375
yr_q::2025Q3:treat_extreme,1.8146168429944083,1.1870726127693587,1.5286485624169461,0.12635360457547898,-0.5120206591382723,4.141254345127089,Renda < 1/4 SM,2025Q3,2025,3,2025.625
