term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo,yr_q,ano,trim,x
yr_q::2022Q1:treat_low,0.6352438756211498,0.8233853361232221,0.7715025368463493,0.4404102802854588,-0.9785741681303355,2.249061919372635,1/4 a 1/2 SM,2022Q1,2022,1,2022.125
yr_q::2022Q2:treat_low,1.79473583228911,0.805179042523096,2.2289897494911877,0.02581599614061732,0.21660174334311022,3.37286992123511,1/4 a 1/2 SM,2022Q2,2022,2,2022.375
yr_q::2022Q3:treat_low,-0.1769427384724227,0.8332581337768947,-0.21235044855835658,0.8318339161102832,-1.8101112592081372,1.4562257822632918,1/4 a 1/2 SM,2022Q3,2022,3,2022.625
yr_q::2022Q4:treat_low,1.3586710978507792,0.7953494112934,1.7082694455526202,0.08758833440173099,-0.20019711939947715,2.9175393151010356,1/4 a 1/2 SM,2022Q4,2022,4,2022.875
yr_q::2023Q1:treat_low,0.8534232026970601,0.7616713891876714,1.1204611526858619,0.26251901168028086,-0.6394367953541693,2.3462832007482897,1/4 a 1/2 SM,2023Q1,2023,1,2023.125
yr_q::2023Q2:treat_low,1.775165943658763,0.7179004489121141,2.4727188098973873,0.013410010841924887,0.36809607340025363,3.1822358139172726,1/4 a 1/2 SM,2023Q2,2023,2,2023.375
NA,0,NA,NA,NA,0,0,1/4 a 1/2 SM,2023Q3,2023,3,2023.625
yr_q::2023Q4:treat_low,1.0416733458311942,0.7107589071788945,1.465579024490523,0.14276501140503037,-0.3513992519430389,2.434745943605427,1/4 a 1/2 SM,2023Q4,2023,4,2023.875
yr_q::2024Q1:treat_low,1.6658784660968349,0.7408277057428707,2.248671928955954,0.02453475695842186,0.21387165180503742,3.1178852803886326,1/4 a 1/2 SM,2024Q1,2024,1,2024.125
yr_q::2024Q2:treat_low,1.7824117161344388,0.8087218990346258,2.2039859663279926,0.027526776613476862,0.19733370249863436,3.3674897297702433,1/4 a 1/2 SM,2024Q2,2024,2,2024.375
yr_q::2024Q3:treat_low,2.3798631701624435,0.8439208035013501,2.820007707226329,0.004802851149983756,0.725796039698132,4.033930300626755,1/4 a 1/2 SM,2024Q3,2024,3,2024.625
yr_q::2024Q4:treat_low,1.544126762690096,0.8607056785151538,1.7940241376749668,0.07281123938738496,-0.14283837186902715,3.231091897249219,1/4 a 1/2 SM,2024Q4,2024,4,2024.875
yr_q::2025Q1:treat_low,2.115648569733369,0.8437880505656014,2.5073222692774855,0.01216597546417346,0.4618416322475738,3.7694555072191642,1/4 a 1/2 SM,2025Q1,2025,1,2025.125
yr_q::2025Q2:treat_low,2.076492016434794,0.8457765343354963,2.455130796536271,0.014084409844755539,0.4187876923345215,3.7341963405350667,1/4 a 1/2 SM,2025Q2,2025,2,2025.375
yr_q::2025Q3:treat_low,1.5951227381877833,0.8641328870783138,1.8459229616650639,0.06490527316964795,-0.09855965350026663,3.288805129875833,1/4 a 1/2 SM,2025Q3,2025,3,2025.625
yr_q::2025Q4:treat_low,2.1732003587231525,1.021136794424441,2.128216680261793,0.03332067512935451,0.17179359121898052,4.1746071262273245,1/4 a 1/2 SM,2025Q4,2025,4,2025.875
yr_q::2022Q1:treat_extreme,0.26856837356945684,0.7039836066248845,0.3814980505825368,0.7028342336430209,-1.1112247767745096,1.6483615239134233,Renda < 1/4 SM,2022Q1,2022,1,2022.125
yr_q::2022Q2:treat_extreme,0.15353911282814048,0.7086014353472371,0.21667908808694616,0.8284587276245345,-1.2353048852637036,1.5423831109199846,Renda < 1/4 SM,2022Q2,2022,2,2022.375
yr_q::2022Q3:treat_extreme,-0.06122788093116904,0.6806875768892953,-0.08995004905330738,0.9283270236462905,-1.395361300058549,1.2729055381962109,Renda < 1/4 SM,2022Q3,2022,3,2022.625
yr_q::2022Q4:treat_extreme,-0.8094920766215963,0.6787748390544671,-1.1925782012621713,0.23303640938497655,-2.139876569583561,0.5208924163403681,Renda < 1/4 SM,2022Q4,2022,4,2022.875
yr_q::2023Q1:treat_extreme,-0.317086426533121,0.6105351975765527,-0.5193581431369692,0.6035117463680126,-1.513722648928715,0.879549795862473,Renda < 1/4 SM,2023Q1,2023,1,2023.125
yr_q::2023Q2:treat_extreme,0.27688270219845634,0.5545291374314562,0.49931136798502507,0.6175607473607709,-0.809982813267689,1.3637482176646016,Renda < 1/4 SM,2023Q2,2023,2,2023.375
