term,estimate,std.error,statistic,p.value,conf.low,conf.high,yr_q,ano,trim,x,grupo
yr_q::2022Q1:treat_extreme,-0.40136086348567845,0.993231263995367,-0.40409608319332024,0.6861430560983091,-2.34808538978694,1.545363662815583,2022Q1,2022,1,2022.125,Renda < R$ 230
yr_q::2022Q2:treat_extreme,-0.4204787726098267,0.9116670110203552,-0.4612196860553491,0.6446421496483536,-2.2073380817237274,1.366380536504074,2022Q2,2022,2,2022.375,Renda < R$ 230
yr_q::2022Q3:treat_extreme,-0.8539175987540798,0.9043057948702002,-0.9442796934378233,0.3450293562567045,-2.6263489890716403,0.9185137915634806,2022Q3,2022,3,2022.625,Renda < R$ 230
yr_q::2022Q4:treat_extreme,-1.457703316632711,0.8509428410404435,-1.7130449265550955,0.08670782931709513,-3.125543787612523,0.21013715434710112,2022Q4,2022,4,2022.875,Renda < R$ 230
yr_q::2023Q1:treat_extreme,-0.48460535258396614,0.5832877570655316,-0.8308169453478198,0.40607932307969496,-1.6278442172196437,0.6586335120517113,2023Q1,2023,1,2023.125,Renda < R$ 230
yr_q::2023Q2:treat_extreme,0.05121446516106491,0.4060542173073116,0.12612715981793282,0.8996315594969543,-0.7446482231119986,0.8470771534341284,2023Q2,2023,2,2023.375,Renda < R$ 230
NA,0,NA,NA,NA,0,0,2023Q3,2023,3,2023.625,Renda < R$ 230
yr_q::2023Q4:treat_extreme,-1.0877540743193466,0.44583456299588553,-2.4398154934645233,0.014696743192375163,-1.9615858896466414,-0.21392225899205175,2023Q4,2023,4,2023.875,Renda < R$ 230
yr_q::2024Q1:treat_extreme,1.8501869312004728,0.69982819460359,2.643773065257096,0.0082002271764883,0.4785298358008907,3.221844026600055,2024Q1,2024,1,2024.125,Renda < R$ 230
yr_q::2024Q2:treat_extreme,1.7631848454252002,0.8297683040316315,2.1249122638914226,0.033596738527452125,0.13684628041873892,3.3895234104316616,2024Q2,2024,2,2024.375,Renda < R$ 230
yr_q::2024Q3:treat_extreme,1.4872257636156534,0.916683259750733,1.6223987378367355,0.1047216142411329,-0.30946534881278676,3.2839168760440938,2024Q3,2024,3,2024.625,Renda < R$ 230
yr_q::2024Q4:treat_extreme,1.3565647853303402,1.0751361138032456,1.261760969531154,0.20703818548774075,-0.7506925249497811,3.4638220956104613,2024Q4,2024,4,2024.875,Renda < R$ 230
yr_q::2025Q1:treat_extreme,4.835766771616394,1.1863150134432645,4.076292314282226,4.579999402842041e-5,2.510599797613262,7.160933745619527,2025Q1,2025,1,2025.125,Renda < R$ 230
yr_q::2025Q2:treat_extreme,4.206403461539248,1.250818927245352,3.362919580056969,7.715598543718697e-4,1.7548093848130057,6.657997538265489,2025Q2,2025,2,2025.375,Renda < R$ 230
yr_q::2025Q3:treat_extreme,3.700788923913917,1.3232008646779736,2.7968459080583923,0.0051615437074283765,1.107326887560153,6.294250960267681,2025Q3,2025,3,2025.625,Renda < R$ 230
yr_q::2025Q4:treat_extreme,3.8310336452256957,1.3721880054481497,2.791915998401764,0.00524083562367835,1.1415572445766902,6.520510045874701,2025Q4,2025,4,2025.875,Renda < R$ 230
