term,estimate,std.error,statistic,p.value,conf.low,conf.high,yr_q,ano,trim,x,grupo
yr_q::2023Q1:treat_low,-0.0327213075670052,1.0291152841990987,-0.031795570495748986,0.9746351489133338,-2.0497770665963,1.9843344514622898,2023Q1,2023,1,2023.125,R$ 230 a 1/2 SM
yr_q::2023Q2:treat_low,0.31079853660692613,0.9992009367817145,0.31104708289001853,0.755765542164919,-1.6476253979200286,2.269222471133881,2023Q2,2023,2,2023.375,R$ 230 a 1/2 SM
yr_q::2023Q3:treat_low,-0.8319047761572183,0.9586540966237418,-0.8677840934358716,0.38551483106191786,-2.71085730577279,1.0470477534583538,2023Q3,2023,3,2023.625,R$ 230 a 1/2 SM
yr_q::2023Q4:treat_low,-0.9890672023338656,0.9042634324030939,-1.0937821511872976,0.2740534334058466,-2.761414569060358,0.7832801643926268,2023Q4,2023,4,2023.875,R$ 230 a 1/2 SM
yr_q::2024Q1:treat_low,0.8611619504995822,0.6726944219311176,1.2801681156020694,0.20048928470886082,-0.4573124504311272,2.1796363514302914,2024Q1,2024,1,2024.125,R$ 230 a 1/2 SM
NA,0,NA,NA,NA,0,0,2024Q2,2024,2,2024.375,R$ 230 a 1/2 SM
yr_q::2024Q3:treat_low,-0.3415406121633122,0.6406650124102065,-0.5331032685528171,0.59396340030813,-1.5972376878279413,0.9141564635013169,2024Q3,2024,3,2024.625,R$ 230 a 1/2 SM
yr_q::2024Q4:treat_low,-0.39254402427288326,0.9022743132656083,-0.43506062236455084,0.6635194581133933,-2.160992737201047,1.3759046886552806,2024Q4,2024,4,2024.875,R$ 230 a 1/2 SM
yr_q::2025Q1:treat_low,1.5643533789582147,0.8995611587531185,1.7390183688306025,0.0820349183407288,-0.19877757801142892,3.327484335927858,2025Q1,2025,1,2025.125,R$ 230 a 1/2 SM
yr_q::2025Q2:treat_low,0.5215242396339104,0.9816016488662024,0.531299270163509,0.5952127096780251,-1.402405264978494,2.445453744246315,2025Q2,2025,2,2025.375,R$ 230 a 1/2 SM
yr_q::2025Q3:treat_low,-0.06520562908150929,1.0443841949710229,-0.062434523038064994,0.9502169404823331,-2.112188301916756,1.9817770437537376,2025Q3,2025,3,2025.625,R$ 230 a 1/2 SM
yr_q::2025Q4:treat_low,0.9585546735619239,1.162943565242721,0.8242486584994875,0.4098004477003372,-1.3208031901437267,3.2379125372675746,2025Q4,2025,4,2025.875,R$ 230 a 1/2 SM
