Ano,Trim,grupo,em_rate,n,ano_trim
2022,1,R$ 230 a 1/2 SM,0.5033535340870836,10795,2022Q1
2022,1,Renda < R$ 230,0.489891694627669,11649,2022Q1
2022,1,Renda > 1/2 SM,0.4995512676013317,13603,2022Q1
2022,2,R$ 230 a 1/2 SM,0.514567595155208,10794,2022Q2
2022,2,Renda < R$ 230,0.49020880461485855,11427,2022Q2
2022,2,Renda > 1/2 SM,0.515364195110846,14122,2022Q2
2022,3,R$ 230 a 1/2 SM,0.5079244716196812,10759,2022Q3
2022,3,Renda < R$ 230,0.4780406819373436,11101,2022Q3
2022,3,Renda > 1/2 SM,0.516370599145058,14546,2022Q3
2022,4,R$ 230 a 1/2 SM,0.4897855250635641,10442,2022Q4
2022,4,Renda < R$ 230,0.4634235668040573,10583,2022Q4
2022,4,Renda > 1/2 SM,0.5135368128597281,14415,2022Q4
2023,1,R$ 230 a 1/2 SM,0.5117189962925973,10360,2023Q1
2023,1,Renda < R$ 230,0.4862521762949811,10228,2023Q1
2023,1,Renda > 1/2 SM,0.5180292604775617,14288,2023Q1
2023,2,R$ 230 a 1/2 SM,0.5184478166705793,10143,2023Q2
2023,2,Renda < R$ 230,0.4956353488741981,10111,2023Q2
2023,2,Renda > 1/2 SM,0.518425911035421,14208,2023Q2
2023,3,R$ 230 a 1/2 SM,0.5138884602769888,10056,2023Q3
2023,3,Renda < R$ 230,0.49262072510604293,10119,2023Q3
2023,3,Renda > 1/2 SM,0.5275441869933285,14303,2023Q3
2023,4,R$ 230 a 1/2 SM,0.5015927964973184,9956,2023Q4
2023,4,Renda < R$ 230,0.4744412806279331,9982,2023Q4
2023,4,Renda > 1/2 SM,0.5199492245144074,14334,2023Q4
2024,1,R$ 230 a 1/2 SM,0.5229047159817327,10245,2024Q1
2024,1,Renda < R$ 230,0.506018975711857,10072,2024Q1
2024,1,Renda > 1/2 SM,0.5099450406910276,14290,2024Q1
2024,2,R$ 230 a 1/2 SM,0.5291201997558416,10168,2024Q2
2024,2,Renda < R$ 230,0.5194695752708582,9704,2024Q2
2024,2,Renda > 1/2 SM,0.5242814704769574,14410,2024Q2
2024,3,R$ 230 a 1/2 SM,0.5281182332560513,10305,2024Q3
2024,3,Renda < R$ 230,0.5224662441192199,9354,2024Q3
2024,3,Renda > 1/2 SM,0.5431622614501651,14595,2024Q3
2024,4,R$ 230 a 1/2 SM,0.5099317638441703,10051,2024Q4
2024,4,Renda < R$ 230,0.48977844079872845,8833,2024Q4
2024,4,Renda > 1/2 SM,0.5253866747179857,14373,2024Q4
2025,1,R$ 230 a 1/2 SM,0.5271075053699193,10232,2025Q1
2025,1,Renda < R$ 230,0.5233686329046261,8560,2025Q1
2025,1,Renda > 1/2 SM,0.5098520431430451,14445,2025Q1
2025,2,R$ 230 a 1/2 SM,0.5328053659660869,10186,2025Q2
2025,2,Renda < R$ 230,0.5362856934287178,8404,2025Q2
2025,2,Renda > 1/2 SM,0.5320637674088137,14594,2025Q2
2025,3,R$ 230 a 1/2 SM,0.5309959692061813,10597,2025Q3
2025,3,Renda < R$ 230,0.5145546256415604,8562,2025Q3
2025,3,Renda > 1/2 SM,0.5315428493165237,15071,2025Q3
2025,4,R$ 230 a 1/2 SM,0.5140289356447367,10676,2025Q4
2025,4,Renda < R$ 230,0.4994816990947499,8439,2025Q4
2025,4,Renda > 1/2 SM,0.5053602427989802,15549,2025Q4
