Ano,Trim,grupo,em_engage,n,ano_trim
2022,1,R$ 230 a 1/2 SM,0.7533976958118321,10795,2022Q1
2022,1,Renda < R$ 230,0.6735847966404666,11649,2022Q1
2022,1,Renda > 1/2 SM,0.8662391510335143,13603,2022Q1
2022,2,R$ 230 a 1/2 SM,0.7478661827494855,10794,2022Q2
2022,2,Renda < R$ 230,0.6608603209374644,11427,2022Q2
2022,2,Renda > 1/2 SM,0.8560249583660482,14122,2022Q2
2022,3,R$ 230 a 1/2 SM,0.7119074546777613,10759,2022Q3
2022,3,Renda < R$ 230,0.626263604549479,11101,2022Q3
2022,3,Renda > 1/2 SM,0.8259963295785799,14546,2022Q3
2022,4,R$ 230 a 1/2 SM,0.6843496859310022,10442,2022Q4
2022,4,Renda < R$ 230,0.5977015459136121,10583,2022Q4
2022,4,Renda > 1/2 SM,0.8042170317802356,14415,2022Q4
2023,1,R$ 230 a 1/2 SM,0.7516106655025397,10360,2023Q1
2023,1,Renda < R$ 230,0.6708925476636893,10228,2023Q1
2023,1,Renda > 1/2 SM,0.8574016621876219,14288,2023Q1
2023,2,R$ 230 a 1/2 SM,0.7476386301404517,10143,2023Q2
2023,2,Renda < R$ 230,0.6723840430979743,10111,2023Q2
2023,2,Renda > 1/2 SM,0.8498190301160744,14208,2023Q2
2023,3,R$ 230 a 1/2 SM,0.7141367185230376,10056,2023Q3
2023,3,Renda < R$ 230,0.6537615011401025,10119,2023Q3
2023,3,Renda > 1/2 SM,0.8272865636146167,14303,2023Q3
2023,4,R$ 230 a 1/2 SM,0.6920648634403128,9956,2023Q4
2023,4,Renda < R$ 230,0.6259046396364769,9982,2023Q4
2023,4,Renda > 1/2 SM,0.8064144023227716,14334,2023Q4
2024,1,R$ 230 a 1/2 SM,0.7552195850839244,10245,2024Q1
2024,1,Renda < R$ 230,0.7016894308838544,10072,2024Q1
2024,1,Renda > 1/2 SM,0.8520169150958843,14290,2024Q1
2024,2,R$ 230 a 1/2 SM,0.7481868043531464,10168,2024Q2
2024,2,Renda < R$ 230,0.7018547249798549,9704,2024Q2
2024,2,Renda > 1/2 SM,0.8529275443100921,14410,2024Q2
2024,3,R$ 230 a 1/2 SM,0.7201925270027562,10305,2024Q3
2024,3,Renda < R$ 230,0.67977675718916,9354,2024Q3
2024,3,Renda > 1/2 SM,0.8282689698052459,14595,2024Q3
2024,4,R$ 230 a 1/2 SM,0.708219845984589,10051,2024Q4
2024,4,Renda < R$ 230,0.6541333465030438,8833,2024Q4
2024,4,Renda > 1/2 SM,0.81660056028485,14373,2024Q4
2025,1,R$ 230 a 1/2 SM,0.7942224816988258,10232,2025Q1
2025,1,Renda < R$ 230,0.755039991035427,8560,2025Q1
2025,1,Renda > 1/2 SM,0.8836777092669952,14445,2025Q1
2025,2,R$ 230 a 1/2 SM,0.7731869433823574,10186,2025Q2
2025,2,Renda < R$ 230,0.742329899428359,8404,2025Q2
2025,2,Renda > 1/2 SM,0.8726179581567945,14594,2025Q2
2025,3,R$ 230 a 1/2 SM,0.7313210400432202,10597,2025Q3
2025,3,Renda < R$ 230,0.6926717590607944,8562,2025Q3
2025,3,Renda > 1/2 SM,0.8358108973748672,15071,2025Q3
2025,4,R$ 230 a 1/2 SM,0.7189146468969282,10676,2025Q4
2025,4,Renda < R$ 230,0.6654036776716672,8439,2025Q4
2025,4,Renda > 1/2 SM,0.8137168842964941,15549,2025Q4
