idade,grupo,completed_rate,n
14,R$ 230 a 1/2 SM,0.0,8797
15,R$ 230 a 1/2 SM,0.0,8748
16,R$ 230 a 1/2 SM,0.005160104240462725,8686
17,R$ 230 a 1/2 SM,0.08012520687265817,8646
18,R$ 230 a 1/2 SM,0.4530892150128089,8322
19,R$ 230 a 1/2 SM,0.628179363756203,7282
20,R$ 230 a 1/2 SM,0.692255011251697,7003
21,R$ 230 a 1/2 SM,0.697092500438512,6455
22,R$ 230 a 1/2 SM,0.6833459009936427,6510
23,R$ 230 a 1/2 SM,0.6641595385809514,6420
24,R$ 230 a 1/2 SM,0.658791095740947,6609
14,Renda < R$ 230,0.0,7267
15,Renda < R$ 230,0.0,7472
16,Renda < R$ 230,0.0027828674121335444,7359
17,Renda < R$ 230,0.0670573391752752,7076
18,Renda < R$ 230,0.39946348803620313,6394
19,Renda < R$ 230,0.5717929246923154,5122
20,Renda < R$ 230,0.6265131026328239,4789
21,Renda < R$ 230,0.6581770826835498,4266
22,Renda < R$ 230,0.6341480064581151,4042
23,Renda < R$ 230,0.6382603613599747,4130
24,Renda < R$ 230,0.6276957968665349,4082
14,Renda > 1/2 SM,0.0,11105
15,Renda > 1/2 SM,0.0,11303
16,Renda > 1/2 SM,0.006189368276224232,11453
17,Renda > 1/2 SM,0.11537131972517753,11528
18,Renda > 1/2 SM,0.6118764188401375,12734
19,Renda > 1/2 SM,0.811163677230827,13190
20,Renda > 1/2 SM,0.8403302111677612,13590
21,Renda > 1/2 SM,0.8511548068114173,13291
22,Renda > 1/2 SM,0.8599216815405814,13757
23,Renda > 1/2 SM,0.8523961445509793,13704
24,Renda > 1/2 SM,0.8675907920809093,14620
