ano,idade,grupo,completed_rate,n
2015,14,R$ 230 a 1/2 SM,0.0,7537
2015,15,R$ 230 a 1/2 SM,0.0,7973
2015,16,R$ 230 a 1/2 SM,0.015407011382362343,7674
2015,17,R$ 230 a 1/2 SM,0.12698399554308448,7594
2015,18,R$ 230 a 1/2 SM,0.3324115288942113,7284
2015,19,R$ 230 a 1/2 SM,0.4410768473618237,7027
2015,20,R$ 230 a 1/2 SM,0.4883143279028109,6701
2015,21,R$ 230 a 1/2 SM,0.5165605037204424,6174
2017,14,R$ 230 a 1/2 SM,0.0,8899
2017,15,R$ 230 a 1/2 SM,0.0,9285
2017,16,R$ 230 a 1/2 SM,0.01257551776258075,9568
2017,17,R$ 230 a 1/2 SM,0.12979135510998926,9798
2017,18,R$ 230 a 1/2 SM,0.3913001721832271,9358
2017,19,R$ 230 a 1/2 SM,0.5070713846935819,8640
2017,20,R$ 230 a 1/2 SM,0.5448671884676491,8544
2017,21,R$ 230 a 1/2 SM,0.5516505898052554,8145
2019,14,R$ 230 a 1/2 SM,0.0,8202
2019,15,R$ 230 a 1/2 SM,0.0,8127
2019,16,R$ 230 a 1/2 SM,0.006518107417974266,8154
2019,17,R$ 230 a 1/2 SM,0.12962572074282197,8226
2019,18,R$ 230 a 1/2 SM,0.3953016533418531,8207
2019,19,R$ 230 a 1/2 SM,0.5284738501192455,8167
2019,20,R$ 230 a 1/2 SM,0.6021249912820746,7497
2019,21,R$ 230 a 1/2 SM,0.6035999950541707,7159
2021,14,R$ 230 a 1/2 SM,0.0,6615
2021,15,R$ 230 a 1/2 SM,0.0,6569
2021,16,R$ 230 a 1/2 SM,0.005189804126678425,6592
2021,17,R$ 230 a 1/2 SM,0.08832663913882119,6633
2021,18,R$ 230 a 1/2 SM,0.40600330163526016,6484
2021,19,R$ 230 a 1/2 SM,0.5752788356956368,6133
2021,20,R$ 230 a 1/2 SM,0.6550131501995065,6282
2021,21,R$ 230 a 1/2 SM,0.6473811952293891,6163
2023,14,R$ 230 a 1/2 SM,0.0,8321
2023,15,R$ 230 a 1/2 SM,0.0,8430
2023,16,R$ 230 a 1/2 SM,0.0067954088018031275,8366
2023,17,R$ 230 a 1/2 SM,0.07494343449236678,8430
2023,18,R$ 230 a 1/2 SM,0.40953943004159393,7864
2023,19,R$ 230 a 1/2 SM,0.5916523392114226,7177
2023,20,R$ 230 a 1/2 SM,0.6392562921053699,7140
2023,21,R$ 230 a 1/2 SM,0.6489489399901504,6999
2025,14,R$ 230 a 1/2 SM,0.0,8797
2025,15,R$ 230 a 1/2 SM,0.0,8748
2025,16,R$ 230 a 1/2 SM,0.005160104240462725,8686
2025,17,R$ 230 a 1/2 SM,0.08012520687265817,8646
2025,18,R$ 230 a 1/2 SM,0.4530892150128089,8322
