ano_t,macroetapa_lbl,flag_promocao,flag_repetencia,flag_evasao,flag_naoprog,n_pessoa,versao
2012,EF finais,0.39856115924629326,0.22670615777679684,0.03160841175744466,0.25831456953424153,23077,A_baseline
2012,EF iniciais,0.5780810771330701,0.22157954618591472,0.012618776845125789,0.23419832303104052,31321,A_baseline
2012,EM,0.4319374996203271,0.2143801657408702,0.2437032379280434,0.4580834036689136,14700,A_baseline
2013,EF finais,0.4171941697477558,0.20494358043178781,0.031271891084064946,0.23621547151585276,21947,A_baseline
2013,EF iniciais,0.595117620560587,0.2102071023572375,0.012025948763043966,0.22223305112028147,28844,A_baseline
2013,EM,0.43043937035554236,0.20846987308489,0.23758793563470165,0.44605780871959166,14071,A_baseline
2014,EF finais,0.4536202282185199,0.19928642797769985,0.028066424351032102,0.22735285232873195,22075,A_baseline
2014,EF iniciais,0.6511134805031202,0.18573265313361326,0.01218538272018884,0.1979180358538021,28359,A_baseline
2014,EM,0.45693261186594947,0.18451119891873263,0.24815077506174563,0.43266197398047823,14472,A_baseline
2015,EF finais,0.46127085710286647,0.19722085842646672,0.022117219316193072,0.2193380777426598,16167,A_baseline
2015,EF iniciais,0.6757766835348027,0.18045414626173584,0.005336285325114513,0.18579043158685035,20668,A_baseline
2015,EM,0.46291804935186415,0.18488821483250675,0.24523805972854473,0.43012627456105146,10687,A_baseline
2016,EF finais,0.4734796080095438,0.20382413415825465,0.01792957444859523,0.22175370860684987,24293,A_baseline
2016,EF iniciais,0.6869848556998833,0.18449383127419763,0.004558938271341533,0.18905276954553915,30230,A_baseline
2016,EM,0.4563345891010294,0.20019404666628496,0.2372045317948224,0.43739857846110736,15874,A_baseline
2017,EF finais,0.49504549927966757,0.20470685151058055,0.016941820834718745,0.2216486723452993,23514,A_baseline
2017,EF iniciais,0.6995371316381441,0.18839752516260816,0.004109000249908283,0.19250652541251645,28904,A_baseline
2017,EM,0.4572135002984988,0.1935940517594395,0.24577645251718414,0.4393705042766236,14967,A_baseline
2018,EF finais,0.5083213611225051,0.1896250837751772,0.01806769345790905,0.20769277723308627,22774,A_baseline
2018,EF iniciais,0.7126148541316767,0.17661653627599455,0.004469734793453051,0.18108627106944758,28131,A_baseline
2018,EM,0.47242152025522216,0.18653478310323307,0.24542746769497764,0.4319622507982107,14323,A_baseline
2019,EF finais,0.5152216365626258,0.18775115683432878,0.016350107652989176,0.20410126448731794,21342,A_baseline
2019,EF iniciais,0.728104723776279,0.1763780697875802,0.003378808096003135,0.17975687788358333,26102,A_baseline
2019,EM,0.4794068126099597,0.17980177992068958,0.24544597709504445,0.42524775701573403,13591,A_baseline
2020,EF finais,0.3982572374471688,0.41100412108761786,0.01138955712633509,0.42239367821395296,13624,A_baseline
2020,EF iniciais,0.540145952953568,0.39433619837382605,0.00780166258918243,0.40213786096300846,15736,A_baseline
2020,EM,0.35958996783535074,0.4439097732959996,0.15157882484950694,0.5954885981455066,8938,A_baseline
2021,EF finais,0.4591712287412425,0.30229834106179027,0.01325418333731176,0.315552524399102,18854,A_baseline
2021,EF iniciais,0.611756775333698,0.30389363521964124,0.0030907253549894314,0.3069843605746307,21463,A_baseline
2021,EM,0.40634446320845313,0.3225329054453455,0.21065263800283848,0.533185543448184,12181,A_baseline
2022,EF finais,0.3996635128150932,0.4097131847996918,0.008585796605852219,0.418298981405544,18923,A_baseline
2022,EF iniciais,0.53155031475312,0.39550040382634943,0.0015476336219123112,0.3970480374482617,22008,A_baseline
2022,EM,0.35317130065598473,0.4397484110246085,0.15685655178247285,0.5966049628070813,12497,A_baseline
2023,EF finais,0.4023367491058186,0.41902342590671005,0.005069304024642393,0.42409272993135244,19126,A_baseline
2023,EF iniciais,0.5393715204460391,0.4058330259146488,0.0016669971820894385,0.4075000230967383,22787,A_baseline
2023,EM,0.366793743318591,0.4295486190548764,0.14681894779392776,0.5763675668488042,12351,A_baseline
