ano_t,macroetapa_lbl,flag_promocao,flag_repetencia,flag_evasao,flag_naoprog,n_pessoa,versao
2012,EF finais,0.41274980571210834,0.22258279172653467,0.033506110972267626,0.2560889026988023,652,C_Q2Q4_ambos
2012,EF iniciais,0.5804792649959833,0.19372897586352572,0.01596107964746302,0.20969005551098874,911,C_Q2Q4_ambos
2012,EM,0.4426218708340216,0.13919752183276296,0.30119151643124503,0.440389038264008,381,C_Q2Q4_ambos
2013,EF finais,0.4035374655607825,0.1954157243861038,0.04263795123760601,0.23805367562370983,773,C_Q2Q4_ambos
2013,EF iniciais,0.5828254089091123,0.17419469793470008,0.01566327549264043,0.1898579734273405,1091,C_Q2Q4_ambos
2013,EM,0.33874276401400255,0.18793640240385096,0.2979406486465385,0.4858770510503895,464,C_Q2Q4_ambos
2014,EF finais,0.3661388151084931,0.22437314641667808,0.049939838361671145,0.2743129847783492,737,C_Q2Q4_ambos
2014,EF iniciais,0.6093272139233177,0.1886928182268957,0.013591229147808487,0.2022840473747042,1004,C_Q2Q4_ambos
2014,EM,0.4377369823423518,0.16269358730993308,0.2824142408092383,0.44510782811917143,464,C_Q2Q4_ambos
2015,EF finais,0.38840886289411247,0.202266915889363,0.039347930330383266,0.24161484621974624,351,C_Q2Q4_ambos
2015,EF iniciais,0.6361170178831579,0.15638941914584542,0.0055823982943673765,0.1619718174402128,429,C_Q2Q4_ambos
2015,EM,0.3712704875033525,0.19309358727376272,0.2657932624737594,0.45888684974752214,214,C_Q2Q4_ambos
2016,EF finais,0.4316934135492495,0.17800595483610535,0.0354266874012647,0.21343264223737005,380,C_Q2Q4_ambos
2016,EF iniciais,0.6725215362362138,0.16380687666210783,0.0011500847694355509,0.16495696143154337,610,C_Q2Q4_ambos
2016,EM,0.42761299697301647,0.23295126429754365,0.1991103286780855,0.4320615929756292,233,C_Q2Q4_ambos
2017,EF finais,0.4850520627360541,0.14949104448868222,0.038922837559563786,0.188413882048246,416,C_Q2Q4_ambos
2017,EF iniciais,0.5974717185610627,0.21571777390400904,0.0044561051551986605,0.2201738790592077,613,C_Q2Q4_ambos
2017,EM,0.47914133244050433,0.14432484656853625,0.21624277247407017,0.3605676190426064,241,C_Q2Q4_ambos
2018,EF finais,0.4407479815445341,0.18273393073331484,0.05489753954349223,0.2376314702768071,442,C_Q2Q4_ambos
2018,EF iniciais,0.6440559293155622,0.17107219735464319,0.013142854532967863,0.18421505188761106,604,C_Q2Q4_ambos
2018,EM,0.40518382843955325,0.21444065617228555,0.22512774716889417,0.43956840334117975,296,C_Q2Q4_ambos
2019,EF finais,0.43610047324146395,0.265343719063857,0.01806165036425031,0.2834053694281073,984,C_Q2Q4_ambos
2019,EF iniciais,0.6148160035464859,0.24510298674400494,0.0055162079283219805,0.2506191946723269,1176,C_Q2Q4_ambos
2019,EM,0.3822438888290837,0.2458246487491741,0.24461943938533062,0.4904440881345047,576,C_Q2Q4_ambos
2020,EF finais,0.3805399865023962,0.2955935266776051,0.03766710796790119,0.33326063464550626,705,C_Q2Q4_ambos
2020,EF iniciais,0.6550166395884961,0.22138878786883998,0.004420164379676057,0.22580895224851602,779,C_Q2Q4_ambos
2020,EM,0.39651254373296424,0.3539461954740962,0.1894655035973376,0.5434116990714338,415,C_Q2Q4_ambos
2021,EF finais,0.4282639245405209,0.2877433423378651,0.013701267240037519,0.3014446095779026,629,C_Q2Q4_ambos
2021,EF iniciais,0.5720383861312681,0.3269360655151283,0.005013522084227825,0.33194958759935617,737,C_Q2Q4_ambos
2021,EM,0.373717769456304,0.2852586356903333,0.22885674205356765,0.5141153777439009,397,C_Q2Q4_ambos
2022,EF finais,0.47638767603950954,0.3237579177394796,0.022340696656049475,0.346098614395529,477,C_Q2Q4_ambos
2022,EF iniciais,0.5713334326053262,0.3208129390849813,0.0037120954254315345,0.32452503451041287,602,C_Q2Q4_ambos
2022,EM,0.4437882206654188,0.2899248957709897,0.17483454429409154,0.4647594400650812,315,C_Q2Q4_ambos
2023,EF finais,0.3658709844091829,0.4952559908326358,0.0019584534095728368,0.4972144442422086,446,C_Q2Q4_ambos
2023,EF iniciais,0.44062066557104124,0.4682073918487889,0.008433295978182065,0.476640687826971,554,C_Q2Q4_ambos
2023,EM,0.3391413243062037,0.3987159215482249,0.17568444735338323,0.5744003689016081,275,C_Q2Q4_ambos
