ano_t,macroetapa_lbl,flag_promocao_A,flag_repetencia_A,flag_evasao_A,flag_naoprog_A,n_pessoa_A,flag_promocao_B,flag_repetencia_B,flag_evasao_B,flag_naoprog_B,n_pessoa_B,flag_promocao_C,flag_repetencia_C,flag_evasao_C,flag_naoprog_C,n_pessoa_C
2012,EF finais,0.39856115924629326,0.22670615777679684,0.03160841175744466,0.25831456953424153,23077,0.41274980571210834,0.22258279172653467,0.033506110972267626,0.2560889026988023,652,0.41274980571210834,0.22258279172653467,0.033506110972267626,0.2560889026988023,652
2013,EF finais,0.4171941697477558,0.20494358043178781,0.031271891084064946,0.23621547151585276,21947,0.4035374655607825,0.1954157243861038,0.04263795123760601,0.23805367562370983,773,0.4035374655607825,0.1954157243861038,0.04263795123760601,0.23805367562370983,773
2014,EF finais,0.4536202282185199,0.19928642797769985,0.028066424351032102,0.22735285232873195,22075,0.3661388151084931,0.22437314641667808,0.049939838361671145,0.2743129847783492,737,0.3661388151084931,0.22437314641667808,0.049939838361671145,0.2743129847783492,737
2015,EF finais,0.46127085710286647,0.19722085842646672,0.022117219316193072,0.2193380777426598,16167,0.38840886289411247,0.202266915889363,0.039347930330383266,0.24161484621974624,351,0.38840886289411247,0.202266915889363,0.039347930330383266,0.24161484621974624,351
2016,EF finais,0.4734796080095438,0.20382413415825465,0.01792957444859523,0.22175370860684987,24293,0.4316934135492495,0.17800595483610535,0.0354266874012647,0.21343264223737005,380,0.4316934135492495,0.17800595483610535,0.0354266874012647,0.21343264223737005,380
2017,EF finais,0.49504549927966757,0.20470685151058055,0.016941820834718745,0.2216486723452993,23514,0.4850520627360541,0.14949104448868222,0.038922837559563786,0.188413882048246,416,0.4850520627360541,0.14949104448868222,0.038922837559563786,0.188413882048246,416
2018,EF finais,0.5083213611225051,0.1896250837751772,0.01806769345790905,0.20769277723308627,22774,0.4407479815445341,0.18273393073331484,0.05489753954349223,0.2376314702768071,442,0.4407479815445341,0.18273393073331484,0.05489753954349223,0.2376314702768071,442
2019,EF finais,0.5152216365626258,0.18775115683432878,0.016350107652989176,0.20410126448731794,21342,0.43610047324146395,0.265343719063857,0.01806165036425031,0.2834053694281073,984,0.43610047324146395,0.265343719063857,0.01806165036425031,0.2834053694281073,984
2020,EF finais,0.3982572374471688,0.41100412108761786,0.01138955712633509,0.42239367821395296,13624,0.3805399865023962,0.2955935266776051,0.03766710796790119,0.33326063464550626,705,0.3805399865023962,0.2955935266776051,0.03766710796790119,0.33326063464550626,705
2021,EF finais,0.4591712287412425,0.30229834106179027,0.01325418333731176,0.315552524399102,18854,0.4282639245405209,0.2877433423378651,0.013701267240037519,0.3014446095779026,629,0.4282639245405209,0.2877433423378651,0.013701267240037519,0.3014446095779026,629
2022,EF finais,0.3996635128150932,0.4097131847996918,0.008585796605852219,0.418298981405544,18923,0.47638767603950954,0.3237579177394796,0.022340696656049475,0.346098614395529,477,0.47638767603950954,0.3237579177394796,0.022340696656049475,0.346098614395529,477
2023,EF finais,0.4023367491058186,0.41902342590671005,0.005069304024642393,0.42409272993135244,19126,0.3658709844091829,0.4952559908326358,0.0019584534095728368,0.4972144442422086,446,0.3658709844091829,0.4952559908326358,0.0019584534095728368,0.4972144442422086,446
2012,EF iniciais,0.5780810771330701,0.22157954618591472,0.012618776845125789,0.23419832303104052,31321,0.5804792649959833,0.19372897586352572,0.01596107964746302,0.20969005551098874,911,0.5804792649959833,0.19372897586352572,0.01596107964746302,0.20969005551098874,911
