macroetapa,flag_abandono,n_pessoa,ano,flag_promocao,flag_repetencia,flag_evasao,flag_naoprog
,.03444235,8002,2012,,,,
EF finais,.032922074,39211,2012,.59885383,.32685113,.03160841,.36768645
EF iniciais,.014153177,53442,2012,.65449119,.32170066,.012618776,.33572745
EJA EF,.3143872,1206,2012,,,,
EJA EM,.368545,773,2012,,,,
EM,.11751501,25517,2012,.44867009,.20710759,.24370323,.46073309
,.034863725,7568,2013,,,,
EF finais,.031904366,36435,2013,.62152421,.30458221,.03127189,.34229597
EF iniciais,.01248167,46826,2013,.66751057,.30644321,.012025949,.31977081
EJA EF,.29710975,1070,2013,,,,
EJA EM,.37873688,755,2013,,,,
EM,.11576208,23790,2013,.4501884,.20271966,.23758793,.45030442
,.026847778,7163,2014,,,,
EF finais,.029568341,34715,2014,.65415275,.28335753,.028066425,.31917053
EF iniciais,.010622932,44576,2014,.71203786,.26736009,.012185383,.28038582
EJA EF,.30610615,927,2014,,,,
EJA EM,.39181748,676,2014,,,,
EM,.11426223,23443,2014,.47385368,.18005365,.24815078,.43634766
,.033524312,7000,2015,,,,
EF finais,.023913054,35935,2015,.66719329,.28029576,.02211722,.31319425
EF iniciais,.0076551344,45114,2015,.73560733,.25743285,.0053362851,.26423115
EJA EF,.30766511,891,2015,,,,
EJA EM,.46378914,690,2015,,,,
EM,.10580861,23955,2015,.48211056,.17886266,.24523807,.43484196
,.027433427,8059,2016,,,,
EF finais,.020567281,38136,2016,.67482203,.27829796,.017929574,.30735844
EF iniciais,.0049612867,47013,2016,.73816681,.25569516,.0045589381,.2612665
EJA EF,.28144127,1089,2016,,,,
EJA EM,.4062528,992,2016,,,,
EM,.091709368,25826,2016,.47522455,.19188501,.23720454,.44331199
,.014777816,7829,2017,,,,
EF finais,.020100595,38013,2017,.68981421,.2684786,.016941821,.2956216
EF iniciais,.0053978185,45882,2017,.74413067,.24948102,.0041090003,.25462046
EJA EF,.27534601,1135,2017,,,,
EJA EM,.40588155,1059,2017,,,,
EM,.10584721,25178,2017,.47338554,.1845514,.24577646,.44716045
,.013409199,7431,2018,,,,
EF finais,.017644022,36462,2018,.71097893,.24772453,.018067693,.27368546
EF iniciais,.004293968,44711,2018,.75581598,.23861983,.0044697346,.24386694
EJA EF,.23621732,954,2018,,,,
EJA EM,.39761856,1030,2018,,,,
EM,.09657371,23593,2018,.48545706,.17924261,.24542747,.43737963
,.017035117,7415,2019,,,,
EF finais,.016703529,35725,2019,.71501607,.24666657,.016350107,.27048719
EF iniciais,.0050498066,43417,2019,.76645261,.22920229,.003378808,.23321925
EJA EF,.30465126,833,2019,,,,
EJA EM,.4644801,922,2019,,,,
EM,.098147817,23399,2019,.48978075,.17288145,.24544598,.43065345
,.10431606,5320,2020,,,,
EF finais,.0064175264,25363,2020,.53696924,.44123197,.011389557,.45496407
EF iniciais,.005588782,29862,2020,.56969696,.42241591,.0078016627,.43022877
EJA EF,.074584343,469,2020,,,,
EJA EM,.15688717,526,2020,,,,
EM,.026907351,16860,2020,.3664161,.44089329,.15157883,.59750789
,.070992507,6311,2021,,,,
EF finais,.0064697815,26494,2021,.63407958,.34248784,.013254183,.35882574
EF iniciais,.0035730596,29161,2021,.65049523,.34572574,.0030907253,.34923208
EJA EF,.1040168,457,2021,,,,
EJA EM,.15139374,464,2021,,,,
EM,.060888737,17733,2021,.41881555,.31966114,.21065263,.53746927
,.0072706896,7547,2022,,,,
EF finais,.0084854532,30532,2022,.54609042,.43686426,.0085857967,.44753441
EF iniciais,.0016371112,34619,2022,.56395942,.43381757,.0015476337,.4358196
EJA EF,.22890913,434,2022,,,,
EJA EM,.24285662,554,2022,,,,
EM,.065745749,20628,2022,.35739675,.43723089,.15685655,.59700465
,.002020536,8276,2023,,,,
EF finais,.0056928564,29826,2023,.54623705,.44149703,.0050693038,.4488003
EF iniciais,.0014886931,34594,2023,.56012791,.43772745,.0016669972,.43956926
EJA EF,.13263907,374,2023,,,,
EJA EM,.25246054,506,2023,,,,
EM,.05816694,20059,2023,.37368932,.42703417,.14681895,.57672638
,.0091845253,8807,2024,,,,
EF finais,.0099019241,30205,2024,,,,
EF iniciais,.0027401322,36119,2024,,,,
EJA EF,.24869622,402,2024,,,,
EJA EM,.34092355,499,2024,,,,
EM,.099285997,20744,2024,,,,
