quintil_renda,macroetapa,mudou_rede,mudou_modalidade,n_pessoa
Q1 (mais pobre),EF iniciais,.014815817,.0010504085,35621
Q2,EF iniciais,.018595638,.00050563406,31659
Q3,EF iniciais,.026577374,.00036160275,24732
Q4,EF iniciais,.036194921,.000052751187,22242
Q5 (mais rico),EF iniciais,.040860824,.000017440372,21426
Q1 (mais pobre),EF finais,.013080198,.0070833927,30028
Q2,EF finais,.016854722,.0060032513,25555
Q3,EF finais,.021315552,.0031267467,20847
Q4,EF finais,.033884142,.0022069497,19128
Q5 (mais rico),EF finais,.042909116,.0018038034,17613
Q1 (mais pobre),EM,.017482022,.0099563785,13630
Q2,EM,.014242767,.010834226,12095
Q3,EM,.028370222,.010050579,11029
Q4,EM,.042904954,.0075729047,11441
Q5 (mais rico),EM,.056099899,.005637568,11414
