serie_cohort,cohort_year,tempo_rel,total_matr,n_obs,baseline,indice,base_serie,indice_serie,serie_lbl
8,2015,0,62076.53444671631,202,62076.53444671631,100,62076.53444671631,100,8o EF
8,2015,1,67171.00771045685,218,62076.53444671631,108.2067617162382,62076.53444671631,108.2067617162382,8o EF
8,2015,2,78027.59510803223,246,62076.53444671631,125.6957976206091,62076.53444671631,125.6957976206091,8o EF
10,2015,4,3435180.196212769,10138,62076.53444671631,5533.782172007963,3435180.196212769,100,1o EM
10,2015,5,3383199.599711418,9870,62076.53444671631,5450.045866551078,3435180.196212769,98.48681601743459,1o EM
10,2015,6,3250517.11076355,9417,62076.53444671631,5236.305698659205,3435180.196212769,94.62435520404993,1o EM
10,2015,7,3059189.361562729,8838,62076.53444671631,4928.093020702692,3435180.196212769,89.05469835135392,1o EM
11,2015,8,2789278.625915527,7896,62076.53444671631,4493.289857071061,2789278.625915527,100,2o EM
11,2015,9,2647005.92324543,7467,62076.53444671631,4264.100673206073,2789278.625915527,94.89930115449118,2o EM
11,2015,10,2624948.200406075,7344,62076.53444671631,4228.567563898418,2789278.625915527,94.10849730168084,2o EM
11,2015,11,2530532.177409172,7108,62076.53444671631,4076.471407374177,2789278.625915527,90.72353525021451,2o EM
12,2015,12,2532930.031700134,6985,62076.53444671631,4080.334146027896,2532930.031700134,100,3o EM
12,2015,13,2529603.921315193,6825,62076.53444671631,4074.976066014914,2532930.031700134,99.86868526397042,3o EM
12,2015,14,2505918.237729073,6837,62076.53444671631,4036.82045085819,2532930.031700134,98.93357520211757,3o EM
12,2015,15,2318965.996131897,6354,62076.53444671631,3735.656342288877,2532930.031700134,91.55270643521796,3o EM
8,2016,0,3015158.670936584,8851,3015158.670936584,100,3015158.670936584,100,8o EF
8,2016,1,2848682.952489853,8566,3015158.670936584,94.47870786863034,3015158.670936584,94.47870786863034,8o EF
8,2016,2,2865574.915505409,8665,3015158.670936584,95.03894249834916,3015158.670936584,95.03894249834916,8o EF
8,2016,3,2859171.634495735,8578,3015158.670936584,94.82657287842183,3015158.670936584,94.82657287842183,8o EF
10,2016,4,3420693.159394741,10160,3015158.670936584,113.4498556366915,3420693.159394741,100,1o EM
10,2016,5,3270352.677968025,9543,3015158.670936584,108.4637007495254,3420693.159394741,95.60497026709881,1o EM
10,2016,6,3076530.406925201,8877,3015158.670936584,102.0354396795162,3420693.159394741,89.93880080929458,1o EM
10,2016,7,3003336.250741959,8534,3015158.670936584,99.607900562296,3420693.159394741,87.79905448383948,1o EM
11,2016,8,2750278.501955032,7570,3015158.670936584,91.21505042057127,2750278.501955032,100,2o EM
11,2016,9,2602854.355208397,7071,3015158.670936584,86.32561796158757,2750278.501955032,94.63966479606196,2o EM
11,2016,10,2618846.196734428,7087,3015158.670936584,86.85599938662428,2750278.501955032,95.22112741938042,2o EM
11,2016,11,2666590.394246101,7180,3015158.670936584,88.43947152598078,2750278.501955032,96.95710424782649,2o EM
12,2016,12,2533551.386994839,6807,3015158.670936584,84.02713301346273,2533551.386994839,100,3o EM
12,2016,13,2510929.85043335,6784,3015158.670936584,83.27687277742473,2533551.386994839,99.10712146287581,3o EM
12,2016,14,2516660.201933861,6659,3015158.670936584,83.4669241851913,2533551.386994839,99.3333000803661,3o EM
12,2016,15,2314700.551763535,6137,3015158.670936584,76.76878082985033,2533551.386994839,91.36189475553155,3o EM
8,2017,0,2938034.870172977,8914,2938034.870172977,100,2938034.870172977,100,8o EF
8,2017,1,2974327.559267998,8649,2938034.870172977,101.2352708765803,2938034.870172977,101.2352708765803,8o EF
8,2017,2,2934564.711088657,8538,2938034.870172977,99.88188843095264,2938034.870172977,99.88188843095264,8o EF
8,2017,3,2885425.602987289,8439,2938034.870172977,98.20937226716472,2938034.870172977,98.20937226716472,8o EF
10,2017,4,3231066.977965355,9212,2938034.870172977,109.9737450622948,3231066.977965355,100,1o EM
10,2017,5,3095028.260540009,8658,2938034.870172977,105.3434828824134,3231066.977965355,95.78966581772899,1o EM
10,2017,6,2980812.618515015,8248,2938034.870172977,101.4559986600676,3231066.977965355,92.25474553276118,1o EM
10,2017,7,2843068.834356308,7838,2938034.870172977,96.76770222229941,3231066.977965355,87.9916403387783,1o EM
11,2017,8,2696797.452458382,7239,2938034.870172977,91.789157434323,2696797.452458382,100,2o EM
11,2017,9,2600915.728579521,6986,2938034.870172977,88.52569297199634,2696797.452458382,96.44460788883291,2o EM
11,2017,10,2566080.847970009,6901,2938034.870172977,87.34004058362079,2696797.452458382,95.15289498774881,2o EM
11,2017,11,2561005.157304764,6739,2938034.870172977,87.16728257054295,2696797.452458382,94.96468320118626,2o EM
12,2017,12,2546084.838022232,5876,2938034.870172977,86.65944927577837,2546084.838022232,100,3o EM
12,2017,13,2572370.954727173,4497,2938034.870172977,87.55413289481224,2546084.838022232,101.0324132296141,3o EM
12,2017,14,2484709.869030952,4416,2938034.870172977,84.57046899803012,2546084.838022232,97.58943739522226,3o EM
12,2017,15,2421094.852947235,3958,2938034.870172977,82.40524568058284,2546084.838022232,95.09089472556273,3o EM
8,2018,0,2922191.25195694,8475,2922191.25195694,100,2922191.25195694,100,8o EF
8,2018,1,2842945.938194275,8045,2922191.25195694,97.28815443857086,2922191.25195694,97.28815443857086,8o EF
8,2018,2,2842459.791931152,8031,2922191.25195694,97.27151807834643,2922191.25195694,97.27151807834643,8o EF
8,2018,3,2856946.033804893,7967,2922191.25195694,97.76725024043678,2922191.25195694,97.76725024043678,8o EF
10,2018,4,3240401.67085743,8953,2922191.25195694,110.8894453327581,3240401.67085743,100,1o EM
10,2018,5,3132065.165313721,8605,2922191.25195694,107.1820731519962,3240401.67085743,96.6566951709094,1o EM
10,2018,6,2962943.74131012,8194,2922191.25195694,101.3945866591,3240401.67085743,91.43754516476679,1o EM
10,2018,7,2865431.209106445,7733,2922191.25195694,98.05762053347866,3240401.67085743,88.42827217615387,1o EM
11,2018,8,2713565.223535538,6411,2922191.25195694,92.86063058734814,2713565.223535538,100,2o EM
11,2018,9,2786340.14900589,4884,2922191.25195694,95.35105367042377,2713565.223535538,102.6818933570918,2o EM
11,2018,10,2717500.622027397,4801,2922191.25195694,92.995303445917,2713565.223535538,100.1450268619942,2o EM
11,2018,11,2787096.462259293,4386,2922191.25195694,95.37693538685477,2713565.223535538,102.7097649279257,2o EM
12,2018,12,2786067.187478065,4205,2922191.25195694,95.34171268264134,2786067.187478065,100,3o EM
12,2018,13,2795797.980197906,4715,2922191.25195694,95.67470911856334,2786067.187478065,100.3492662619041,3o EM
12,2018,14,2686184.127119064,5617,2922191.25195694,91.92362496192453,2786067.187478065,96.41490841254927,3o EM
12,2018,15,2545675.537798882,5655,2922191.25195694,87.11529528035126,2786067.187478065,91.37164922800066,3o EM
8,2019,0,2957752.358545303,8306,2957752.358545303,100,2957752.358545303,100,8o EF
8,2019,1,2869858.4823246,8089,2957752.358545303,97.02835580650398,2957752.358545303,97.02835580650398,8o EF
8,2019,2,2871535.928991318,7956,2957752.358545303,97.08506936678131,2957752.358545303,97.08506936678131,8o EF
8,2019,3,2848088.134996414,7926,2957752.358545303,96.29231219334316,2957752.358545303,96.29231219334316,8o EF
10,2019,4,3113411.392180443,7663,2957752.358545303,105.2627473420965,3113411.392180443,100,1o EM
10,2019,5,3133009.747611046,5712,2957752.358545303,105.9253570894603,3113411.392180443,100.6294817151317,1o EM
10,2019,6,3154729.854941368,5675,2957752.358545303,106.6597021155937,3113411.392180443,101.3271122108919,1o EM
10,2019,7,3136149.002910614,5194,2957752.358545303,106.0314936052676,3113411.392180443,100.7303117984112,1o EM
11,2019,8,2842074.0107584,4508,2957752.358545303,96.08897792093057,2842074.0107584,100,2o EM
11,2019,9,2796281.662733555,4918,2957752.358545303,94.54076351776915,2842074.0107584,98.38877003725088,2o EM
11,2019,10,2752799.007935047,5957,2957752.358545303,93.07063858750307,2842074.0107584,96.85880795203042,2o EM
11,2019,11,2693037.503088951,6123,2957752.358545303,91.05013458305396,2842074.0107584,94.75606521486472,2o EM
12,2019,12,2734048.946612358,6278,2957752.358545303,92.43670920296491,2734048.946612358,100,3o EM
12,2019,13,2637353.581115723,6092,2957752.358545303,89.16749143977825,2734048.946612358,96.46329062190175,3o EM
12,2019,14,2584715.171107769,6041,2957752.358545303,87.38781540111751,2734048.946612358,94.53799919384683,3o EM
12,2019,15,2507968.910291672,5697,2957752.358545303,84.79306602683782,2734048.946612358,91.73094407834898,3o EM
