serie_cohort,cohort_year,tempo_rel,total_matr,n_obs,baseline,indice,base_serie,indice_serie,serie_lbl
10,2015,4,2132690.259230614,5921,,,2132690.259230614,100,1o EM
10,2015,5,1962755.182268143,5463,,,2132690.259230614,92.03189135285982,1o EM
10,2015,6,1698682.61266613,4615,,,2132690.259230614,79.64975717003296,1o EM
10,2015,7,1455593.907475471,3852,,,2132690.259230614,68.25153822386704,1o EM
11,2015,8,1841006.703505516,4956,,,1841006.703505516,100,2o EM
11,2015,9,1623748.337562561,4466,,,1841006.703505516,88.19893672688607,2o EM
11,2015,10,1442372.920026779,3889,,,1841006.703505516,78.34696730220013,2o EM
11,2015,11,1290634.716129303,3475,,,1841006.703505516,70.10483523344955,2o EM
12,2015,12,1737316.783182144,4631,,,1737316.783182144,100,3o EM
12,2015,13,1626988.2803936,4222,,,1737316.783182144,93.64948846079405,3o EM
12,2015,14,1422139.658535957,3728,,,1737316.783182144,81.85839636747797,3o EM
12,2015,15,1235510.857212067,3203,,,1737316.783182144,71.1160376260829,3o EM
8,2016,0,1874958.686798096,5141,1874958.686798096,100,1874958.686798096,100,8o EF
8,2016,1,1683000.139676094,4704,1874958.686798096,89.76198523873542,1874958.686798096,89.76198523873542,8o EF
8,2016,2,1485904.655495644,4191,1874958.686798096,79.24999446431285,1874958.686798096,79.24999446431285,8o EF
8,2016,3,1280969.073821068,3601,1874958.686798096,68.31985594352504,1874958.686798096,68.31985594352504,8o EF
10,2016,4,2053231.05355978,5817,1874958.686798096,109.5080690586374,2053231.05355978,100,1o EM
10,2016,5,1887261.530190468,5225,1874958.686798096,100.6561661053653,2053231.05355978,91.91666602345784,1o EM
10,2016,6,1594834.19717598,4325,1874958.686798096,85.05969802990751,2053231.05355978,77.67436569844115,1o EM
10,2016,7,1405998.673524857,3765,1874958.686798096,74.98824819046592,2053231.05355978,68.47737233893929,1o EM
11,2016,8,1769001.488981247,4773,1874958.686798096,94.34882493342859,1769001.488981247,100,2o EM
11,2016,9,1611112.468034744,4273,1874958.686798096,85.92789160523175,1769001.488981247,91.07468128602709,2o EM
11,2016,10,1447836.450005531,3778,1874958.686798096,77.21964543538986,1769001.488981247,81.84484066428503,2o EM
11,2016,11,1373927.130963326,3533,1874958.686798096,73.27772823142084,1769001.488981247,77.66681597054837,2o EM
12,2016,12,1730597.503315926,4479,1874958.686798096,92.30056723390004,1730597.503315926,100,3o EM
12,2016,13,1616424.830036163,4224,1874958.686798096,86.2112238215,1730597.503315926,93.40270206902524,3o EM
12,2016,14,1448351.702692986,3634,1874958.686798096,77.24712618422353,1730597.503315926,83.69084665370539,3o EM
12,2016,15,1220698.966082573,3031,1874958.686798096,65.10537937063482,1730597.503315926,70.53627222642137,3o EM
8,2017,0,1898869.745417595,5460,1898869.745417595,100,1898869.745417595,100,8o EF
8,2017,1,1767532.797024727,4963,1898869.745417595,93.08341455701139,1898869.745417595,93.08341455701139,8o EF
8,2017,2,1507327.801650047,4188,1898869.745417595,79.38026319538623,1898869.745417595,79.38026319538623,8o EF
8,2017,3,1359136.443670273,3707,1898869.745417595,71.57607555495466,1898869.745417595,71.57607555495466,8o EF
10,2017,4,1962098.852436066,5383,1898869.745417595,103.3298285557004,1962098.852436066,100,1o EM
10,2017,5,1765199.196426392,4810,1898869.745417595,92.96052036671915,1962098.852436066,89.96484525918706,1o EM
10,2017,6,1493855.093389511,3991,1898869.745417595,78.67075121895662,1962098.852436066,76.13556735608906,1o EM
10,2017,7,1300888.047616959,3409,1898869.745417595,68.50854571548668,1962098.852436066,66.30084136697938,1o EM
11,2017,8,1789606.259436607,4678,1898869.745417595,94.24586724578316,1789606.259436607,100,2o EM
11,2017,9,1609527.613723755,4218,1898869.745417595,84.7624023505515,1789606.259436607,89.9375270530433,2o EM
11,2017,10,1409150.496992111,3634,1898869.745417595,74.20996097245281,1789606.259436607,78.74081181609921,2o EM
11,2017,11,1276005.463329315,3190,1898869.745417595,67.19815650381533,1789606.259436607,71.3009052466669,2o EM
12,2017,12,1750556.532928467,3925,1898869.745417595,92.18939514692666,1750556.532928467,100,3o EM
12,2017,13,1680451.663446426,2799,1898869.745417595,88.49746895497908,1750556.532928467,95.99528103415412,3o EM
12,2017,14,1399325.298194885,2381,1898869.745417595,73.69253744611898,1750556.532928467,79.93602445126325,3o EM
12,2017,15,1194443.970708847,1795,1898869.745417595,62.90289123786992,1750556.532928467,68.23224204651584,3o EM
8,2018,0,1973666.203364372,5403,1973666.203364372,100,1973666.203364372,100,8o EF
8,2018,1,1749982.044126511,4748,1973666.203364372,88.66656586323651,1973666.203364372,88.66656586323651,8o EF
8,2018,2,1542139.945691109,4133,1973666.203364372,78.13580346374323,1973666.203364372,78.13580346374323,8o EF
8,2018,3,1336509.581466675,3554,1973666.203364372,67.71710328668644,1973666.203364372,67.71710328668644,8o EF
10,2018,4,1978664.720671654,5397,1973666.203364372,100.2532605208906,1978664.720671654,100,1o EM
10,2018,5,1833287.88988018,4873,1973666.203364372,92.88743389105521,1978664.720671654,92.65278097533748,1o EM
10,2018,6,1526846.367972374,4087,1973666.203364372,77.36092178959464,1978664.720671654,77.16549206244953,1o EM
10,2018,7,1314654.744818687,3398,1973666.203364372,66.6097814603952,1978664.720671654,66.44151134268117,1o EM
11,2018,8,1822876.992126465,4284,1973666.203364372,92.35994359224131,1822876.992126465,100,2o EM
11,2018,9,1790618.807012558,3042,1973666.203364372,90.72551396787431,1822876.992126465,98.23036961609371,2o EM
11,2018,10,1477396.261846542,2486,1973666.203364372,74.85542688668059,1822876.992126465,81.04750173642248,2o EM
11,2018,11,1275309.658676147,1876,1973666.203364372,64.61627890786271,1822876.992126465,69.96136679460986,2o EM
12,2018,12,1638492.736650467,2399,1973666.203364372,83.01772274650303,1638492.736650467,100,3o EM
12,2018,13,1669710.640039444,2739,1973666.203364372,84.59944428258454,1638492.736650467,101.9052817684621,3o EM
12,2018,14,1380862.706314087,2791,1973666.203364372,69.96434878198886,1638492.736650467,84.27640083025042,3o EM
12,2018,15,1128852.266983032,2432,1973666.203364372,57.19570335950201,1638492.736650467,68.89577486261666,3o EM
8,2019,0,1970043.031383514,5350,1970043.031383514,100,1970043.031383514,100,8o EF
8,2019,1,1813010.967827797,4833,1970043.031383514,92.02900337433556,1970043.031383514,92.02900337433556,8o EF
8,2019,2,1511931.484716415,3921,1970043.031383514,76.7461147107341,1970043.031383514,76.7461147107341,8o EF
8,2019,3,1288928.779615402,3344,1970043.031383514,65.42642770144052,1970043.031383514,65.42642770144052,8o EF
10,2019,4,1992041.232188225,4796,1970043.031383514,101.1166355482734,1992041.232188225,100,1o EM
10,2019,5,1822040.086515427,3338,1970043.031383514,92.48732426092496,1992041.232188225,91.4659825848055,1o EM
10,2019,6,1569528.11373806,2763,1970043.031383514,79.6697376014075,1992041.232188225,78.78994111050397,1o EM
10,2019,7,1280705.418029785,2057,1970043.031383514,65.00900729718457,1992041.232188225,64.29110990955499,1o EM
11,2019,8,1655812.86083889,2580,1970043.031383514,84.04957833210638,1655812.86083889,100,2o EM
11,2019,9,1666018.356894016,2861,1970043.031383514,84.56761250154071,1655812.86083889,100.6163435673495,2o EM
11,2019,10,1436916.887409687,2978,1970043.031383514,72.93835030601207,1655812.86083889,86.78015018446571,2o EM
11,2019,11,1181568.501866341,2547,1970043.031383514,59.97678644798704,1655812.86083889,71.35881897110755,2o EM
12,2019,12,1757452.428762436,3915,1970043.031383514,89.20883456683781,1757452.428762436,100,3o EM
12,2019,13,1688472.574144363,3774,1970043.031383514,85.7073955871202,1757452.428762436,96.07500871778095,3o EM
12,2019,14,1445696.003442287,3284,1970043.031383514,73.38398097969512,1757452.428762436,82.2608896708697,3o EM
12,2019,15,1211687.453111649,2643,1970043.031383514,61.50563382672455,1757452.428762436,68.9456757566346,3o EM
8,2020,0,1964078.887213707,4661,1964078.887213707,100,1964078.887213707,100,8o EF
8,2020,1,1823623.933585167,3175,1964078.887213707,92.84881302156896,1964078.887213707,92.84881302156896,8o EF
8,2020,2,1439092.71396637,2499,1964078.887213707,73.2706167422788,1964078.887213707,73.2706167422788,8o EF
8,2020,3,1131476.16411972,1720,1964078.887213707,57.60848871629906,1964078.887213707,57.60848871629906,8o EF
10,2020,4,1811571.010603428,2648,1964078.887213707,92.2351450543501,1811571.010603428,100,1o EM
10,2020,5,1681651.114860058,2918,1964078.887213707,85.62034477371179,1811571.010603428,92.82832994219233,1o EM
10,2020,6,1427711.552489281,2925,1964078.887213707,72.69115114386618,1811571.010603428,78.81068664339661,1o EM
10,2020,7,1204067.54823494,2597,1964078.887213707,61.30443925004768,1811571.010603428,66.46537956212211,1o EM
11,2020,8,1738750.829010963,3938,1964078.887213707,88.52754542245501,1738750.829010963,100,2o EM
11,2020,9,1708474.015051842,3807,1964078.887213707,86.98601803492359,1738750.829010963,98.25870311870139,2o EM
11,2020,10,1420455.098278999,3178,1964078.887213707,72.32169275512624,1738750.829010963,81.69399977149013,2o EM
11,2020,11,1197038.20887661,2573,1964078.887213707,60.94654428950963,1738750.829010963,68.84472397678219,2o EM
12,2020,12,1671178.327640533,3625,1964078.887213707,85.08712855272887,1671178.327640533,100,3o EM
12,2020,13,1590326.966688156,3471,1964078.887213707,80.97062582573936,1671178.327640533,95.16201475239761,3o EM
12,2020,14,1358279.694412231,3000,1964078.887213707,69.15606614656512,1671178.327640533,81.2767657374979,3o EM
12,2020,15,1189588.499088287,2468,1964078.887213707,60.56724639894014,1671178.327640533,71.18261883923647,3o EM
