serie_cohort,cohort_year,tempo_rel,total_matr,serie_lbl
8,2013,0,62961.92794036865,8o EF
8,2013,1,72790.82377243042,8o EF
8,2013,2,78536.06065368652,8o EF
8,2013,3,68267.99863815308,8o EF
10,2013,4,49988.16609191895,1o EM
10,2013,5,48882.39418411255,1o EM
10,2013,6,42156.52788543701,1o EM
10,2013,7,26997.06924057007,1o EM
11,2013,8,41811.32851409912,2o EM
11,2013,9,49991.71863937378,2o EM
11,2013,10,57988.66193580627,2o EM
12,2013,12,2793624.411093712,3o EM
12,2013,13,2709801.251740456,3o EM
12,2013,14,2701864.639780998,3o EM
12,2013,15,2598561.783533096,3o EM
8,2014,0,67303.0284614563,8o EF
8,2014,1,75216.3431854248,8o EF
8,2014,2,74492.2509727478,8o EF
8,2014,3,67653.30070495605,8o EF
10,2014,4,50573.51070785522,1o EM
10,2014,5,53700.49773216248,1o EM
10,2014,6,40047.10855865479,1o EM
11,2014,8,2856850.210730553,2o EM
11,2014,9,2761266.169939995,2o EM
11,2014,10,2737463.528489113,2o EM
11,2014,11,2753829.322193146,2o EM
12,2014,12,2706495.88188839,3o EM
12,2014,13,2640118.509504318,3o EM
12,2014,14,2559550.530138969,3o EM
12,2014,15,2491189.702233315,3o EM
8,2015,0,62076.53444671631,8o EF
8,2015,1,67171.00771045685,8o EF
8,2015,2,78027.59510803223,8o EF
10,2015,4,3435180.196212769,1o EM
10,2015,5,3383199.599711418,1o EM
10,2015,6,3250517.11076355,1o EM
10,2015,7,3059189.361562729,1o EM
11,2015,8,2789278.625915527,2o EM
11,2015,9,2647005.92324543,2o EM
11,2015,10,2624948.200406075,2o EM
11,2015,11,2530532.177409172,2o EM
12,2015,12,2532930.031700134,3o EM
12,2015,13,2529603.921315193,3o EM
12,2015,14,2505918.237729073,3o EM
12,2015,15,2318965.996131897,3o EM
8,2016,0,3015158.670936584,8o EF
8,2016,1,2848682.952489853,8o EF
8,2016,2,2865574.915505409,8o EF
8,2016,3,2859171.634495735,8o EF
10,2016,4,3420693.159394741,1o EM
10,2016,5,3270352.677968025,1o EM
10,2016,6,3076530.406925201,1o EM
10,2016,7,3003336.250741959,1o EM
11,2016,8,2750278.501955032,2o EM
11,2016,9,2602854.355208397,2o EM
11,2016,10,2618846.196734428,2o EM
11,2016,11,2666590.394246101,2o EM
12,2016,12,2533551.386994839,3o EM
12,2016,13,2510929.85043335,3o EM
12,2016,14,2516660.201933861,3o EM
12,2016,15,2314700.551763535,3o EM
8,2017,0,2938034.870172977,8o EF
8,2017,1,2974327.559267998,8o EF
8,2017,2,2934564.711088657,8o EF
8,2017,3,2885425.602987289,8o EF
10,2017,4,3231066.977965355,1o EM
10,2017,5,3095028.260540009,1o EM
10,2017,6,2980812.618515015,1o EM
10,2017,7,2843068.834356308,1o EM
11,2017,8,2696797.452458382,2o EM
11,2017,9,2600915.728579521,2o EM
11,2017,10,2566080.847970009,2o EM
11,2017,11,2561005.157304764,2o EM
12,2017,12,2546084.838022232,3o EM
12,2017,13,2572370.954727173,3o EM
12,2017,14,2484709.869030952,3o EM
12,2017,15,2421094.852947235,3o EM
8,2018,0,2922191.25195694,8o EF
8,2018,1,2842945.938194275,8o EF
8,2018,2,2842459.791931152,8o EF
8,2018,3,2856946.033804893,8o EF
10,2018,4,3240401.67085743,1o EM
10,2018,5,3132065.165313721,1o EM
10,2018,6,2962943.74131012,1o EM
10,2018,7,2865431.209106445,1o EM
11,2018,8,2713565.223535538,2o EM
11,2018,9,2786340.14900589,2o EM
11,2018,10,2717500.622027397,2o EM
11,2018,11,2787096.462259293,2o EM
12,2018,12,2786067.187478065,3o EM
12,2018,13,2795797.980197906,3o EM
12,2018,14,2686184.127119064,3o EM
12,2018,15,2545675.537798882,3o EM
8,2019,0,2957752.358545303,8o EF
8,2019,1,2869858.4823246,8o EF
8,2019,2,2871535.928991318,8o EF
8,2019,3,2848088.134996414,8o EF
10,2019,4,3113411.392180443,1o EM
10,2019,5,3133009.747611046,1o EM
10,2019,6,3154729.854941368,1o EM
10,2019,7,3136149.002910614,1o EM
11,2019,8,2842074.0107584,2o EM
11,2019,9,2796281.662733555,2o EM
11,2019,10,2752799.007935047,2o EM
11,2019,11,2693037.503088951,2o EM
12,2019,12,2734048.946612358,3o EM
12,2019,13,2637353.581115723,3o EM
12,2019,14,2584715.171107769,3o EM
12,2019,15,2507968.910291672,3o EM
8,2020,0,2872370.033770561,8o EF
8,2020,1,2860965.64039135,8o EF
8,2020,2,2892700.575186729,8o EF
8,2020,3,2835456.698682785,8o EF
10,2020,4,3165096.563649654,1o EM
10,2020,5,3058967.557929993,1o EM
10,2020,6,2989897.931145191,1o EM
10,2020,7,2917847.377803802,1o EM
11,2020,8,2703795.154488564,2o EM
11,2020,9,2688396.599498749,2o EM
11,2020,10,2602736.595711708,2o EM
11,2020,11,2613692.949020386,2o EM
12,2020,12,2614505.93998909,3o EM
12,2020,13,2490585.088814735,3o EM
12,2020,14,2511424.478783607,3o EM
12,2020,15,2442793.050384521,3o EM
