Ano,Trimestre,serie_cohort,tempo,total_matr,n_obs,serie_lbl
2012,1,8,2012,57753.37460327148,187,8o EF
2012,1,10,2012,57838.78846359253,167,1o EM
2012,1,11,2012,51093.94125366211,137,2o EM
2012,1,12,2012,47420.04602432251,156,3o EM
2012,2,8,2012.25,66711.25915145874,198,8o EF
2012,2,10,2012.25,41860.95576477051,118,1o EM
2012,2,11,2012.25,40714.45802497864,128,2o EM
2012,2,12,2012.25,45674.12705612183,136,3o EM
2012,3,8,2012.5,72055.04404449463,224,8o EF
2012,3,10,2012.5,39796.66927719116,100,1o EM
2012,3,11,2012.5,53967.77760696411,150,2o EM
2012,3,12,2012.5,40817.1205329895,114,3o EM
2012,4,8,2012.75,51380.86553573608,185,8o EF
2012,4,10,2012.75,37235.54861450195,95,1o EM
2012,4,11,2012.75,38424.81795883179,117,2o EM
2012,4,12,2012.75,33096.40153503418,90,3o EM
2013,1,8,2013,62961.92794036865,198,8o EF
2013,1,10,2013,52954.95606994629,150,1o EM
2013,1,11,2013,49755.78179550171,145,2o EM
2013,1,12,2013,37866.1119556427,122,3o EM
2013,2,8,2013.25,72790.82377243042,224,8o EF
2013,2,10,2013.25,45575.37741470337,146,1o EM
2013,2,11,2013.25,53688.38421058655,150,2o EM
2013,2,12,2013.25,46935.00311660767,138,3o EM
2013,3,8,2013.5,78536.06065368652,252,8o EF
2013,3,10,2013.5,40813.70591640472,112,1o EM
2013,3,11,2013.5,54554.7027721405,145,2o EM
2013,3,12,2013.5,45353.84656906128,125,3o EM
2013,4,8,2013.75,68267.99863815308,203,8o EF
2013,4,10,2013.75,32074.69334411621,87,1o EM
2013,4,11,2013.75,48477.55413818359,127,2o EM
2013,4,12,2013.75,36393.75203132629,104,3o EM
2014,1,8,2014,67303.0284614563,207,8o EF
2014,1,10,2014,49988.16609191895,147,1o EM
2014,1,11,2014,42786.07185173035,131,2o EM
2014,1,12,2014,50406.3808631897,141,3o EM
2014,2,8,2014.25,75216.3431854248,230,8o EF
2014,2,10,2014.25,48882.39418411255,141,1o EM
2014,2,11,2014.25,54510.94690322876,155,2o EM
2014,2,12,2014.25,45763.74420928955,125,3o EM
2014,3,8,2014.5,74492.2509727478,239,8o EF
2014,3,10,2014.5,42156.52788543701,130,1o EM
2014,3,11,2014.5,52791.36024856567,151,2o EM
2014,3,12,2014.5,39453.95387649536,104,3o EM
2014,4,8,2014.75,67653.30070495605,212,8o EF
2014,4,10,2014.75,26997.06924057007,89,1o EM
2014,4,11,2014.75,41079.13056182861,124,2o EM
2014,4,12,2014.75,40467.61894989014,113,3o EM
2015,1,8,2015,62076.53444671631,202,8o EF
2015,1,10,2015,50573.51070785522,156,1o EM
2015,1,11,2015,41811.32851409912,141,2o EM
2015,1,12,2015,48352.4539642334,124,3o EM
2015,2,8,2015.25,67171.00771045685,218,8o EF
2015,2,10,2015.25,53700.49773216248,158,1o EM
2015,2,11,2015.25,49991.71863937378,141,2o EM
2015,2,12,2015.25,55660.32776641846,150,3o EM
2015,3,8,2015.5,78027.59510803223,246,8o EF
2015,3,10,2015.5,40047.10855865479,124,1o EM
2015,3,11,2015.5,57988.66193580627,151,2o EM
2015,3,12,2015.5,62866.57532119751,139,3o EM
2016,1,8,2016,3015158.670936584,8851,8o EF
2016,1,9,2016,2779666.863296986,8311,9o EF
2016,1,10,2016,3435180.196212769,10138,1o EM
2016,1,11,2016,2856850.210730553,7880,2o EM
2016,1,12,2016,2793624.411093712,7806,3o EM
2016,2,8,2016.25,2848682.952489853,8566,8o EF
2016,2,9,2016.25,2773176.090398312,8214,9o EF
2016,2,10,2016.25,3383199.599711418,9870,1o EM
2016,2,11,2016.25,2761266.169939995,7752,2o EM
2016,2,12,2016.25,2709801.251740456,7766,3o EM
2016,3,8,2016.5,2865574.915505409,8665,8o EF
2016,3,9,2016.5,2757329.51458168,8174,9o EF
2016,3,10,2016.5,3250517.11076355,9417,1o EM
2016,3,11,2016.5,2737463.528489113,7736,2o EM
2016,3,12,2016.5,2701864.639780998,7737,3o EM
2016,4,8,2016.75,2859171.634495735,8578,8o EF
2016,4,9,2016.75,2795699.280814171,8330,9o EF
2016,4,10,2016.75,3059189.361562729,8838,1o EM
2016,4,11,2016.75,2753829.322193146,7662,2o EM
2016,4,12,2016.75,2598561.783533096,7286,3o EM
2017,1,8,2017,2938034.870172977,8914,8o EF
2017,1,9,2017,2740370.571296692,8261,9o EF
2017,1,10,2017,3420693.159394741,10160,1o EM
2017,1,11,2017,2789278.625915527,7896,2o EM
2017,1,12,2017,2706495.88188839,7495,3o EM
2017,2,8,2017.25,2974327.559267998,8649,8o EF
2017,2,9,2017.25,2741625.313416481,8256,9o EF
2017,2,10,2017.25,3270352.677968025,9543,1o EM
2017,2,11,2017.25,2647005.92324543,7467,2o EM
2017,2,12,2017.25,2640118.509504318,7381,3o EM
2017,3,8,2017.5,2934564.711088657,8538,8o EF
2017,3,9,2017.5,2760478.819212914,8289,9o EF
2017,3,10,2017.5,3076530.406925201,8877,1o EM
