Ano,Trimestre,serie_cohort,tempo,total_matr,n_obs,serie_lbl
2012,1,11,2012,3121.027976989746,9,2o EM
2012,1,12,2012,4538.571266174316,16,3o EM
2012,2,11,2012.25,394.8948974609375,1,2o EM
2012,2,12,2012.25,5390.746185302734,12,3o EM
2012,3,11,2012.5,643.2634124755859,2,2o EM
2012,3,12,2012.5,2921.233764648438,8,3o EM
2012,4,11,2012.75,392.6070404052734,2,2o EM
2012,4,12,2012.75,4107.700538635254,9,3o EM
2013,1,12,2013,2657.411754608154,8,3o EM
2013,2,11,2013.25,146.7005615234375,1,2o EM
2013,2,12,2013.25,2653.501628875732,11,3o EM
2013,3,11,2013.5,948.9338874816895,5,2o EM
2013,3,12,2013.5,2856.951072692871,12,3o EM
2013,4,11,2013.75,240.4176330566406,3,2o EM
2013,4,12,2013.75,1551.5908203125,5,3o EM
2014,1,11,2014,414.7104187011719,2,2o EM
2014,1,12,2014,3614.509864807129,11,3o EM
2014,2,11,2014.25,1607.805725097656,3,2o EM
2014,2,12,2014.25,2439.999977111816,9,3o EM
2014,3,11,2014.5,2353.196411132813,6,2o EM
2014,3,12,2014.5,1344.767875671387,6,3o EM
2014,4,11,2014.75,829.9928894042969,2,2o EM
2014,4,12,2014.75,1734.038223266602,6,3o EM
2015,1,11,2015,960.7275848388672,4,2o EM
2015,1,12,2015,2659.464813232422,10,3o EM
2015,2,12,2015.25,274.4856719970703,2,3o EM
2015,3,11,2015.5,2215.610244750977,7,2o EM
2015,3,12,2015.5,2285.926124572754,4,3o EM
2016,1,8,2016,1874958.686798096,5141,8o EF
2016,1,9,2016,1839154.43761158,5275,9o EF
2016,1,10,2016,2132690.259230614,5921,1o EM
2016,1,11,2016,1912179.497263908,5000,2o EM
2016,1,12,2016,1860126.877315521,5082,3o EM
2016,2,8,2016.25,1683000.139676094,4704,8o EF
2016,2,9,2016.25,1735681.649098396,4885,9o EF
2016,2,10,2016.25,1962755.182268143,5463,1o EM
2016,2,11,2016.25,1714090.74110508,4678,2o EM
2016,2,12,2016.25,1740969.895796776,4827,3o EM
2016,3,8,2016.5,1485904.655495644,4191,8o EF
2016,3,9,2016.5,1556215.810160637,4344,9o EF
2016,3,10,2016.5,1698682.61266613,4615,1o EM
2016,3,11,2016.5,1577475.893518448,4348,2o EM
2016,3,12,2016.5,1618664.959612846,4457,3o EM
2016,4,8,2016.75,1280969.073821068,3601,8o EF
2016,4,9,2016.75,1404041.782492638,3916,9o EF
2016,4,10,2016.75,1455593.907475471,3852,1o EM
2016,4,11,2016.75,1457571.213830948,3901,2o EM
2016,4,12,2016.75,1445409.532085419,3893,3o EM
2017,1,8,2017,1898869.745417595,5460,8o EF
2017,1,9,2017,1907854.811601639,5467,9o EF
2017,1,10,2017,2053231.05355978,5817,1o EM
2017,1,11,2017,1841006.703505516,4956,2o EM
2017,1,12,2017,1809449.014708519,4897,3o EM
2017,2,8,2017.25,1767532.797024727,4963,8o EF
2017,2,9,2017.25,1757852.779664993,5066,9o EF
2017,2,10,2017.25,1887261.530190468,5225,1o EM
2017,2,11,2017.25,1623748.337562561,4466,2o EM
2017,2,12,2017.25,1686686.076903343,4634,3o EM
2017,3,8,2017.5,1507327.801650047,4188,8o EF
2017,3,9,2017.5,1515443.416389465,4325,9o EF
2017,3,10,2017.5,1594834.19717598,4325,1o EM
2017,3,11,2017.5,1442372.920026779,3889,2o EM
2017,3,12,2017.5,1520406.865206718,4054,3o EM
2017,4,8,2017.75,1359136.443670273,3707,8o EF
2017,4,9,2017.75,1401901.011394501,3887,9o EF
2017,4,10,2017.75,1405998.673524857,3765,1o EM
2017,4,11,2017.75,1290634.716129303,3475,2o EM
2017,4,12,2017.75,1351542.461923599,3552,3o EM
2018,1,8,2018,1973666.203364372,5403,8o EF
2018,1,9,2018,1962802.541161537,5444,9o EF
2018,1,10,2018,1962098.852436066,5383,1o EM
2018,1,11,2018,1769001.488981247,4773,2o EM
2018,1,12,2018,1737316.783182144,4631,3o EM
2018,2,8,2018.25,1749982.044126511,4748,8o EF
2018,2,9,2018.25,1845244.952216148,5051,9o EF
2018,2,10,2018.25,1765199.196426392,4810,1o EM
2018,2,11,2018.25,1611112.468034744,4273,2o EM
2018,2,12,2018.25,1626988.2803936,4222,3o EM
2018,3,8,2018.5,1542139.945691109,4133,8o EF
2018,3,9,2018.5,1594469.582195282,4379,9o EF
2018,3,10,2018.5,1493855.093389511,3991,1o EM
2018,3,11,2018.5,1447836.450005531,3778,2o EM
2018,3,12,2018.5,1422139.658535957,3728,3o EM
2018,4,8,2018.75,1336509.581466675,3554,8o EF
2018,4,9,2018.75,1438144.08794117,3870,9o EF
2018,4,10,2018.75,1300888.047616959,3409,1o EM
2018,4,11,2018.75,1373927.130963326,3533,2o EM
2018,4,12,2018.75,1235510.857212067,3203,3o EM
2019,1,8,2019,1970043.031383514,5350,8o EF
2019,1,9,2019,1967848.456968307,5350,9o EF
2019,1,10,2019,1978664.720671654,5397,1o EM
2019,1,11,2019,1789606.259436607,4678,2o EM
2019,1,12,2019,1730597.503315926,4479,3o EM
2019,2,8,2019.25,1813010.967827797,4833,8o EF
2019,2,9,2019.25,1861902.82529068,5014,9o EF
2019,2,10,2019.25,1833287.88988018,4873,1o EM
2019,2,11,2019.25,1609527.613723755,4218,2o EM
2019,2,12,2019.25,1616424.830036163,4224,3o EM
2019,3,8,2019.5,1511931.484716415,3921,8o EF
2019,3,9,2019.5,1593266.575389862,4274,9o EF
2019,3,10,2019.5,1526846.367972374,4087,1o EM
2019,3,11,2019.5,1409150.496992111,3634,2o EM
2019,3,12,2019.5,1448351.702692986,3634,3o EM
2019,4,8,2019.75,1288928.779615402,3344,8o EF
2019,4,9,2019.75,1370821.411912918,3644,9o EF
2019,4,10,2019.75,1314654.744818687,3398,1o EM
2019,4,11,2019.75,1276005.463329315,3190,2o EM
2019,4,12,2019.75,1220698.966082573,3031,3o EM
2020,1,8,2020,1964078.887213707,4661,8o EF
2020,1,9,2020,2097145.688447952,4827,9o EF
