Ano,Trimestre,macroetapa,pct_freq,n
2012,1,EF finais,1,24358
2012,1,EF iniciais,1,32666
2012,1,EM,1,16176
2012,2,EF finais,1,31957
2012,2,EF iniciais,1,43399
2012,2,EM,1,20775
2012,3,EF finais,1,30866
2012,3,EF iniciais,1,42444
2012,3,EM,1,19749
2012,4,EF finais,1,30076
2012,4,EF iniciais,1,40292
2012,4,EM,1,18645
2013,1,EF finais,1,30177
2013,1,EF iniciais,1,38267
2013,1,EM,1,20260
2013,2,EF finais,1,29737
2013,2,EF iniciais,1,38288
2013,2,EM,1,19423
2013,3,EF finais,1,28700
2013,3,EF iniciais,1,37165
2013,3,EM,1,18335
2013,4,EF finais,1,28075
2013,4,EF iniciais,1,36304
2013,4,EM,1,17617
2014,1,EF finais,1,28352
2014,1,EF iniciais,1,35587
2014,1,EM,1,19471
2014,2,EF finais,1,28188
2014,2,EF iniciais,1,36201
2014,2,EM,1,19049
2014,3,EF finais,1,28224
2014,3,EF iniciais,1,36637
2014,3,EM,1,18787
2014,4,EF finais,1,28356
2014,4,EF iniciais,1,36484
2014,4,EM,1,18134
2015,1,EF finais,1,28668
2015,1,EF iniciais,1,35097
2015,1,EM,1,19709
2015,2,EF finais,1,28971
2015,2,EF iniciais,1,36016
2015,2,EM,1,19393
2015,3,EF finais,1,29184
2015,3,EF iniciais,1,37246
2015,3,EM,1,19160
2016,1,EF finais,1,30756
2016,1,EF iniciais,1,37143
2016,1,EM,1,20923
2016,2,EF finais,1,30983
2016,2,EF iniciais,1,38048
2016,2,EM,1,20972
2016,3,EF finais,1,30921
2016,3,EF iniciais,1,39185
2016,3,EM,1,20749
2016,4,EF finais,1,30942
2016,4,EF iniciais,1,38593
2016,4,EM,1,20027
2017,1,EF finais,1,31433
2017,1,EF iniciais,1,37431
2017,1,EM,1,21293
2017,2,EF finais,1,30992
2017,2,EF iniciais,1,37541
2017,2,EM,1,20428
2017,3,EF finais,1,30706
2017,3,EF iniciais,1,37563
2017,3,EM,1,19517
2017,4,EF finais,1,29969
2017,4,EF iniciais,1,36904
2017,4,EM,1,18878
2018,1,EF finais,1,30158
2018,1,EF iniciais,1,36082
2018,1,EM,1,19863
2018,2,EF finais,1,29626
2018,2,EF iniciais,1,36186
2018,2,EM,1,18943
2018,3,EF finais,1,29373
2018,3,EF iniciais,1,36739
2018,3,EM,1,18659
2018,4,EF finais,1,28838
2018,4,EF iniciais,1,36000
2018,4,EM,1,17924
2019,1,EF finais,1,29157
2019,1,EF iniciais,1,34876
2019,1,EM,1,19317
2019,2,EF finais,1,28984
2019,2,EF iniciais,1,35024
2019,2,EM,1,18878
2019,3,EF finais,1,29064
2019,3,EF iniciais,1,35615
2019,3,EM,1,18504
2019,4,EF finais,1,28487
2019,4,EF iniciais,1,34570
2019,4,EM,1,17444
2020,1,EF finais,1,25604
2020,1,EF iniciais,1,30203
2020,1,EM,1,16869
2020,2,EF finais,1,19979
2020,2,EF iniciais,1,23349
2020,2,EM,1,13378
2020,3,EF finais,1,19811
2020,3,EF iniciais,1,23432
2020,3,EM,1,13109
2020,4,EF finais,1,18107
2020,4,EF iniciais,1,21124
2020,4,EM,1,12051
2021,1,EF finais,1,17552
2021,1,EF iniciais,1,19002
2021,1,EM,1,11965
2021,2,EF finais,1,18816
2021,2,EF iniciais,1,20697
2021,2,EM,1,12945
2021,3,EF finais,1,22441
2021,3,EF iniciais,1,24872
2021,3,EM,1,15040
2021,4,EF finais,1,23850
2021,4,EF iniciais,1,26975
2021,4,EM,1,15462
2022,1,EF finais,1,24581
2022,1,EF iniciais,1,26998
2022,1,EM,1,16848
2022,2,EF finais,1,24875
2022,2,EF iniciais,1,27832
2022,2,EM,1,16808
2022,3,EF finais,1,25055
2022,3,EF iniciais,1,28819
2022,3,EM,1,16530
2022,4,EF finais,1,24503
2022,4,EF iniciais,1,28275
2022,4,EM,1,15841
2023,1,EF finais,1,24120
2023,1,EF iniciais,1,27112
2023,1,EM,1,16626
2023,2,EF finais,1,24065
2023,2,EF iniciais,1,27527
2023,2,EM,1,16151
2023,3,EF finais,1,24196
2023,3,EF iniciais,1,28524
2023,3,EM,1,15919
2023,4,EF finais,1,24115
2023,4,EF iniciais,1,28471
2023,4,EM,1,15513
2024,1,EF finais,1,24489
2024,1,EF iniciais,1,28541
2024,1,EM,1,16800
2024,2,EF finais,1,24547
2024,2,EF iniciais,1,29109
2024,2,EM,1,16675
2024,3,EF finais,1,24202
2024,3,EF iniciais,1,29471
2024,3,EM,1,16644
2024,4,EF finais,1,18247
2024,4,EF iniciais,1,22553
2024,4,EM,1,12277
