ano_t,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_naoprog,n_pessoa
2012,EF iniciais,.65449119,.32170066,.012618776,.33572745,31321
2012,EF finais,.59885383,.32685113,.03160841,.36768645,23077
2012,EM,.44867009,.20710759,.24370323,.46073309,14700
2013,EF iniciais,.66751057,.30644321,.012025949,.31977081,28844
2013,EF finais,.62152421,.30458221,.03127189,.34229597,21947
2013,EM,.4501884,.20271966,.23758793,.45030442,14071
2014,EF iniciais,.71203786,.26736009,.012185383,.28038582,28359
2014,EF finais,.65415275,.28335753,.028066425,.31917053,22075
2014,EM,.47385368,.18005365,.24815078,.43634766,14472
2015,EF iniciais,.73560733,.25743285,.0053362851,.26423115,20668
2015,EF finais,.66719329,.28029576,.02211722,.31319425,16167
2015,EM,.48211056,.17886266,.24523807,.43484196,10687
2016,EF iniciais,.73816681,.25569516,.0045589381,.2612665,30230
2016,EF finais,.67482203,.27829796,.017929574,.30735844,24293
2016,EM,.47522455,.19188501,.23720454,.44331199,15874
2017,EF iniciais,.74413067,.24948102,.0041090003,.25462046,28904
2017,EF finais,.68981421,.2684786,.016941821,.2956216,23514
2017,EM,.47338554,.1845514,.24577646,.44716045,14967
2018,EF iniciais,.75581598,.23861983,.0044697346,.24386694,28131
2018,EF finais,.71097893,.24772453,.018067693,.27368546,22774
2018,EM,.48545706,.17924261,.24542747,.43737963,14323
2019,EF iniciais,.76645261,.22920229,.003378808,.23321925,26102
2019,EF finais,.71501607,.24666657,.016350107,.27048719,21342
2019,EM,.48978075,.17288145,.24544598,.43065345,13591
2020,EF iniciais,.56969696,.42241591,.0078016627,.43022877,15736
2020,EF finais,.53696924,.44123197,.011389557,.45496407,13624
2020,EM,.3664161,.44089329,.15157883,.59750789,8938
2021,EF iniciais,.65049523,.34572574,.0030907253,.34923208,21463
2021,EF finais,.63407958,.34248784,.013254183,.35882574,18854
2021,EM,.41881555,.31966114,.21065263,.53746927,12181
2022,EF iniciais,.56395942,.43381757,.0015476337,.4358196,22008
2022,EF finais,.54609042,.43686426,.0085857967,.44753441,18923
2022,EM,.35739675,.43723089,.15685655,.59700465,12497
2023,EF iniciais,.56012791,.43772745,.0016669972,.43956926,22787
2023,EF finais,.54623705,.44149703,.0050693038,.4488003,19126
2023,EM,.37368932,.42703417,.14681895,.57672638,12351
