ano_t,serie_t,etapa_t,flag_promocao,flag_repetencia,flag_evasao,flag_naoprog,n_obs,n_pessoa
2012,1,4,.6609779,.31420434,.014973328,.32950795,1850990.76931572,5353
2012,2,4,.59955835,.38394213,.0082374196,.39243707,2016850.552559853,6025
2012,3,4,.60510141,.37349764,.008086225,.38340622,2203536.145327568,6444
2012,4,4,.7010355,.27459276,.013263912,.28883249,2201649.267437935,6551
2012,5,4,.6998561,.26902884,.018247452,.29056269,2317698.220331192,6948
2012,6,5,.54230917,.36550671,.022683369,.39491627,2345803.865617752,7098
2012,7,5,.54504216,.39151055,.027604695,.42962086,2172038.861370087,6487
2012,8,5,.67091835,.25359303,.045210462,.31078038,1958534.051874161,5681
2012,9,5,.68400735,.25799271,.033959568,.29937437,1272795.895427704,3811
2012,1,10,.63047683,.23670043,.069095604,.31722566,2038142.961837769,5831
2012,2,11,.61798137,.19967231,.10573902,.31313464,1693423.212335587,4739
2012,3,12,.010723912,.17530869,.63650191,.82216704,1500786.934304237,4130
2013,1,4,.66609597,.30612963,.012349853,.31887993,1801166.908973694,5221
2013,2,4,.62429893,.35510388,.0091676284,.36431152,1892510.144854546,5478
2013,3,4,.62285191,.355317,.0081269257,.36406583,1994856.750013351,5813
2013,4,4,.7185185,.25644824,.011840527,.27013731,2094033.06754303,6136
2013,5,4,.70023918,.2650024,.018410433,.28678903,2034975.159977913,6196
2013,6,5,.56831521,.34262022,.020904379,.3688032,2139722.490267754,6541
2013,7,5,.5800699,.36195141,.024277326,.39518628,2099160.706162453,6119
2013,8,5,.67367983,.24797249,.046385001,.29972687,1818816.559657097,5370
2013,9,5,.70258915,.22898854,.038443405,.27323082,1307720.551427841,3917
2013,1,10,.62998271,.22446913,.068575107,.30578348,1963218.193939209,5675
2013,2,11,.62177807,.19758709,.10716,.31249779,1595392.15395546,4420
2013,3,12,.0090621365,.17842926,.61759454,.80475336,1420745.690784454,3976
2014,1,4,.71137142,.2679331,.014069434,.28206271,1785721.529994488,5083
2014,2,4,.69118756,.2939145,.0076387087,.30170304,1876736.306061745,5451
2014,3,4,.67016238,.30901715,.012178202,.32131353,1951530.219294548,5819
2014,4,4,.74823594,.23306246,.011043949,.24516943,1973257.970894814,5882
2014,5,4,.73675501,.23587339,.015816201,.25431684,2047713.396553993,6124
2014,6,5,.60748392,.32049257,.020487521,.34687483,2088138.325106621,6292
2014,7,5,.59141612,.34896308,.0260938,.38336176,2047703.236181259,6019
2014,8,5,.72278446,.22012426,.0320949,.26242679,1857886.29407692,5410
2014,9,5,.72312331,.21719275,.036743708,.26038739,1426794.808231354,4354
2014,1,10,.68391025,.19528566,.06557592,.26924911,1958431.970970154,5698
2014,2,11,.64911807,.17857797,.096207179,.28662813,1649857.586462021,4649
2014,3,12,.004459389,.161697,.65570199,.82113171,1492440.010645866,4125
2015,1,4,.72011167,.27533549,.0030933409,.27964994,1375411.415538788,3805
2015,2,4,.69670993,.29931176,.0019248521,.3027803,1435338.684332848,3945
2015,3,4,.70984608,.28329238,.0059688254,.29015395,1505305.813949585,4217
2015,4,4,.77095485,.22073513,.0071289972,.22904517,1494635.601463318,4288
2015,5,4,.77625096,.21310444,.0081385337,.22366551,1552294.848184586,4413
2015,6,5,.61096847,.32132462,.013637542,.34434986,1586112.003476143,4610
2015,7,5,.61610079,.34048361,.017538,.3700344,1499888.924675941,4268
2015,8,5,.74230534,.21260992,.026126403,.25082511,1349836.827886581,3780
2015,9,5,.72120625,.22664875,.034614809,.27086961,1192733.557830811,3509
2015,1,10,.68164337,.20249249,.066392221,.27933508,1512747.196726799,4167
2015,2,11,.66490066,.16810355,.10556903,.28690994,1244788.010730743,3388
2015,3,12,.0083543686,.15885817,.64295137,.81016392,1117405.09250927,3132
2016,1,4,.72191459,.27182171,.004353371,.27659518,2083485.818423271,5592
2016,2,4,.72396803,.27277067,.0031364535,.27603197,2056096.062345505,5670
2016,3,4,.70612073,.28975224,.0028146459,.29309186,2134091.854320526,6065
2016,4,4,.76376545,.22914949,.0053942469,.23601358,2270587.633728027,6404
2016,5,4,.77083677,.2195521,.0068665463,.22879477,2244271.893070221,6499
2016,6,5,.63317692,.30896559,.012004665,.32706356,2392506.554900169,6977
2016,7,5,.62199855,.33738622,.016066214,.36605754,2185599.156599045,6338
2016,8,5,.72334695,.2323879,.021474225,.26939231,1910950.277716637,5612
2016,9,5,.74121952,.21601067,.024156081,.25152761,1842813.631165981,5366
2016,1,10,.68372405,.22152801,.048401922,.2851755,2181579.316053391,6046
2016,2,11,.66346574,.17950639,.083042398,.27916139,1845726.633256912,5062
2016,3,12,.011076167,.16769062,.64010417,.81817377,1728542.064412117,4766
2017,1,4,.73551571,.25758144,.0044779694,.26218563,1987066.08237648,5238
2017,2,4,.73303717,.26081958,.0032742731,.26494104,2038118.654345036,5293
2017,3,4,.70273823,.29394791,.0025942926,.29713655,2135514.953639984,5960
2017,4,4,.78234613,.21191539,.0030184006,.21586156,2267208.189363003,6233
2017,5,4,.76333457,.22679746,.0071995007,.23657107,2159974.960950851,6180
2017,6,5,.64154571,.30774608,.015328758,.33150002,2243310.753017426,6654
2017,7,5,.63995814,.32207072,.013568523,.34856042,2162419.132174492,6092
2017,8,5,.76020437,.19872452,.020067694,.23052596,1900165.201808929,5486
2017,9,5,.73438728,.22980863,.019634137,.25704026,1847260.489542007,5282
2017,1,10,.68044657,.2060257,.055494756,.27884492,2071876.597597122,5815
2017,2,11,.66255414,.18283434,.084369548,.2864565,1728951.067342758,4700
2017,3,12,.014024308,.15932322,.65485352,.82784814,1645911.999794006,4452
2018,1,4,.72930181,.26583755,.0047424291,.27069822,2016279.423649788,5236
2018,2,4,.75367504,.24298032,.0026641269,.24564444,2035269.043844223,5249
2018,3,4,.72637743,.26786906,.0045791417,.27336681,2167513.904130936,5782
2018,4,4,.78993732,.20488253,.004357826,.20959577,2170015.879024506,6004
2018,5,4,.7780658,.21339668,.005933709,.22175398,2138543.846421242,5860
2018,6,5,.67153329,.27934715,.011828744,.29691923,2272490.335929871,6367
2018,7,5,.6679942,.29817989,.015015157,.32238901,2117329.903885841,5948
2018,8,5,.76564115,.19663784,.0225453,.22862001,1900364.240233421,5216
2018,9,5,.75081176,.20538317,.02436218,.23722254,1927415.707333565,5243
