ano_t,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_migracao_eja,n_pessoa
2012,EF finais,0.6698762093462882,0.23614045651625554,0.02818208767105585,0.008745279781299386,16484
2012,EF iniciais,0.7035352129547989,0.24744030289580649,0.01060191866546679,0.0015860444627685034,20764
2012,EM,0.5752524758926331,0.24568275861970928,0.07332766553720872,0.008131993133090666,14638
2013,EF finais,0.6804242983874351,0.2273933039800733,0.031340628276323945,0.00866591610935616,15650
2013,EF iniciais,0.7210371038423048,0.23363739109823273,0.009227679020523738,0.0013435142078093638,19623
2013,EM,0.5691805395115219,0.24888946579127952,0.07705857402016844,0.006989788754555459,14408
2014,EF finais,0.6990994981384238,0.22205572973209806,0.025766379735739833,0.007773302166404002,15985
2014,EF iniciais,0.7387527110704535,0.22342542347098124,0.007973138176168624,0.0007015212265594554,19636
2014,EM,0.5942862074321,0.24159014569848367,0.07219333941661349,0.006282866622565067,14940
2015,EF finais,0.7695560702608525,0.16314747244504113,0.023833130342228254,0.0074570555647381215,10433
2015,EF iniciais,0.8109419376698932,0.15666855184199238,0.005760130289860441,0.0008938033962497491,13057
2015,EM,0.6745906535557422,0.16664998582917345,0.11666316809331423,0.0012324802268005887,7154
2016,EF finais,0.7178202405646726,0.2105277363495317,0.01872991328109484,0.008398721973016776,17317
2016,EF iniciais,0.7634564313404814,0.20467986168469954,0.005130146579653331,0.0011148449711870833,20697
2016,EM,0.6609284760481963,0.22424632793569832,0.06326179301345729,0.004416932463380699,11497
2017,EF finais,0.6916071079421058,0.24518435257937618,0.01793594598765735,0.0077771102905677784,16625
2017,EF iniciais,0.7427636983582033,0.23146312020698714,0.004736949724651666,0.000516379977193659,20084
2017,EM,0.6540152228006733,0.23727653732643822,0.06394532433507187,0.002832516718097545,10759
2018,EF finais,0.7057160639169494,0.23528770629485202,0.01634216005579254,0.00977771482375681,16176
2018,EF iniciais,0.7637008572529559,0.2107250312923375,0.004245508392448071,0.000816044375427575,19391
2018,EM,0.6606386323566471,0.23121236023982542,0.06475010490067021,0.0023034903772516163,10466
2019,EF finais,0.7205651168921398,0.2231641982874569,0.012105219148233712,0.005928147536564491,13587
2019,EF iniciais,0.7631889453060725,0.20987671654399054,0.004280246345713876,0.0005552009560520616,16000
2019,EM,0.6650965478320677,0.23601729315259473,0.049004415394226744,0.0022377695480283208,8863
2020,EF finais,0.6645166844265207,0.30899418597861944,0.010432048284779286,0.0015936106612164077,8759
2020,EF iniciais,0.7052371507098575,0.2816399057679463,0.005376999094526628,4.466206673744847e-05,10047
2020,EM,0.5770587800854615,0.3589126208982591,0.03563108025920076,0.0011818880076526219,5868
2021,EF finais,0.7182581483416866,0.24710041545657604,0.01652344279492149,0.0027667023706677684,13000
2021,EF iniciais,0.749100816323557,0.23686959113452424,0.0028570569828924495,0.0003582337634411836,14538
2021,EM,0.6617832789549991,0.2569031255249927,0.05876513486071467,0.0016563967648089407,8330
2022,EF finais,0.6229699263555554,0.3524067855461829,0.010601672980710462,0.0021994012827135177,13064
2022,EF iniciais,0.650386585269408,0.3376097453841556,0.0012638872501484055,0.0002143658571279153,15028
2022,EM,0.5875842603918466,0.3561818259543869,0.04161214704159763,0.0005218516472163637,8493
2023,EF finais,0.634973048806787,0.3436903674786266,0.007815022606545124,0.0028062481928254287,13560
2023,EF iniciais,0.6557849982924263,0.33248286357026385,0.0019692551000346616,0.00019581658188428492,15948
2023,EM,0.5874218362328307,0.35014637951442873,0.042594675166638285,0.00028968506078942566,8438
