ano_t,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_migracao_eja,n_pessoa
2012,EF finais,0.6989763075473062,0.21881785629915607,0.025733115539980565,0.0072738061314185495,16333
2012,EF iniciais,0.7290825761331003,0.2265268779173121,0.009374097319915934,0.0015020561885924692,20766
2012,EM,0.5926826236379692,0.2402091630612479,0.06534553749342503,0.007793153416913514,14365
2013,EF finais,0.7069257405956455,0.21098281837638444,0.028441785949102318,0.007631823918029126,15517
2013,EF iniciais,0.7500715569055095,0.20922405860913296,0.00847038410505524,0.0013422170375999643,19640
2013,EM,0.5895791336523895,0.24140490798926914,0.07002424447376641,0.005980897830533421,14119
2014,EF finais,0.7087102352259291,0.21707139282864077,0.023624517473079004,0.007572043861774799,15846
2014,EF iniciais,0.7469242905551869,0.2190486983375088,0.007154279496681689,0.0007063760409444861,19565
2014,EM,0.6041436096145301,0.24213997467327233,0.06676767932981512,0.00598147222166844,14640
2015,EF finais,0.7902447281313771,0.15191864930188168,0.020193024315761258,0.006755679113493927,10104
2015,EF iniciais,0.8247091932551331,0.14712868846501242,0.005247778424929188,0.0007297230646677211,12872
2015,EM,0.6935237144109195,0.16260260287828118,0.10607023729396561,0.0010192813869161206,6665
2016,EF finais,0.7458481863458329,0.19077635465640655,0.01693884530934304,0.0075255754848032675,17209
2016,EF iniciais,0.788718247075504,0.18321634882485272,0.005137692178047445,0.0009740209952152407,20721
2016,EM,0.6840327513944867,0.21167623178006817,0.05665802396044447,0.004125729963025834,11301
2017,EF finais,0.7192475102707628,0.22420767111002954,0.01578936369746743,0.007367745374006374,16568
2017,EF iniciais,0.7724128522163041,0.2048386136937277,0.004138687281328633,0.00043235491225891704,20106
2017,EM,0.6783695368337567,0.22503893625215815,0.058289519715564175,0.00219428587746064,10582
2018,EF finais,0.7341049107464206,0.21459323815671894,0.015084605568412629,0.00830015420907179,16114
2018,EF iniciais,0.7877710080292979,0.18881357320329156,0.003755920924383386,0.0009617906740479843,19420
2018,EM,0.6800710387113982,0.221249335347442,0.059582580772207516,0.002443897250173335,10327
2019,EF finais,0.734455145357105,0.21328457937664458,0.011259976286871445,0.005881568519255088,13656
2019,EF iniciais,0.7736329490931172,0.20160486142860412,0.004254742561576719,0.0005529380251736135,16093
2019,EM,0.6757088640693486,0.23123817424941548,0.04577055506887329,0.0022575987340666187,8796
2020,EF finais,0.6790595732716118,0.29731248004012456,0.009182700698113899,0.0009932174841288603,8748
2020,EF iniciais,0.7216258488446509,0.2666586124257334,0.004304023971734137,2.7777873928024432e-05,10034
2020,EM,0.5865885769400155,0.3543479482012376,0.03400768831571167,0.0011897632685902869,5852
2021,EF finais,0.7321476153611278,0.23477059077538148,0.016264097628190956,0.0027634760320300092,12989
2021,EF iniciais,0.76378423842566,0.2231801846687342,0.0027878963992184905,0.0003326732166367613,14515
2021,EM,0.6700728381532777,0.25172460282661163,0.056768815911890286,0.0017150080403908665,8296
2022,EF finais,0.6460564702941366,0.332297451291212,0.008989060880074354,0.0021985791527556627,13051
2022,EF iniciais,0.6704898952768249,0.3188195784936083,0.0016070834395854239,0.00014287995717942356,15035
2022,EM,0.6058382038169294,0.34455450833335843,0.03742611644144451,0.000502292739600763,8436
2023,EF finais,0.696076730172226,0.2863967777176293,0.007197335270916767,0.002429008362949271,13544
2023,EF iniciais,0.7223003760030032,0.2675761701522624,0.0018981841349456077,0.00019597601456802145,15952
2023,EM,0.6264144995599626,0.3180493745978449,0.03849650207270274,0.00024032158109552567,8405
