ano_t,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_migracao_eja,n_pessoa
2012,EF finais,0.8107074048322817,0.1365614429749902,0.02574428749871704,0.007294789987793314,22923
2012,EF iniciais,0.8354008867499058,0.1385942007765611,0.010372891700381963,0.001423844115559414,33525
2012,EM,0.667535923197496,0.2020407156679853,0.06660919901574154,0.007249333242852184,20842
2013,EF finais,0.817267573653691,0.12591326540556866,0.02867641964232155,0.0060152612239210024,21875
2013,EF iniciais,0.844678093859244,0.13004209524246516,0.010877323806780234,0.0010226549595406097,30912
2013,EM,0.6691172536355957,0.18821732293810128,0.07491829052641195,0.007577375431154245,20224
2014,EF finais,0.814494607228163,0.13458706854750502,0.02560355823018842,0.006184067553474905,22140
2014,EF iniciais,0.8504350678245983,0.12910169881387462,0.008590710633889657,0.0009049021581954488,30321
2014,EM,0.6871421743084192,0.183618707374919,0.06868333148143053,0.005732950989481405,21107
2015,EF finais,0.8272891615452013,0.12153700480806064,0.02176812018057869,0.005816984788941595,16158
2015,EF iniciais,0.8567312757997024,0.12100954851690185,0.00579509934896658,0.0009907326722571176,21453
2015,EM,0.7055519744029719,0.15193209428325938,0.11964846461680795,0.0018966236013639747,11331
2016,EF finais,0.8408272287891089,0.12008644732820589,0.016627219183509134,0.008131624226055493,24110
2016,EF iniciais,0.8666861941352579,0.11702271356539737,0.005363342571344321,0.0009957485790772303,32116
2016,EM,0.7538134280382751,0.16746298858044742,0.05563682827095492,0.0027182422102823593,15762
2017,EF finais,0.8387100870097647,0.1269572193167164,0.01636274252180581,0.0061400425194108234,23433
2017,EF iniciais,0.8614306109494605,0.12448409017150434,0.004909502483003432,0.0008303801349132688,30483
2017,EM,0.7579105077105076,0.1587372762174638,0.05975765447137942,0.0028969903619490557,14971
2018,EF finais,0.8470735960127392,0.11866754252005657,0.015368315333852122,0.005607482332654656,22668
2018,EF iniciais,0.8700212956129505,0.11688659097322358,0.0034366914727801453,0.0008515841482468782,29561
2018,EM,0.7724012089861035,0.15389286790669857,0.05544490031665184,0.001690657592246269,14207
2019,EF finais,0.8158227708960037,0.14195651497794118,0.01637015986967803,0.006352784725483558,21338
2019,EF iniciais,0.8342145573006216,0.14743929213511234,0.004487389298074709,0.001024983797151549,27315
2019,EM,0.7539633069927641,0.15901764229622542,0.06355203696834569,0.0018074211006249505,13346
2020,EF finais,0.675188092659278,0.30781663023248484,0.008414344735963432,0.0009853719938897763,13560
2020,EF iniciais,0.7022750568490441,0.28703384437113594,0.006472786553248617,6.5329371144461e-05,15837
2020,EM,0.5755803059911404,0.3822942797796002,0.026979468951915917,0.0012557452071465137,9016
2021,EF finais,0.750966977676445,0.22801070222387107,0.011381749568843785,0.0017091001604860104,18842
2021,EF iniciais,0.7631436755148908,0.22763530903132365,0.002818113649853483,0.000292495750178593,21801
2021,EM,0.6543487326588483,0.29080868270668225,0.043484322597007644,0.0008973369547961702,12212
2022,EF finais,0.6612017730833489,0.3246742592010114,0.007887233928673814,0.0012328641420644893,18900
2022,EF iniciais,0.6798491073033872,0.3141157487706479,0.0008387838103361051,0.00040616224009493916,22375
2022,EM,0.5708302764857528,0.3926259640055617,0.029011089721409096,0.0005951516436227029,12357
2023,EF finais,0.6898733459430205,0.3011212853780515,0.00424447224619599,0.001394246537592415,19094
2023,EF iniciais,0.7100106998216995,0.2840310350165892,0.0014738115458752007,0.0001615783064220367,23106
2023,EM,0.5954891831150265,0.3684919280542155,0.028150092009163998,0.0005647874632682238,12270
