ano_cal,macroetapa,flag_abandono,n_pessoa
2012,EF iniciais,.014153177,53442
2012,EF finais,.032922074,39211
2012,EM,.11751501,25517
2012,EJA EF,.3143872,1206
2012,EJA EM,.368545,773
2012,,.03444235,8002
2013,EF iniciais,.01248167,46826
2013,EF finais,.031904366,36435
2013,EM,.11576208,23790
2013,EJA EF,.29710975,1070
2013,EJA EM,.37873688,755
2013,,.034863725,7568
2014,EF iniciais,.010622932,44576
2014,EF finais,.029568341,34715
2014,EM,.11426223,23443
2014,EJA EF,.30610615,927
2014,EJA EM,.39181748,676
2014,,.026847778,7163
2015,EF iniciais,.0076551344,45114
2015,EF finais,.023913054,35935
2015,EM,.10580861,23955
2015,EJA EF,.30766511,891
2015,EJA EM,.46378914,690
2015,,.033524312,7000
2016,EF iniciais,.0049612867,47013
2016,EF finais,.020567281,38136
2016,EM,.091709368,25826
2016,EJA EF,.28144127,1089
2016,EJA EM,.4062528,992
2016,,.027433427,8059
2017,EF iniciais,.0053978185,45882
2017,EF finais,.020100595,38013
2017,EM,.10584721,25178
2017,EJA EF,.27534601,1135
2017,EJA EM,.40588155,1059
2017,,.014777816,7829
2018,EF iniciais,.004293968,44711
2018,EF finais,.017644022,36462
2018,EM,.09657371,23593
2018,EJA EF,.23621732,954
2018,EJA EM,.39761856,1030
2018,,.013409199,7431
2019,EF iniciais,.0050498066,43417
2019,EF finais,.016703529,35725
2019,EM,.098147817,23399
2019,EJA EF,.30465126,833
2019,EJA EM,.4644801,922
2019,,.017035117,7415
2020,EF iniciais,.005588782,29862
2020,EF finais,.0064175264,25363
2020,EM,.026907351,16860
2020,EJA EF,.074584343,469
2020,EJA EM,.15688717,526
2020,,.10431606,5320
2021,EF iniciais,.0035730596,29161
2021,EF finais,.0064697815,26494
2021,EM,.060888737,17733
2021,EJA EF,.1040168,457
2021,EJA EM,.15139374,464
2021,,.070992507,6311
2022,EF iniciais,.0016371112,34619
2022,EF finais,.0084854532,30532
2022,EM,.065745749,20628
2022,EJA EF,.22890913,434
2022,EJA EM,.24285662,554
2022,,.0072706896,7547
2023,EF iniciais,.0014886931,34594
2023,EF finais,.0056928564,29826
2023,EM,.05816694,20059
2023,EJA EF,.13263907,374
2023,EJA EM,.25246054,506
2023,,.002020536,8276
2024,EF iniciais,.0027401322,36119
2024,EF finais,.0099019241,30205
2024,EM,.099285997,20744
2024,EJA EF,.24869622,402
2024,EJA EM,.34092355,499
2024,,.0091845253,8807
