ano_cal,etapa_consolid_first,serie_first,flag_abandono,n_pessoa
2012,4,1,.014730816,9188
2012,4,2,.010317946,10210
2012,4,3,.011253024,10956
2012,4,4,.013499271,11159
2012,4,5,.020419728,11929
2012,5,6,.026090864,12245
2012,5,7,.029560477,11116
2012,5,8,.041716762,9661
2012,5,9,.038404495,6189
2012,10,1,.075536497,10291
2012,11,2,.088374563,7976
2012,12,3,.2037517,7250
2012,20,1,.22314975,51
2012,20,2,.53146297,53
2012,20,3,.30803531,43
2012,20,4,.23156458,46
2012,20,5,.36894146,82
2012,20,6,.2293108,125
2012,20,7,.27791399,133
2012,20,8,.33839679,178
2012,20,,.31488076,495
2012,21,1,.39087528,127
2012,21,2,.32878751,144
2012,21,3,.44576117,133
2012,21,,.34943566,369
2012,30,,.03444235,8002
2013,4,1,.012576904,8085
2013,4,2,.009046033,9002
2013,4,3,.010299338,9526
2013,4,4,.011314001,9939
2013,4,5,.018816808,10274
2013,5,6,.022508018,11006
2013,5,7,.027715122,10152
2013,5,8,.042096097,8916
2013,5,9,.040343311,6361
2013,10,1,.071392946,9522
2013,11,2,.089657359,7518
2013,12,3,.20574935,6750
2013,20,1,.13951904,22
2013,20,2,.28730321,22
2013,20,3,.31428337,36
2013,20,4,.26838407,47
2013,20,5,.30862078,60
2013,20,6,.33352301,99
2013,20,7,.34551388,118
2013,20,8,.2852878,198
2013,20,,.29043996,468
2013,21,1,.35493726,123
2013,21,2,.34567294,140
2013,21,3,.45710382,97
2013,21,,.38170978,395
2013,30,,.034863725,7568
2014,4,1,.011851867,7905
2014,4,2,.0070668869,8795
2014,4,3,.008154544,8940
2014,4,4,.010455271,9302
2014,4,5,.015383739,9634
2014,5,6,.022138022,9929
2014,5,7,.025282796,9525
2014,5,8,.039903909,8620
2014,5,9,.032963462,6641
2014,10,1,.070058815,9262
2014,11,2,.085425556,7429
2014,12,3,.20340471,6752
2014,20,1,.31340331,29
2014,20,2,.31544411,36
2014,20,3,.2529414,34
2014,20,4,.28287277,46
2014,20,5,.2857835,35
2014,20,6,.24486907,98
2014,20,7,.3546423,111
2014,20,8,.36652505,165
2014,20,,.2861791,373
2014,21,1,.38187927,119
2014,21,2,.35481369,113
2014,21,3,.35963818,101
2014,21,,.42219704,343
2014,30,,.026847778,7163
2015,4,1,.0084023001,8167
2015,4,2,.0057977387,8623
2015,4,3,.0068187565,9379
2015,4,4,.0061321058,9385
2015,4,5,.011050621,9560
2015,5,6,.018895237,10264
2015,5,7,.021672716,9576
2015,5,8,.02864855,8405
2015,5,9,.028154286,7690
2015,10,1,.065661967,9235
2015,11,2,.075514406,7660
2015,12,3,.18952227,7060
2015,20,1,.10584458,26
2015,20,2,.44999892,26
2015,20,3,.31367275,28
2015,20,4,.48329842,29
2015,20,5,.4748677,47
2015,20,6,.20210987,92
2015,20,7,.34020773,108
2015,20,8,.1795242,175
2015,20,,.36289921,360
2015,21,1,.40799752,118
2015,21,2,.34945089,110
2015,21,3,.53653163,127
2015,21,,.48861504,335
2015,30,,.033524312,7000
2016,4,1,.0055735256,8499
2016,4,2,.0028919156,8930
2016,4,3,.0041084043,9605
2016,4,4,.0048276009,9892
2016,4,5,.0073171011,10087
2016,5,6,.013776784,10947
2016,5,7,.018323926,9988
2016,5,8,.027192816,8824
2016,5,9,.025138866,8377
2016,10,1,.059337653,10016
2016,11,2,.060596101,8010
2016,12,3,.16498245,7800
2016,20,1,.10414042,23
2016,20,2,.34452099,26
2016,20,3,.30312189,25
2016,20,4,.2442334,45
2016,20,5,.30389702,92
2016,20,6,.29701573,148
2016,20,7,.18170653,179
2016,20,8,.28250873,332
2016,20,13,.35970986,219
2016,21,1,.34991467,219
2016,21,2,.34983727,230
2016,21,3,.53328401,256
2016,21,13,.39073455,287
2016,30,,.027433427,8059
2017,4,1,.00667491,8254
2017,4,2,.0043749358,8512
2017,4,3,.0035045047,9437
2017,4,4,.0046347575,9806
2017,4,5,.0078450833,9873
2017,5,6,.016996367,10790
2017,5,7,.018218938,9981
2017,5,8,.021904243,8911
2017,5,9,.024483057,8331
2017,10,1,.060164314,9839
2017,11,2,.072889313,7816
2017,12,3,.19629516,7523
2017,20,1,.096495226,27
2017,20,2,.28227675,15
2017,20,3,.19488002,24
2017,20,4,.15310876,31
2017,20,5,.27020136,67
2017,20,6,.333168,147
2017,20,7,.30771151,190
2017,20,8,.25863406,431
2017,20,13,.30149451,203
2017,21,1,.43657783,254
2017,21,2,.3238388,235
2017,21,3,.49054822,289
2017,21,13,.34760121,281
2017,30,,.014777816,7829
2018,4,1,.0044675851,8178
2018,4,2,.0020027219,8381
2018,4,3,.0043583168,9052
2018,4,4,.0050590676,9506
2018,4,5,.00545415,9594
2018,5,6,.013767658,10248
2018,5,7,.016420987,9433
2018,5,8,.018499663,8500
2018,5,9,.022879079,8281
2018,10,1,.054684278,9043
2018,11,2,.061519101,7472
2018,12,3,.18544932,7078
2018,20,1,.16684401,19
2018,20,2,.21329492,16
2018,20,3,.19896826,9
2018,20,4,.12956785,21
2018,20,5,.23227857,50
2018,20,6,.28626436,136
2018,20,7,.21158364,153
2018,20,8,.24584334,320
2018,20,13,.22724256,230
2018,21,1,.38844597,214
2018,21,2,.33992416,242
2018,21,3,.47010586,322
2018,21,13,.36178643,252
2018,30,,.013409199,7431
2019,4,1,.007700318,7846
2019,4,2,.003618659,8146
2019,4,3,.0029103556,9099
2019,4,4,.0051267855,9047
2019,4,5,.0060104784,9279
2019,5,6,.011828162,9899
2019,5,7,.014138028,9247
2019,5,8,.020105723,8356
2019,5,9,.022024253,8223
2019,10,1,.061675057,9027
2019,11,2,.05743777,7426
2019,12,3,.18693627,6946
2019,20,1,.3651996,23
2019,20,2,.019655775,15
2019,20,3,.46650016,9
2019,20,4,.28412285,21
2019,20,5,.26285085,38
2019,20,6,.35639054,122
2019,20,7,.21123891,139
2019,20,8,.36637703,305
2019,20,13,.25020489,161
2019,21,1,.47875968,219
2019,21,2,.34761679,224
2019,21,3,.54949802,272
2019,21,13,.450331,207
2019,30,,.017035117,7415
2020,4,1,.015706154,5520
2020,4,2,.0027220682,5605
2020,4,3,.0034544936,6130
2020,4,4,.0048532397,6240
2020,4,5,.0019366127,6367
2020,5,6,.0056147585,6850
2020,5,7,.0059546963,6745
2020,5,8,.0059180865,5892
2020,5,9,.0083751446,5876
2020,10,1,.013666728,6463
2020,11,2,.014507673,5395
2020,12,3,.057391014,5002
2020,20,1,.008250813,22
2020,20,2,.08985053,8
2020,20,3,.056214307,11
2020,20,4,0,15
2020,20,5,.046390556,29
2020,20,6,.073938534,58
2020,20,7,.087475963,81
2020,20,8,.08209987,175
2020,20,13,.092161432,70
2020,21,1,.16462439,143
2020,21,2,.1033031,144
2020,21,3,.14463156,149
2020,21,13,.27578133,90
2020,30,,.10431606,5320
2021,4,1,.0058389027,5308
2021,4,2,.0040759225,5490
2021,4,3,.0010903165,5689
2021,4,4,.0046862955,6312
2021,4,5,.0023488887,6362
2021,5,6,.0025525279,6768
2021,5,7,.0046612872,6825
2021,5,8,.0077889408,6421
2021,5,9,.011242463,6480
2021,10,1,.019131264,6382
2021,11,2,.025174001,5803
2021,12,3,.1440322,5548
2021,20,1,.23909362,8
2021,20,2,0,19
2021,20,3,.69546163,7
2021,20,4,.24679495,14
2021,20,5,.016937459,21
