quintil_renda,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_naoprog,n_pessoa,grupo
Q1 (mais pobre),EF iniciais,.59821224,.3943443,.0058159358,.40120453,35862,renda Q1
Q2,EF iniciais,.62207937,.37280321,.004404732,.37771136,31806,renda Q2
Q3,EF iniciais,.65504164,.34128392,.0032549191,.34489924,24811,renda Q3
Q4,EF iniciais,.65081823,.34560764,.00342436,.34908456,22285,renda Q4
Q5 (mais rico),EF iniciais,.69419193,.30412325,.0013760227,.30551669,21463,renda Q5
Q1 (mais pobre),EF finais,.58286619,.37682903,.019761492,.40353394,30634,renda Q1
Q2,EF finais,.58653718,.38269529,.014790798,.40340054,25943,renda Q2
Q3,EF finais,.61090565,.36598951,.012994271,.38206992,21101,renda Q3
Q4,EF finais,.63228834,.34998468,.0079560205,.3601301,19281,renda Q4
Q5 (mais rico),EF finais,.6571961,.33016226,.0036051648,.33556473,17684,renda Q5
Q1 (mais pobre),EM,.40098697,.35802636,.18892914,.55503082,17054,renda Q1
Q2,EM,.41298339,.34475872,.19444506,.54793137,15082,renda Q2
Q3,EM,.41440618,.32780927,.20460376,.54040724,13842,renda Q3
Q4,EM,.39977413,.33588734,.19991332,.54185969,14217,renda Q4
Q5 (mais rico),EM,.43402645,.31296879,.16928086,.48693287,13686,renda Q5
