raca,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_naoprog,n_pessoa
Branca,EF iniciais,.66313529,.33383736,.0025292262,.33669454,48658
Preta,EF iniciais,.60519087,.39017203,.0039956826,.39420959,9317
Amarela,EF iniciais,.63139045,.35846028,.0058611217,.36432141,542
Parda,EF iniciais,.63307786,.36161304,.0045589046,.36669633,76900
Indigena,EF iniciais,.63463247,.36268264,.0022597064,.36536753,783
Branca,EF finais,.639157,.34202027,.0081654908,.35288519,39673
Preta,EF finais,.59558553,.37116832,.016554356,.39520186,8564
Amarela,EF finais,.67531306,.31506088,0,.31710345,502
Parda,EF finais,.59581536,.37523198,.014190054,.39400029,65314
Indigena,EF finais,.53353775,.42792782,.030093385,.46282288,564
Branca,EM,.4244422,.32406902,.18345219,.51253933,26850
Preta,EM,.37183577,.37993783,.19765614,.58627605,6049
Amarela,EM,.42222747,.35321242,.16473758,.51795,336
Parda,EM,.41033125,.33555049,.19670494,.54064858,40289
Indigena,EM,.42600554,.36841986,.16390294,.54129052,339
