raca,macroetapa,flag_abandono,n_pessoa
Branca,EF iniciais,.0028265936,76924
Preta,EF iniciais,.0043306183,14212
Amarela,EF iniciais,.002305072,827
Parda,EF iniciais,.0041270899,123202
Indigena,EF iniciais,.005847109,1162
Branca,EF finais,.0068903887,63597
Preta,EF finais,.01419945,13312
Amarela,EF finais,.0027079736,767
Parda,EF finais,.011817267,105810
Indigena,EF finais,.016873593,890
Branca,EM,.058827043,43907
Preta,EM,.084540561,9634
Amarela,EM,.080885544,539
Parda,EM,.070596404,67623
Indigena,EM,.11543494,545
Branca,EJA EF,.17046086,842
Preta,EJA EF,.21394768,363
Amarela,EJA EF,.082006633,13
Parda,EJA EF,.19799577,2271
Indigena,EJA EF,.14928371,32
Branca,EJA EM,.30502677,1169
Preta,EJA EM,.26947111,445
Amarela,EJA EM,.19056034,15
Parda,EJA EM,.29356271,2339
Indigena,EJA EM,.39528161,34
Branca,,.034629095,16239
Preta,,.029128699,2638
Amarela,,.051427886,158
Parda,,.037514433,23045
Indigena,,.031818274,216
