regiao,macroetapa,flag_promocao,flag_repetencia,flag_evasao,flag_naoprog,n_pessoa
Norte,EF iniciais,.59381956,.40026063,.0044086738,.40575817,22559
Nordeste,EF iniciais,.60340762,.3896375,.0059316717,.39631337,50153
Sudeste,EF iniciais,.67533666,.32153773,.0028089345,.32448259,31387
Sul,EF iniciais,.65865266,.33962134,.0012902913,.3410241,19522
Centro-Oeste,EF iniciais,.668899,.32784751,.0030060576,.33095109,12606
Norte,EF finais,.56384426,.40046912,.016656544,.42321646,18492
Nordeste,EF finais,.57974833,.38432202,.01765584,.40830398,42619
Sudeste,EF finais,.6432907,.33905742,.0085837906,.34983331,26250
Sul,EF finais,.61836797,.3613705,.008900471,.37368873,16462
Centro-Oeste,EF finais,.64200592,.33986664,.0072210534,.35040116,10820
Norte,EM,.39351189,.36073235,.18389907,.55387104,11592
Nordeste,EM,.39762002,.35060072,.1963767,.55545777,26406
Sudeste,EM,.4196173,.31944588,.20263405,.52833706,18024
Sul,EM,.41889,.34236446,.1660787,.51296079,10809
Centro-Oeste,EM,.44483647,.31508321,.16509491,.48719239,7050
