regiao,macroetapa,flag_abandono,n_pessoa
Norte,EF iniciais,.005458009,36261
Nordeste,EF iniciais,.0049226698,79470
Sudeste,EF iniciais,.0028300236,49319
Sul,EF iniciais,.0019069788,30882
Centro-Oeste,EF iniciais,.0030284296,20432
Norte,EF finais,.012439141,29800
Nordeste,EF finais,.014882296,68699
Sudeste,EF finais,.0065864446,42062
Sul,EF finais,.0082376515,26533
Centro-Oeste,EF finais,.0088775856,17308
Norte,EM,.074306354,19304
Nordeste,EM,.075885594,43795
Sudeste,EM,.061718449,29547
Sul,EM,.061357096,17787
Centro-Oeste,EM,.065335013,11839
Norte,EJA EF,.16953863,819
Nordeste,EJA EF,.17650494,1558
Sudeste,EJA EF,.23210025,505
Sul,EJA EF,.1964767,400
Centro-Oeste,EJA EF,.18345144,239
Norte,EJA EM,.2609275,825
Nordeste,EJA EM,.22077598,1281
Sudeste,EJA EM,.34274495,928
Sul,EJA EM,.34623754,583
Centro-Oeste,EJA EM,.30639318,385
Norte,,.044848602,6422
Nordeste,,.030510304,15348
Sudeste,,.037375513,9701
Sul,,.037496537,6706
Centro-Oeste,,.033348609,4123
