ano_t,macroetapa,flag_abandono,flag_eja_intra,n
2012,EF finais,0.039847561873722945,0.010259986185391546,9302
2013,EF finais,0.034201319345664734,0.006709431567167733,8677
2014,EF finais,0.035906076384497394,0.006506567937123508,8855
2015,EF finais,0.027171782027013872,0.0,9011
2016,EF finais,0.024537085465535548,0.01259868008824494,10259
2017,EF finais,0.024299586618514446,0.008092515229497329,10180
2018,EF finais,0.02055834699693561,0.008593428952123233,9562
2019,EF finais,0.021955440156156875,0.00779216896893066,9407
2020,EF finais,0.005760526178092542,0.0022040228498999754,6195
2021,EF finais,0.007973080826935475,0.000883296466102999,4399
2022,EF finais,0.008840054298140432,0.0022317147065686717,7860
2023,EF finais,0.00504603264949167,0.002504063411271711,7465
2024,EF finais,0.014692973914814798,0.006336199495467014,7704
2012,EF iniciais,0.01730770915299038,0.0008903421114037718,12521
2013,EF iniciais,0.013638334971860603,0.0008370832036332404,10703
2014,EF iniciais,0.009296007085470254,0.0006127228836912697,10890
2015,EF iniciais,0.005911238218007833,0.0,11084
2016,EF iniciais,0.004788112608100524,0.0007452094555689813,12121
2017,EF iniciais,0.0059049950624428475,0.0009874952610140423,11964
2018,EF iniciais,0.006706474271544215,0.0006050422683597118,11510
2019,EF iniciais,0.005223754190741079,0.0006280994893541763,11023
2020,EF iniciais,0.005764070974227941,0.00018272847343281832,7148
2021,EF iniciais,0.0034192335607811574,0.0005284347023039255,4601
2022,EF iniciais,0.002377648729389803,0.0003799840196513456,8549
2023,EF iniciais,0.0015482975233841283,0.00020194247582840542,8457
2024,EF iniciais,0.0037494352960382197,0.00029077957892537586,8975
2012,EM,0.07851849975197464,0.009787837170193294,6161
2013,EM,0.06795323060265501,0.007944599232160211,5766
2014,EM,0.0590467618326602,0.006048882720731419,6170
2015,EM,0.062120525789301904,0.0,6055
2016,EM,0.05388509447076063,0.011999773917994533,6976
2017,EM,0.06658782179049749,0.015392912535474002,6927
2018,EM,0.05684300425133361,0.014854500839752776,6304
2019,EM,0.05826985372077332,0.016092441373057348,6182
2020,EM,0.016587527078057315,0.006726933791347785,4194
2021,EM,0.022764452828428868,0.00397487619390607,3084
2022,EM,0.03807201970928541,0.0037919091533987165,5160
2023,EM,0.025355273178251855,0.005429667850903481,5164
2024,EM,0.05169627100921283,0.008847989744199796,5254
