ano_t,macroetapa,flag_abandono_raw,flag_abandono,flag_eja_intra,pct_concluinte_term,n
2012,EF finais,0.04054866710288285,0.039847561873722945,0.010259986185391546,0.0009073596823895335,9302
2013,EF finais,0.03442735362395368,0.034201319345664734,0.006709431567167733,0.0006100913540418587,8677
2014,EF finais,0.03710296543494704,0.035906076384497394,0.006506567937123508,0.0013928389214890367,8855
2015,EF finais,0.027171782027013872,0.027171782027013872,0.0,5.194348883080062e-05,9011
2016,EF finais,0.02559878894920124,0.024537085465535548,0.01259868008824494,0.0011695801352961483,10259
2017,EF finais,0.02481592853337272,0.024299586618514446,0.008092515229497329,0.0005163419148582734,10180
2018,EF finais,0.02097523866565611,0.02055834699693561,0.008593428952123233,0.0005407797632060688,9562
2019,EF finais,0.022184574371503164,0.021955440156156875,0.00779216896893066,0.0002291342153462915,9407
2020,EF finais,0.005760526178092542,0.005760526178092542,0.0022040228498999754,0.0,6195
2021,EF finais,0.007973080826935475,0.007973080826935475,0.000883296466102999,0.0,4399
2022,EF finais,0.008840054298140432,0.008840054298140432,0.0022317147065686717,0.0,7860
2023,EF finais,0.00504603264949167,0.00504603264949167,0.002504063411271711,0.0,7465
2024,EF finais,0.014692973914814798,0.014692973914814798,0.006336199495467014,0.0,7704
2012,EF iniciais,0.017448524189733815,0.01730770915299038,0.0008903421114037718,0.0001408150367434362,12521
2013,EF iniciais,0.013717915553273178,0.013638334971860603,0.0008370832036332404,7.958058141257467e-05,10703
2014,EF iniciais,0.009356258876961853,0.009296007085470254,0.0006127228836912697,0.00012330097002331676,10890
2015,EF iniciais,0.006136692067574164,0.005911238218007833,0.0,0.000225453849566331,11084
2016,EF iniciais,0.004812028297435859,0.004788112608100524,0.0007452094555689813,2.3915689335335325e-05,12121
2017,EF iniciais,0.0059049950624428475,0.0059049950624428475,0.0009874952610140423,0.0,11964
2018,EF iniciais,0.006813072400335589,0.006706474271544215,0.0006050422683597118,0.00010659812879137428,11510
2019,EF iniciais,0.005274042291133649,0.005223754190741079,0.0006280994893541763,5.028810039256974e-05,11023
2020,EF iniciais,0.0065438245845682065,0.005764070974227941,0.00018272847343281832,0.000779753610340266,7148
2021,EF iniciais,0.0034192335607811574,0.0034192335607811574,0.0005284347023039255,0.0,4601
2022,EF iniciais,0.002377648729389803,0.002377648729389803,0.0003799840196513456,0.0,8549
2023,EF iniciais,0.0015482975233841283,0.0015482975233841283,0.00020194247582840542,0.0,8457
2024,EF iniciais,0.004045198113617458,0.0037494352960382197,0.00029077957892537586,0.0002957628175792384,8975
2012,EM,0.1517268391201524,0.07851849975197464,0.009787837170193294,0.08810918217315974,6161
2013,EM,0.13493221817065856,0.06795323060265501,0.007944599232160211,0.08092199111519759,5766
2014,EM,0.12827306658737567,0.0590467618326602,0.006048882720731419,0.09080444907999395,6170
2015,EM,0.12850165780044723,0.062120525789301904,0.0,0.07915778484433443,6055
2016,EM,0.11284391823738134,0.05388509447076063,0.011999773917994533,0.0745383273577202,6976
2017,EM,0.14130571361415373,0.06658782179049749,0.015392912535474002,0.08375657335498535,6927
2018,EM,0.13008346640779042,0.05684300425133361,0.014854500839752776,0.08053230106787503,6304
2019,EM,0.1277984708815529,0.05826985372077332,0.016092441373057348,0.07750109164797012,6182
2020,EM,0.03222627542345506,0.016587527078057315,0.006726933791347785,0.016197139654957587,4194
2021,EM,0.08670144333056688,0.022764452828428868,0.00397487619390607,0.06851636121432148,3084
2022,EM,0.09075477479321792,0.03807201970928541,0.0037919091533987165,0.05453610452302368,5160
2023,EM,0.07704992703814013,0.025355273178251855,0.005429667850903481,0.05382344571953422,5164
2024,EM,0.13719076728539403,0.05169627100921283,0.008847989744199796,0.08919792965270618,5254
