ano_t,idade_bin,taxa_entrada,n
2012,11-14 anos,0.5911678690695245,370
2012,15-17 anos,0.31494563277356047,1509
2012,18-24 anos,0.10138699647603529,14920
2012,4-6 anos,0.37327014991982904,7886
2012,7-10 anos,0.7620504059881138,419
2013,11-14 anos,0.6257656471298669,397
2013,15-17 anos,0.3119575072867347,1381
2013,18-24 anos,0.10010388221525728,14140
2013,4-6 anos,0.4022721400006457,7677
2013,7-10 anos,0.7817953140041056,460
2014,11-14 anos,0.6144194380500821,312
2014,15-17 anos,0.3141401250001422,1375
2014,18-24 anos,0.10142313035947473,14411
2014,4-6 anos,0.3740909719481417,7528
2014,7-10 anos,0.7170818835645956,333
2015,11-14 anos,0.9804499980711538,6307
2015,15-17 anos,0.7182933454119511,5901
2015,18-24 anos,0.06779895819287401,19531
2015,4-6 anos,0.4424453043832613,9133
2015,7-10 anos,0.9883907346539371,6099
2016,11-14 anos,0.3981184289923207,164
2016,15-17 anos,0.2099067873412298,1376
2016,18-24 anos,0.027686436871807166,21932
2016,4-6 anos,0.36643679208685004,7999
2016,7-10 anos,0.7012540476045503,121
2017,11-14 anos,0.45383458779469577,160
2017,15-17 anos,0.23091408732058122,1303
2017,18-24 anos,0.023230633947907788,21384
2017,4-6 anos,0.36836544433005136,7862
2017,7-10 anos,0.6439322418498102,134
2018,11-14 anos,0.36506015760023564,129
2018,15-17 anos,0.1982992092013921,1155
2018,18-24 anos,0.02359078663122218,20862
2018,4-6 anos,0.35597036229700707,7644
2018,7-10 anos,0.7259641958753137,131
2019,11-14 anos,0.3837504244067169,100
2019,15-17 anos,0.22008232089832,861
2019,18-24 anos,0.017748182607070617,17644
2019,4-6 anos,0.3325149663988228,6779
2019,7-10 anos,0.5483136037497452,107
2020,11-14 anos,0.5116241787197148,76
2020,15-17 anos,0.17455115023394394,485
2020,18-24 anos,0.009722607960693129,11188
2020,4-6 anos,0.2634900541547534,4166
2020,7-10 anos,0.6183456206846899,145
2021,11-14 anos,0.520002644017428,133
2021,15-17 anos,0.25700750749688217,712
2021,18-24 anos,0.013562704649677584,16026
2021,4-6 anos,0.2848658367533823,6375
2021,7-10 anos,0.6993864846415185,256
2022,11-14 anos,0.3864720199211008,102
2022,15-17 anos,0.13989720878050085,720
2022,18-24 anos,0.009899722243947464,16823
2022,4-6 anos,0.21904334444078005,6892
2022,7-10 anos,0.5305083972097834,278
2023,11-14 anos,0.46191420055010146,123
2023,15-17 anos,0.1679313557216552,710
2023,18-24 anos,0.008475098771911778,16911
2023,4-6 anos,0.21848041806013582,7495
2023,7-10 anos,0.5572101539004665,302
