ano,curso,serie,idade_avg,idade_med,n
2017,EF iniciais,01,6.354577221523693,6.0,7981
2017,EF iniciais,02,7.357576411944566,7.0,8274
2017,EF iniciais,03,8.39725344336323,8.0,9205
2017,EF iniciais,04,9.522117073054691,9.0,9471
2017,EF iniciais,05,10.660199223188725,10.0,9624
2017,EF finais,06,11.835648469298267,11.0,10471
2017,EF finais,07,12.76408476987816,12.0,9797
2017,EF finais,08,13.798989132199676,13.0,8705
2017,EF finais,09,14.563358377501995,14.0,8296
2017,EM,01,15.9093860580397,15.0,9702
2017,EM,02,16.943306653063658,16.0,7649
2017,EM,03,18.13969702145448,17.0,7708
2018,EF iniciais,01,6.309558340556579,6.0,7808
2018,EF iniciais,02,7.283283615937969,7.0,7928
2018,EF iniciais,03,8.358143248680959,8.0,8628
2018,EF iniciais,04,9.551253126234386,9.0,9158
2018,EF iniciais,05,10.539329409057462,10.0,9242
2018,EF finais,06,11.714082306747828,11.0,9925
2018,EF finais,07,12.776653093364851,12.0,9301
2018,EF finais,08,13.738965528028801,13.0,8091
2018,EF finais,09,14.592784270023284,14.0,8168
2018,EM,01,15.897288707351029,15.0,8792
2018,EM,02,16.847468154485036,16.0,7220
2018,EM,03,18.05745026335239,17.0,7084
2019,EF iniciais,01,6.360446269579353,6.0,7490
2019,EF iniciais,02,7.239243162091113,7.0,7685
2019,EF iniciais,03,8.340106354063524,8.0,8700
2019,EF iniciais,04,9.54120994785954,9.0,8767
2019,EF iniciais,05,10.52509548791794,10.0,8868
2019,EF finais,06,11.722048647983867,11.0,9646
2019,EF finais,07,12.738785861517334,12.0,8997
2019,EF finais,08,13.760557426631468,13.0,8150
2019,EF finais,09,14.582578028424946,14.0,8025
2019,EM,01,15.89354478305142,15.0,8733
2019,EM,02,16.820768328035538,16.0,7091
2019,EM,03,17.999681231409067,17.0,7058
2020,EF iniciais,01,6.43325745579967,6.0,4855
2020,EF iniciais,02,7.32004598736105,7.0,4897
2020,EF iniciais,03,8.371022399295631,8.0,5386
2020,EF iniciais,04,9.647543139373278,9.0,5478
2020,EF iniciais,05,10.544567052258012,10.0,5479
2020,EF finais,06,11.64747707953596,11.0,6062
2020,EF finais,07,12.748995416842721,12.0,6024
2020,EF finais,08,13.808366795795148,13.0,5235
2020,EF finais,09,14.519157725160557,14.0,5297
2020,EM,01,15.946963833283537,15.0,5801
2020,EM,02,16.81848194444794,16.0,4949
2020,EM,03,18.300529159683116,17.0,4681
2021,EF iniciais,01,6.799048004892733,6.0,4289
2021,EF iniciais,02,7.666323551650226,7.0,4486
2021,EF iniciais,03,8.67896288145377,8.0,4823
2021,EF iniciais,04,9.993829291542163,9.0,5223
2021,EF iniciais,05,11.046789088967499,10.0,5318
2021,EF finais,06,11.861390278893584,11.0,5631
2021,EF finais,07,12.866718741354731,12.0,5610
2021,EF finais,08,14.259685602929766,13.0,5478
2021,EF finais,09,14.715147822334892,14.0,5347
2021,EM,01,16.12503757344158,15.0,5487
2021,EM,02,16.992286915831215,16.0,5021
2021,EM,03,19.233605856911847,17.0,5053
2022,EF iniciais,01,6.686016996523908,6.0,6080
2022,EF iniciais,02,7.4088504660198655,7.0,6281
2022,EF iniciais,03,8.481513556017509,8.0,6391
2022,EF iniciais,04,9.786031643977722,9.0,6725
2022,EF iniciais,05,10.65994022381341,10.0,7039
2022,EF finais,06,11.605250242136417,11.0,7455
2022,EF finais,07,12.679254289052254,12.0,7205
2022,EF finais,08,13.77765889785789,13.0,7293
2022,EF finais,09,14.621600971546131,14.0,7336
2022,EM,01,15.899307232076623,15.0,7439
2022,EM,02,16.777832586318716,16.0,6345
2022,EM,03,18.60931878519618,17.0,6375
2023,EF iniciais,01,6.5816476337897125,6.0,5454
2023,EF iniciais,02,7.424529158195162,7.0,6520
2023,EF iniciais,03,8.41633359254141,8.0,6458
2023,EF iniciais,04,9.55004017855801,9.0,6471
2023,EF iniciais,05,10.45515876782486,10.0,6722
2023,EF finais,06,11.5333006758731,11.0,7247
2023,EF finais,07,12.587833508633619,12.0,6925
2023,EF finais,08,13.6469842589962,13.0,6762
2023,EF finais,09,14.67082668243949,14.0,7044
2023,EM,01,15.793359977558463,15.0,7113
2023,EM,02,16.70431086026482,16.0,6163
2023,EM,03,18.332149322516752,17.0,5781
2024,EF iniciais,01,6.56222179323978,6.0,5947
2024,EF iniciais,02,7.4584274962545285,7.0,6461
2024,EF iniciais,03,8.431802060231398,8.0,6908
2024,EF iniciais,04,9.467023168831782,9.0,6876
2024,EF iniciais,05,10.424776391565501,10.0,6669
2024,EF finais,06,11.494973282849768,11.0,7165
2024,EF finais,07,12.477222337352552,12.0,7165
2024,EF finais,08,13.488497527469722,13.0,6707
2024,EF finais,09,14.506820802656481,14.0,6822
2024,EM,01,15.629209682581521,15.0,7086
2024,EM,02,16.576133273330843,16.0,6185
2024,EM,03,17.816314021374467,17.0,5771
