ano_t,etapa,valor,unidade,indicador
2012,EF_AI,1.4,Brasil,abandono
2012,EF_AF,4.1,Brasil,abandono
2012,EM,9.1,Brasil,abandono
2013,EF_AI,1.2,Brasil,abandono
2013,EF_AF,3.6,Brasil,abandono
2013,EM,8.1,Brasil,abandono
2014,EF_AI,1.1,Brasil,abandono
2014,EF_AF,3.5,Brasil,abandono
2014,EM,7.6,Brasil,abandono
2015,EF_AI,1.0,Brasil,abandono
2015,EF_AF,3.2,Brasil,abandono
2015,EM,6.8,Brasil,abandono
2016,EF_AI,0.9,Brasil,abandono
2016,EF_AF,3.0,Brasil,abandono
2016,EM,6.6,Brasil,abandono
2017,EF_AI,0.8,Brasil,abandono
2017,EF_AF,2.8,Brasil,abandono
2017,EM,6.1,Brasil,abandono
2018,EF_AI,0.7,Brasil,abandono
2018,EF_AF,2.4,Brasil,abandono
2018,EM,6.1,Brasil,abandono
2019,EF_AI,0.6,Brasil,abandono
2019,EF_AF,1.9,Brasil,abandono
2019,EM,4.8,Brasil,abandono
2020,EF_AI,0.9,Brasil,abandono
2020,EF_AF,1.1,Brasil,abandono
2020,EM,2.3,Brasil,abandono
2021,EF_AI,0.8,Brasil,abandono
2021,EF_AF,1.8,Brasil,abandono
2021,EM,5.0,Brasil,abandono
2022,EF_AI,0.5,Brasil,abandono
2022,EF_AF,1.9,Brasil,abandono
2022,EM,5.7,Brasil,abandono
2023,EF_AI,0.3,Brasil,abandono
2023,EF_AF,1.2,Brasil,abandono
2023,EM,3.4,Brasil,abandono
2024,EF_AI,0.3,Brasil,abandono
2024,EF_AF,1.1,Brasil,abandono
2024,EM,3.2,Brasil,abandono
