grupo,url,file,size_mb,status
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2007/tx_rendimento_brasil_regioes_UFs_2007.zip,tx_rendimento_brasil_regioes_UFs_2007.zip,0.0,"err:('Connection aborted.', ConnectionResetError(10054, 'An exis"
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2007/tx_rendimento_municipios_2007.zip,tx_rendimento_municipios_2007.zip,12.509356,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2007/tx_rendimento_escolas_2007.zip,tx_rendimento_escolas_2007.zip,40.276162,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2008/tx_rendimento_brasil_regioes_UFs_2008.zip,tx_rendimento_brasil_regioes_UFs_2008.zip,0.147935,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2008/tx_rendimento_municipios_2008.zip,tx_rendimento_municipios_2008.zip,11.471131,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2008/tx_rendimento_escolas_2008.zip,tx_rendimento_escolas_2008.zip,0.0,http_404
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2009/tx_rendimento_brasil_regioes_UFs_2009.zip,tx_rendimento_brasil_regioes_UFs_2009.zip,0.148569,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2009/tx_rendimento_municipios_2009.zip,tx_rendimento_municipios_2009.zip,11.295614,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2009/tx_rendimento_escolas_2009.zip,tx_rendimento_escolas_2009.zip,0.0,http_404
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2010/tx_rendimento_brasil_regioes_UFs_2010.zip,tx_rendimento_brasil_regioes_UFs_2010.zip,0.146826,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2010/tx_rendimento_municipios_2010.zip,tx_rendimento_municipios_2010.zip,11.100643,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2010/tx_rendimento_escolas_2010.zip,tx_rendimento_escolas_2010.zip,32.287104,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2011/tx_rendimento_brasil_regioes_UFs_2011.zip,tx_rendimento_brasil_regioes_UFs_2011.zip,0.133394,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2011/tx_rendimento_municipios_2011.zip,tx_rendimento_municipios_2011.zip,9.634252,downloaded
rendimento,https://download.inep.gov.br/informacoes_estatisticas/2011/indicadores_educacionais/taxa_rendimento/2011/tx_rendimento_escolas_2011.zip,tx_rendimento_escolas_2011.zip,27.723285,downloaded
