ano_str,unidade,valor,indicador,etapa,ano_t,ano_t1
2007/2008,Brasil,79.9,promocao,Total_EF,2007,2008
2007/2008,Norte,72.3,promocao,Total_EF,2007,2008
2007/2008,Nordeste,71.8,promocao,Total_EF,2007,2008
2007/2008,Sudeste,86.9,promocao,Total_EF,2007,2008
2007/2008,Sul,84.3,promocao,Total_EF,2007,2008
2007/2008,Centro-Oeste,81.8,promocao,Total_EF,2007,2008
2007/2008,Rondônia,78.2,promocao,Total_EF,2007,2008
2007/2008,Acre,75.9,promocao,Total_EF,2007,2008
2007/2008,Amazonas,72.7,promocao,Total_EF,2007,2008
2007/2008,Roraima,81.5,promocao,Total_EF,2007,2008
2007/2008,Pará,68.0,promocao,Total_EF,2007,2008
2007/2008,Amapá,76.7,promocao,Total_EF,2007,2008
2007/2008,Tocantins,82.9,promocao,Total_EF,2007,2008
2007/2008,Maranhão,73.2,promocao,Total_EF,2007,2008
2007/2008,Piauí,70.6,promocao,Total_EF,2007,2008
2007/2008,Ceará,79.4,promocao,Total_EF,2007,2008
2007/2008,Rio Grande do Norte,73.6,promocao,Total_EF,2007,2008
2007/2008,Paraíba,69.2,promocao,Total_EF,2007,2008
2007/2008,Pernambuco,70.8,promocao,Total_EF,2007,2008
2007/2008,Alagoas,70.0,promocao,Total_EF,2007,2008
2007/2008,Sergipe,69.4,promocao,Total_EF,2007,2008
2007/2008,Bahia,68.3,promocao,Total_EF,2007,2008
2007/2008,Minas Gerais,83.2,promocao,Total_EF,2007,2008
2007/2008,Espírito Santo,81.9,promocao,Total_EF,2007,2008
2007/2008,Rio de Janeiro,82.4,promocao,Total_EF,2007,2008
2007/2008,São Paulo,91.3,promocao,Total_EF,2007,2008
2007/2008,Paraná,85.8,promocao,Total_EF,2007,2008
2007/2008,Santa Catarina,86.4,promocao,Total_EF,2007,2008
2007/2008,Rio Grande do Sul,81.5,promocao,Total_EF,2007,2008
2007/2008,Mato Grosso do Sul,78.0,promocao,Total_EF,2007,2008
2007/2008,Mato Grosso,82.8,promocao,Total_EF,2007,2008
2007/2008,Goiás,82.8,promocao,Total_EF,2007,2008
2007/2008,Distrito Federal,82.1,promocao,Total_EF,2007,2008
2007/2008,Brasil,83.0,promocao,EF_AI,2007,2008
2007/2008,Norte,72.3,promocao,EF_AI,2007,2008
2007/2008,Nordeste,74.9,promocao,EF_AI,2007,2008
2007/2008,Sudeste,90.7,promocao,EF_AI,2007,2008
2007/2008,Sul,89.3,promocao,EF_AI,2007,2008
2007/2008,Centro-Oeste,86.8,promocao,EF_AI,2007,2008
2007/2008,Rondônia,83.4,promocao,EF_AI,2007,2008
2007/2008,Acre,73.5,promocao,EF_AI,2007,2008
2007/2008,Amazonas,73.6,promocao,EF_AI,2007,2008
2007/2008,Roraima,84.8,promocao,EF_AI,2007,2008
2007/2008,Pará,66.8,promocao,EF_AI,2007,2008
2007/2008,Amapá,75.4,promocao,EF_AI,2007,2008
2007/2008,Tocantins,85.4,promocao,EF_AI,2007,2008
2007/2008,Maranhão,74.1,promocao,EF_AI,2007,2008
2007/2008,Piauí,70.7,promocao,EF_AI,2007,2008
2007/2008,Ceará,82.1,promocao,EF_AI,2007,2008
2007/2008,Rio Grande do Norte,79.9,promocao,EF_AI,2007,2008
2007/2008,Paraíba,72.8,promocao,EF_AI,2007,2008
2007/2008,Pernambuco,76.1,promocao,EF_AI,2007,2008
2007/2008,Alagoas,75.0,promocao,EF_AI,2007,2008
2007/2008,Sergipe,72.1,promocao,EF_AI,2007,2008
2007/2008,Bahia,71.4,promocao,EF_AI,2007,2008
2007/2008,Minas Gerais,89.0,promocao,EF_AI,2007,2008
2007/2008,Espírito Santo,86.1,promocao,EF_AI,2007,2008
2007/2008,Rio de Janeiro,86.4,promocao,EF_AI,2007,2008
2007/2008,São Paulo,94.0,promocao,EF_AI,2007,2008
2007/2008,Paraná,90.5,promocao,EF_AI,2007,2008
2007/2008,Santa Catarina,90.1,promocao,EF_AI,2007,2008
2007/2008,Rio Grande do Sul,87.6,promocao,EF_AI,2007,2008
2007/2008,Mato Grosso do Sul,82.9,promocao,EF_AI,2007,2008
2007/2008,Mato Grosso,86.9,promocao,EF_AI,2007,2008
2007/2008,Goiás,87.7,promocao,EF_AI,2007,2008
2007/2008,Distrito Federal,88.6,promocao,EF_AI,2007,2008
2007/2008,Brasil,76.0,promocao,EF_AF,2007,2008
2007/2008,Norte,72.4,promocao,EF_AF,2007,2008
2007/2008,Nordeste,67.5,promocao,EF_AF,2007,2008
2007/2008,Sudeste,82.5,promocao,EF_AF,2007,2008
2007/2008,Sul,78.7,promocao,EF_AF,2007,2008
2007/2008,Centro-Oeste,75.9,promocao,EF_AF,2007,2008
2007/2008,Rondônia,71.7,promocao,EF_AF,2007,2008
2007/2008,Acre,80.2,promocao,EF_AF,2007,2008
2007/2008,Amazonas,71.1,promocao,EF_AF,2007,2008
2007/2008,Roraima,76.9,promocao,EF_AF,2007,2008
2007/2008,Pará,70.1,promocao,EF_AF,2007,2008
2007/2008,Amapá,78.6,promocao,EF_AF,2007,2008
2007/2008,Tocantins,79.5,promocao,EF_AF,2007,2008
2007/2008,Maranhão,71.7,promocao,EF_AF,2007,2008
2007/2008,Piauí,70.4,promocao,EF_AF,2007,2008
2007/2008,Ceará,76.1,promocao,EF_AF,2007,2008
2007/2008,Rio Grande do Norte,65.5,promocao,EF_AF,2007,2008
2007/2008,Paraíba,64.4,promocao,EF_AF,2007,2008
2007/2008,Pernambuco,64.2,promocao,EF_AF,2007,2008
2007/2008,Alagoas,63.3,promocao,EF_AF,2007,2008
2007/2008,Sergipe,65.4,promocao,EF_AF,2007,2008
2007/2008,Bahia,64.2,promocao,EF_AF,2007,2008
2007/2008,Minas Gerais,76.1,promocao,EF_AF,2007,2008
2007/2008,Espírito Santo,77.0,promocao,EF_AF,2007,2008
2007/2008,Rio de Janeiro,77.0,promocao,EF_AF,2007,2008
2007/2008,São Paulo,88.2,promocao,EF_AF,2007,2008
2007/2008,Paraná,80.6,promocao,EF_AF,2007,2008
2007/2008,Santa Catarina,82.3,promocao,EF_AF,2007,2008
2007/2008,Rio Grande do Sul,74.6,promocao,EF_AF,2007,2008
2007/2008,Mato Grosso do Sul,72.1,promocao,EF_AF,2007,2008
2007/2008,Mato Grosso,77.8,promocao,EF_AF,2007,2008
2007/2008,Goiás,77.3,promocao,EF_AF,2007,2008
2007/2008,Distrito Federal,74.0,promocao,EF_AF,2007,2008
2007/2008,Brasil,91.7,promocao,EF_1,2007,2008
2007/2008,Norte,90.2,promocao,EF_1,2007,2008
2007/2008,Nordeste,86.9,promocao,EF_1,2007,2008
2007/2008,Sudeste,93.9,promocao,EF_1,2007,2008
2007/2008,Sul,95.8,promocao,EF_1,2007,2008
